content,polarity
"Terletak di Ciwalk. Tempatnya cozy, bersih. Pelayanan ramah. Tersedia berbagai macam menu bakso dan yang lain. Porsi sedang tidak terlalu besar. Harga sepadan sekitar 23-25K. Menu fav bakso urat besar, batagor dan siomay",positive
Bmk termasuk bakso fav saya namun selalu saja pelayanan dan kwalitas bmk ciwalk ini dibawah standar dari kwalitas yg ada favorit saya mie ayam rica2 bakso urat dan strawberry fresh juice namun lagi lagi kwalitasnya membuat saya kecewa ayam2 rica2nya sedikit saja dan rasa strawberrypun bukan fresh tapi manis gula legit karena kebanyakan gulanya . lagi lagi kecewa,negative
Bmk ciwalk ini boleh dibilang dulu waktu masa2 kuliah klw ke bandung jadi tempat favorit saya krn rasanya yg enak beda dari bakso yg ada di mall2 tapi kini rasa dan porsinya menjadi lebih kecil dan kurang enak apalai kuahnya kurang panas jd bad mood makannya,negative
Saya coba yang di Grand Yogya kepatihan. Lt. 5 saya pesan baso Malang super komplit. Rasanya enak. Kenyang. Harga juga masuk akal.,positive
"Bakso malang pertama berkonsep resto di Bandung, kami sekeluarga adalah penggemar dari pertama buka dulu di jl Karapitan. Kini sdh banyak cabang di buka dengan konsep lbh modern, intetior ruang yg cukup nyaman. Untuk rasa msh tetap seperti dulu dengan tambahan variasi menu lbh banyak, harga cukup terjangkau, pelayanan ramah ok lah",positive
"Kebetulan ketika lapar menemukan tempat makan yang banyak pilihan menu Saya pesan nasi goreng special dan mie ayam yang lezat ditambah juice. Tempat makan yang tertutup dan ber AC, kursi yang empuk. Ada camilan pembuka yang gratis. Harga diatas rata-rata.",positive
"Bakso lovers akan menyukai tempat ini, karena rasanya enak dan harganya cukup terjangkau, serta porsi yang cukup mengenyangkan",positive
Saya tidak menduga bisa bernostalgia makan bakso malang di Bandung. Rasanya biasa namun banyak sekali pilihan baksonya. Cocok bagi penggemar bakso,positive
"Bagi warga Jawa Timur, khususnya Malang, baso ini cukup standart di lidah. meski demikian, tempatnya lumayan enak untuk dinikmati bersama pasangan atau keluarga. letaknya yang di dalam mall Ciwalk, menjadikan pilihan tersendiri jika anda penikmat makanan lokal.",positive
"Banyak pilihan menu khas baso, baso rawit dan baso granat yang pedas, dan sop iga nya mantap, dengan banyak pilihan minuman, yang saya suka adalah rainbow jely",positive
pilihan baksonya sangat beragam dan kelebihannya adalah kita bebas memilih jenis dan jumlah bakso yang kita inginkan,positive
"yang membuat sayan senang, karena view kita makan langsung ke area nongkrong, enak banget. sayang di ruang berAC di izinkan tamu merokok, kenapa tidak dibuat ruang rokok saja agar tidak merokok di meja",positive
"Bakso Malang Karapitan awalnya berlokasi di Jl.Karapitan yang kemudian tutup, namun saat ini Bakso Malang Karapitan telah memiliki banyak outlet di kota Bandung. Salah satu outlet yang saya kunjungi adalah di Cihampelas Walk (Ciwalk) yang lokasinya strategis karena berada dekat pusat perbelanjaan. Walapun Restoran Bakso Malang Karapitan di sini selalu ramai oleh pengunjung namun pelayanannya cepat dengan cita rasa makanan. Lanjutan",positive
Awalnya berada di Karapitan. Ada juga yang di dekat perempatan setelah BIP. Kemudian buka di daerah Ciwalk. Secara umum menu utama yang ditawarkan adalah baso malang. Pengunjung juga bisa memilih menu lain jika mau. Harganya lumayan mahal dan rasanya standar saja. Cukup untuk sekedar penasaran ingin mencoba saja.,positive
Berada di lantai 2 dan sangat penuh pengujung di weekend karena harga standar dan pilihan menu makanan yang cukup banyak. Jarak bangku dan meja sangat dekat sehingga kurang nyaman tapi view cukup oke.,positive
"aslinya ini basa berada di Jl Karapitan ( setahu saya ), sekarang memenag sudah tersebar di beberapa tempat di Bandung. makannanya juga tidak hanya bakso, tetapi ada beberapa makanan tambahan yang lain. untuk rasa juga tidak terlalu special. untuk harga dengan ukuran harga baso dibandung cukup mahal. ditambah pelayannannya yang kurang bagus ( di ciwalk ). namun tempatnya yang di. Lanjutan",positive
"Di bandung relatif sulit mencari bakso malang yang enak sampai mencoba ke restoran ini, terletak di cihampelas walk yang ramai jadi tidak heran kalau hampir selalu banyak pengunjung yang makan disini, rasa daging pada baksonya sangat enak dan kenyal.",positive
"Dulu enak sekali, sekarang rasanya biasa saja. Mungkin karena selera saya yang terus berubah sementara tempat ini masih mempertahankan tradisinya. Pelayanan dan suasanya restoran masih sama seperti dahulu, terjaga tetapi bisa terus ditingkatkan agar tidak ketinggalan jaman.",positive
"Kita dapat memilih tempat di dalam atau di luar (emperan), namun sayang toiletnya agak jauh. Tempatnya bersih dan higienis",positive
"rasa baso nya khas, selain itu ada juga sop iga, wah bikin ketagihan nih mas bro mbabro. design tempat yang Ok juga menambah betah buat kumpul atau sekedar nongkrong sama temen. harganya lumayan terjangkau buat anak muda, (meski saya sudah sedikit tua) hahaha",positive
