content,polarity
"Mengunjungi tempat ini untuk istirahat setelah cape macet di perjalanan, makanan oke, tapi kue2nya mantap",positive
Red velvet lava nya mantab.meleleh Manis pana dan dingin dari es krim nya.yumiiiii Must try.agai n again.,positive
Pelayan laki2 nya lebih sigap dibanding yg perempuan . Saya pesan nachos tp nachosnya sedikit terlalu asin.nasi gorengnya terlalu berminyak. Pasta nya enak.minuman nya segar. Harganya aga mahal tapi sepadan dengan tempatnya yg enak dan di mall besar,positive
di bakerzin saya sengaja mencoba macarons dan cake nya. ternyata rasanya lumayan enak mempunyai cita rasa cake di cafe2 pada umumnya tetapi macarons nya enak sekali karena tdk terlalu manis.,positive
"Kondisinya sepi tp makanan keluarnya lama, spaghetti 1/2 jam, roasted chicken 45 menit. Juice'nya gak fresh. Foie Gras Salad : Foie Gras'nya masih bau hanyir. Komplen soal juice'nya yg gak fresh, dijawab sama Captainnya ""oo.gitu?"" Sy terangin bhw juicenya bau aroma kulkas yg meresap masuk ke buahnya, dia gak terima. Sy bilang ""cicipi saja"", trus dibawa gelasnya kembali ke pantry. Lanjutan",negative
"Pelayanannya memuaskan tetapi makanannya biasa saja. Nasi goreng oxtailnya manis. Pasta jamurnya kurang enak - tidak asin. Minumannya ada 1 yang enak yang memakai lemon, soda, leci, dan madu. Harganya mahal.",positive
"Anak2 suka banget sama mushroom soupnya,rasanya ga pasaran,rasanya khas eropa banget.saya dan suami ngopi2,anak saya minum fresh milknya,disajikan dgn cara yg ga biasa,dan dia suka banget.belum macaroons nya.top banget deh.walaupun agak menguras kocek but worthed deh.",positive
Cita rasa untuk nasi gireng salmon it's okay with waktu proses pesanan yg lumayan cepat sehingga tidakmlama menunggu.,positive
cake disini rasanya cukup enak.yang mango dan chocolate enak.anak-anak saya suka macaron-nya.tempat makan yang cukup nyaman di tengah keramaian Mall TSM.,positive
"Menu di resto ini sangat enak, untuk harga level menengah ada menu lokal dan juga barat, cocok untuk yang senang makanan ringan tersedia macam -macam kue juga eskrim",positive
