content,polarity
"Waktu datang langsung ditawari brunch buffet yang lumayan lama batasnya samai jam 5 sore, menunya ngga terlalu banyak tapii enak dan cocok buat udara dingin, apalagi menu kuah nya. bisa berkali2 ambil karena perut minta diisi terus, jadi jatuhnya lebih hemat.",positive
"terbagi menjadi stand-stand makanan. sistem pembayarannya dengan menukarkan uang tunai dahulu dengan uang kertas. dan apabila sisa, tidak bisa diuangkan kembali. rasa dan harga makanan standart, rata2 dimulai dari 25rb.",positive
"Tempat nya bagus, pemandangan indah, semakin sore semakin ramai tempat nya, disarankan reserved dulu kalo mau kesini, makanan enak enak, oke pokoknya",positive
"Disarankan ada brengos nya.buat sopir pariwisata ,biar semangat bawa tamu kesini nya,minimal makan dan rokok nya.",positive
"Kami makan sore disini sebelum menuju ke kota Bandung. Kami pesan Nasi Kuning Bandung dan Bubur Ayam. Nasi kuning enak, sayurnya pun beragam. Namun untuk bubur, walaupun rasanya enak tetapi sudah dingin. Entah efek karena cuaca yang dingin atau penyajiannya kurang panas. Jika buburnya lebih panas (hangat) maka akan lebih baik. Jika ingin makan sambil bersantai-santai menikmati pemandangan, tempat ini. Lanjutan",positive
"Tempatnya nyaman, asik buat kumpul keluarga dan teman. Ada live music yg asik bgt. Makanannya enak dengan harga terjangkau.",positive
"Makan siang disini sangat berkesan, karena datang pada saat lapar, liburan natal plus hujan deras sepanjang siang-sore. antrian luar biasa ramai, smp akhir nya urutan kami masuk kurang lebih sudah pukul 1.30 siang (antri sekitar 40 menit). tp plus nya kami dpt tmp duduk di bale2 lt 2 dengan pemandangan danau + restaurant purbasari yg bagus bngt. kami ambil pake. Lanjutan",positive
"View dan interior nya memang outstanding. Salah satu alasan kenapa kami pilih resto ini. Tapi kalau kamu lapar, restaurant ini penuh jangan deh makan disini. Bisa jadi anda akan mengalami hal yang sama dengan saya Dari awal sudah disampaikan bahwa meja ada tapi 30 menit baru bisa mulai order. Kami sanggupi. Namun sayang saat kami yang berempat oder makanan ada. Lanjutan",negative
"waktu itu kesini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. kentang gorengnya enak banget, dan presentasinya bagus. keluarga bilang kopinya enak. hal yang sangat baik disini adalah tempatnya luas dan yang outdoor bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. harganya cukup mahal, namun karena makanannya enak,. Lanjutan",positive
Ada beberapa menu andalan seperti ayam betutu dan bebek goreng. Dari segi rasa makanannya cukup enak tapi kurang spesial. Tersedia menu tradisional sampai pilihan menu western seperti pasta. Yang paling saya suka dari tempat ini adalah view nya yang membuat betah bersantai menikmati pemandangan sekitar.,positive
