content,polarity
"Walaupun tidak goceng lagi, minuman dan makanan kecil di kfc tetap favorit. Apalagi puding coklatnya.",positive
Makannya yang crunchy .serta segar dengan rasa yang mantap dan pelayanan yang sangat super ramah .,positive
"Sehabis puas bermain di trans studio bandung, saya bersama teman sepakat untuk makan ayam kakek disini. Ayamnya selalu enak dan gurih!",positive
"Ayam goreng si kakek Sanders ini memang maish tetap bisa dijadikan andalan untuk dibawa perjalanan jauh. Cepat saji, rasa enak, harga lumayan. Hanya saja saat saya kesana antrinya luar biasa panjang, jadi harus super duper sabar.",positive
semua orang pasti sudah mengetahui KFC. Dengan pilihan crispy / original yang bumbu nya cukup berasa. Untuk kualitas rasa tidak perlu diragukan lagi.,positive
"Saya dan seorang teman janjian untuk makan siang di tempat ini. Tempatnya cukup nyaman untuk bersantap siang dan bercengkrama bersama teman. Untuk menu, tentunya sama saja dengan outlet KFC yg lain, namun kalau di TSM ini tempatnya lebih luas.",positive
"sama seperti restoran kfc pada umumnya, tekstur ayamnya lumayan, hanya saja tempat kurang bersih. pelayanan nya baik",positive
"waktu malam2 sekita rpukul 24 saya kesini untuk mencari makan. pelayanan cukup ramah, rasanya enak seperti di cabang KFC yang laen",positive
"Ketika menjelang tengah malam dan anda kelaparan anda pasti memikirkan makanan Fast Food, dan saya selalu membeli KFC ketika lapar tengah malam, akan tetapi kalau malam ada menu2 yang saya sukai tidak availaible",positive
"KFC Bandung Supermall fasilitasnya lengkap & luas , agak jarang ditemukan diKFC lainnya . Keramahtamaan karyawannya juga sangat bagus",positive
Dekat dengan gerai ATM tetapi agak jorok bila ada gathering komunitas disini. Antrian terkadang sangat panjang dan hanya dibuka beberapa counter saja untuk memesan makanan,positive
"DEngan perjalan yang sangat jauh, membutuhkan lebih dari 8 jam dari kota ku tercinta. Harus aku dan teman-teman berhenti untuk bersandang di restoran untuk mengisi perut kita yang sudah kosong :D makan"" makan makan makan yeeeeee. rasanya enak, nikmat, kenyang, pokoknya luar biasa (y) kalian harus ke sini, tp jngan makan dulu. biar lebih nikmat",positive
