content,polarity
"Awalnya sich gw ngerasa aneh. enak gitu puyuh?? Secara kan masih jarang juga resro yg sediain makanan dengan daging puyuh jadi masih awam. setelah gw braniin makan karna bingung mau makan apa lagi setelah cape jalan2 di FO yang terdeket yah resto ini karna bersebelahan dengan FO herritage. lumayan cukup lama nggu buat dateng makanan nya, tapi gpp lah ngobatin. Lanjutan",positive
"Pertama kalinya dinda makan Burung puyuh rasanya sey kayak ayam gitu tapi lebih gurih, ada 2 tipe burung puyuh yang lokal dan francis kita pilih yang francis karena lebih gede dan look more delicious dengan nambah 10rb moreless. Sambelnya beraneka ragam cuma paling enak sambel rawitnya. Ada yang paketan gitu ayam+burung puyuh+sayur asem dan tahu tempe 50rb ++",positive
"teman saya yang mengajak saya kemari, dan ini kali pertama saya makan burung puyuh. pertama kali dan rasanya enak. jadi nagih.",positive
+ wifinya kenceng + teh nya gelas gede - less cholesterol (di gambarnya gitu) - makanan terlalu berminyak - rasanya kurang oke - nunggu 30-40 menit buat makanan dateng (uda dibilangin bakal lama karena lebaran),negative
"burung puyuh rawitnya enak banget. aku coba ini di daerah banda,kalo makan gacukup seporsi. rasanya manis pedas.cocok deh buat pecinta makanan",positive
"Pertama kali saya menemukan menu burung puyuh di MOI dan langsung mencobanya. Bahkan sempat ngobrol dengan Pemilik dan Franchisor nya. Mereka sangat ramah dan menyenangkan. Saya coba yang direkomendasikan yaitu Puyuh Perancis Cabe Rawit dengan Nasi Merah. Pedasnya enak sekali, tetapi dagingnya kurang empuk sedikit. Rasanya agak mirip dengan Burung Dara, tapi besar. Mungkin bisa dicoba sensasi baru. Semoga Sangrai. Lanjutan",positive
"Saya pergi berdua dengan istri ke tempat ini, Sangrai, sabtu sekitar jam 2. tempatnya lumayan ramai, pelayanan masih ok kami mencoba 2 macam burung puyuh yang ada disini, yaitu lokal dan prancis. dengan level pedes sedang ( cabe garam ) dan rawit ( top pedesnya ) dan memang pedas sambalnya, nampol hehe untuk burungnya, untuk prancis dagingnya lebih banyak drpd. Lanjutan",positive
"Ke tempat makan ini ketika libur lebaran kemarin. Sempat antri untuk cari tempat duduk karena penuh saat makan siang. Cukup unik juga menu specialnya yaitu buruh puyuh goreng dgn bbrp macam sambal yang lumayan nampol pedesnya :D. Cons : tempat makannya kecil, tempat cuci tangan pun kelihatan kurang bersih. Recommended : puyuh perancis sambel cabe rawit dan juga puyuh cabe. Lanjutan",positive
"Penyajian makanan dan minuman terlalu lama.makanan sudah habis tapi minuman belum keluar aja, sampe harus menunggu lama.",negative
"Kami kesana pada saat adanya Live Music @ Saturday Night.Nikmatnya makanan khas Indonesia ditambah dengan alunan lagu-lagu khas Band Indonesia yang mengalun lembut menambah kenikmatan untuk diam disana berlama-lama. Dengan para pelayanannya yang ramah sungguh feeling hommy banget. Kami berencana untuk kembali lagi minggu depan dengan teman-teman lainnya, just for Hang Out @ Cozy Place ""SANGRAI"".",positive
