content,polarity
MCD dimana-mana sih rasanya sama. Makanya saya senang dating ke McD dikarenakan rasanya pasti terjamin dengan rasa yang saya suka. Sebenarnya McDnya tuh OK. Lokasinya di daerah anak muda dengan bangunan yang mencerminkan anak muda juga. Tapi sayangnya parkirnya sangat sedikit. Menhyebalkan sekali kalay harus ke sini dan mencari parker. Dipastikan tidak akan dapat,positive
"kalo ga sempat sarapan, saya pesan pake panas special disini. Isinya nasi, ayam goreng krispi dan telur dadar. Kombinasi yang pas untuk sarapan pagi. nasinya pulen, ayamnya renyah dan lembut, telurnya gurih.",positive
"MCD Dago selalu menjadi tempat favorit dari jaman kuliah. Selain tempatnya yang sangat strategis (dekat dengan kampus dan kostan) disini jga menyediakan wifi gratis (bisa dimanfaatin buat ngerjain tugas kuliah, hehehe) dan yang paling penting buka 24 jam!",positive
"karena mcd ini fast food dan udah franchise juga, jadi dari segi kualitas dan harga pasti sama dengan mcd yang lainnya. di mcd ini selalu penuh sama anak-anak yang nongkrong, entah bikin tugas atau sekedar ngobrol karena lokasi nya strategis dan deket sama kampus-kampus juga. kalau kesini sore atau malem suka penuh mcd nya.",positive
"McD Simpang Dago menawarkan berbagai menu seperti McD di tempat-tempat lainnya. Lokasinya yang berada di perempatan jalan dan buka 24 jam menjadikannya tempat yang sangat strategis untuk dijadikan tempat janjian dengan teman. Fasilitasnya cukup lengkap, ada Wi-Fi, toilet, dan musholla untuk ibadah. Harga makanan di McD Simpang Dago terbilang standar untuk ukuran makanan cepat saji.",positive
"Bingung deh, selalu aja ga bisa ikutan nongkrong karena emang rame bangeeet Yasudahlah yaaahhhh kayanya emang lebih enak aku drive thru aja Berhubung di dago posisinya sumpah ini mcd paling rame. Baca : RAMEH !",negative
"Lokasi strategis, ke arah Dago. Buka 24 jam. Pelayanan ramah, makanan standar Mc D, sering dipakai belajar kelompok mahasiswa, dekat ITB, Unpad, ITHB, Unikom, Unpar",positive
M Donalds simpang dago ini terletak sangat trategis dengan kampus itb dan beberapa kampus lainnya. Disana sangat banyak mahasiswa yang mengerjakan tugas sambil makan.,positive
"Salah satu menu favorit saya adalah mcflurry aneka rasa selain menu paket dengan dua ayam. Menurut saya, ayam McD memiliki citarasa tersendiri dimana bagian dadanyapun memiliki tekstur yang lembut dan bumbunya gurih. Tips : - Jika take away Milo, pastikan diletakkan di kulkas untuk menjaga rasa agar tidak asam. Untuk kasus yang saya alami : Milo yang terbungkus saya biarkan. Lanjutan",positive
"disarankan tidak membawa kendaraan pribadi, karena parkirannya sempit dan tempatnya terletak di hook per4an simpang dago. sangat crowded banyak ABG yg makan atau sekedar nongkrong disitu.",positive
tempat strategis dan baik untuk meeting point atau nongkrong. parkirannya lumayan luas baik untuk motor dan mobil.,positive
"Mencari tempat nongkrong 24 jam di Bandung, mungkin McD Simpang Dago ini menjadi salah satu favoritnya. Siapa yang tidak kenal dengan merk mendunia ini, tentunya menu yang ditawarkan sudah dapat dibayangkan. Lokasi sangat strategis serta area seating yang cukup banyak. Suasana malam hari biasanya cukup nyaman untuk mengobrol-ngobrol bersama teman.",positive
"24 jam, dan akses kesini sangat mudah. penolong disaat kelaparan. banyak banget anak muda bandung nongkrong disini, karena lokasinya ya memang terkenal.",positive
"McD ini adl McD yang terame sepanjang pengetahuan saya. Yg membuatnya ramai adalah lokasinya yg strategis karena dekat dengan jalan raya utama, dekat dgn PTN dan PTS, dekat dengan tempat kost mhs. 24jm rame selalu.",positive
"Makanan cepat saji terkadang memang lebih praktis dan mudah di dapat, terutama disaat kita lapar. McD Dago terletak disimpang Dago. Letaknya sangat strategis sehingga mudah untuk dijangkau. Tempatnya cukup luas, jadi bisa dipakai untuk ngumpul dan makan rame-rame bareng teman.",positive
"MCD yang sangat strategis, terletak di simpang jalan Dago. Sama seperti MCD pada umumnya, MCD simpang dago menjadi tempat favorit bagi mahasiswa untuk makan, nongkrong, atau sekedar ngobrol. MCD simpang dago sangat ramai pada malam hari, banyak mahasiswa yang mengerjakan tugas kuliah hingga pagi hari",positive
"Letaknya sangat strategis, mudah diakses dari berbagai jalan dan tempatnya juga luas. Selain itu tersedia fasilitas Mushola yang nyaman dilengkapi alat sholatnya seperti mukena dan sajadah. Pelayannya juga sangat ramah :)",positive
"Sewaktu menginap di Bandung, saya dan keluarga memutuskan untuk mencari makanan di waktu malam hari. Sesuai informasi dari security hotel, maka kami direkomendasikan untuk ke Restoran McDonald's Simpang Dago karena berlokasi di daerah Dago dekat dengan hotel tempat kami menginap dan buka 24 jam. Setelah sampai di sana rupanya restorannya ramai dan tempat parkirnya juga penuh, sehingga kami memutuskan untuk. Lanjutan",positive
"Setelah pulang kerja, saya bersama seorang teman mampir ke tempat ini sebelum pulang ke rumah. Lokasinya cukup strategis, karena berada di simpang dago, bandung. Tempatnya bersih dan saat kami datang disana cukup ramai, sehingga kami harus mengantri beberapa menit. Untungnya kami tetap kebagian tempat duduk. Menurut saya ini adalah salah satu alternatif hangout dengan budget minimalis.",positive
"Lokasinya strategis,pelayananya cepat rasanya seperti mc Donald lainnya menu favorit saya kentang goreng dan sundae coklat jika malam minggu ramai dan antri panjang dan parkirannya penuh.",positive
"Letak gerai ini sangat strategis di Simpang Dago yang tekenal di Bandung Utara. Dibelakangnya terdapat Apartemen Dago, diseberangnya terdapat Pasar Simpang Dago dan diantaranya terdapat Jalan Dago yang tersohor di Bandung sebagai tempat nongkrong dan belanja. Tidak beda dengan gerai lainnya, menu yang disajikan sama baik makanan maupun minuman, tidak ada menu lokal yang diusung sebagai identitas menu yang menonjol. Lanjutan",positive
Letaknya yg strategis membuat tempat ini selalu ramai pengunjung. Apalagi bagi para mahasiswa yg ingin nongkrong selesai kuliah sambil makan malam sembari menikmati wifi gratis. Bagi yg butuh makanan di tengah malam tempat ini bisa menjadi salah satu alternatif,positive
"Kami sekeluarga ke tempat ini krn hari sdh larut malam dan tdk ada resto lain yg buka. Ternyata jam 10 malam pun tempat ini masih macet, parkir penuh dan tempat duduk di dalam resto penuh. Petugas yg tampak kelelahan melayani dengan masam. Ampun. Akhirnya makanan kami bawa ke hotel.",negative
