content,polarity
"Mampir ke kfc setelah anak-anak selesai main di kids play land. Anak-anak suka banget makan kentang goreng, dan waktu ngeliat kfc, mereka minta makan di kfc aja. Staff ramah dan bisa membantu memilih paket sesuai yang kita mau. Ada 2 lantai dan waktu kami makan, sudah lewat jam makan siang sehingga tidak terlalu ramai. Cuma kok saya merasakan sambal dan. Lanjutan",positive
"Ini bisa menjadi rekomendasi tempat makan murah ketika berada di PVJ. Untuk rasa, pelayanan, dll seperti KFC pada umumnya.",positive
"Restaurant ini terdiri dari 2 lantai namun lantai 2 hanya dibuka ketika pengunjung membludak, kalau sedang ramai-ramainya tidak jarang susah mendapat tempat duduk. Menu dan Rasa ayam memang sudah standar KFC",positive
"Pilihan umum saat ke PvJ salah satu nya adalah restoran cepat saji sejuta umat ini tentunya. Lokasi di gedung selatan PvJ, pilihan makanan standar KFC dengan rasa yang tentunya sudah bisa diekspektasi. Tempat duduk lumayan, tentunya ada wifi. Untuk kumpul bareng-bareng cukup cocok lah.",positive
"KFC ya KFC.dengan makanan ayam fried chicken yang khas.rasa yang stabil di semua cabangnya.pendapat saya pribadi ayam KFC adalah ayam fried chicken terenak di kelasnya.lokasi KFC PVJ cukup strategis untuk nongkrong.dekat dengan starbuck,burger king dan banyak tenant bagus lainnya.pelayanan standar.",positive
"lokasinya disebelah burger king, ga terlalu gede.tapi ya standar aja KFC gt. hehehe kalau bingung mau makan apa di PVJ bisa dicoba",positive
"Menunya memang standar namun kelebihannya adalah suasana yang ditawarkan, begitu nyaman dan cocok untuk makan bareng teman-teman sambil ngobrol menikmati keramaian di PVJ",positive
"area indoornya tidak begitu luas, area lantai 2 nya pun jarang dibuka, jadi kebanyakan orang bersantap di area luar. kalau weekend pasti selalu penuh",positive
"tempat makan favorite kalau berkunjung ke mall paris van java ayamnya seperti KFC di tempat lain, terasa enak, gurih dan crispy",positive
"di KFC ini pelayan2 nya sangat luar biasa memuaskan, mulai dari manager hingga ke bagian cleaning servicenya. benar benar berdeda dengan KFC lainnya. good job.",positive
