content,polarity
"kalau di obong dagingnya lebih enak, bumbunya sih lebih berasa yang di steak n shake, harganya juga ga beda jauh sama yang di ss",positive
"Kalau dibandingkan dengan harganya ini adalah steak yang luar biasa. 23 ribu udah dapat steak ayam dobel (2 filet ayam cukup besar). Jus mix fruit nya seger, 10 ribuan. Untuk menu standar plus minum dengan 50 ribu, cukup buat berdua. Parkir luas, tak semepet jalan tempat makan lain di Dipatiukur. Mau berlama2 juga ga diusir. Yg catat pesanan 1 orang,. Lanjutan",positive
"Enak nih kalo di sini steak nya apalagi burger nya , lokasi nya strategis pake tempat nongkrong juga bisa soal nya deket kampus juga",positive
"Obonk termasuk steak dengan harga murah, kamu bisa makan steak dengan harga steak 20-30ribu rupiah. My eksperience, saya memesan menu terdeloin BBQ & Nasi putih (red : indonesia banget hehe). Ukuran terderloin cukup sesuai dengan harganya, dengan additional kentang goreng dan sayuran. Rasa steak terderloinnya standar dengan less BBQ (red : kirain bakal banjir kuah BBQ) dengan nasi putih yang. Lanjutan",negative
"Restoran ini mirip dengan kompetitornya yaitu Steak & Shake, menawarkan steak murah harga mahasiswa. Soal rasa sebenarnya tergantung selera. Ada yang lebih suka makan ke Obong & ada yang lebih suka ke kompetitornya. Tempat stategis di kawasan mahasiswa Dipati Ukur. Sayangnya interiornya kurang ditata dengan baik",positive
"Meskipun menjual menu steak namun harganya cukup murah, rasanya pun lumayan enak dan hampir selalu ramai suasana di restoran oleh pengunjung, pelayanan cukup baik.",positive
Rasa steaknya enak namun harganya tetap terjangkau. Sayangnya untuk interior restoran ini agak kusam dan penerangannya agak kurang (gelap),positive
"biasa aja. rasa biasa, tempat biasa, pelayana biasa. ga bagus banget, ga jelek banget juga. biasa aja.",negative
"Sirloin steak dengan barbeque sauce yang bener2 beda, rasanya khas, enak, porsi mengenyangkan,engga rugi lah buat beli nya, harga dibawah 30 rebu rupiah, beli di Yogya kepatihan.",positive
"makanan kamseupay ewwww banget tahu gk cih makanannya ada cicak, pur burung, jangkrik teru paling gila toilet kagak pernah di bersihkan meja bawahnya ada permen karet meja sampai ber jamur idih ewww",negative
"Saya sering banget makan di sini karena steaknya enak dan lmyn murah. Menu favorit saya : sirloin steak (barbeque sauce). Saos Barbeque nya enak, recommended. Pernah nyobain pake brown sauce & blackpepper sauce tp rasanya biasa aja.",positive
