content,polarity
"Parkirannya cukup susah karena rebutan dan jalanan cukup macett. ayam gorengnya lumayan sih. kalo kamu gak pengen goreng2 ada gado2, karedok gitu sih. tempatnya cukup luass. secara nyambung dengan yang v.2. dan ayam goreng brebes ini cukup legendaris di sini. karena sudah dari sedjak doeloe nempel di tikungan lembang sini.",positive
"Secara keseluruhan RM ini OK . terletak di tempat yang strategis yaitu pas di tikungan Kota Lembang dan di sebelah Sari Raos .rasa makanan OK . tidak mengecewakan . rasa sambel OK Cuma suasananya terkesan suram walaupun tidak bisa dibilang tidak bersih, mungkin Meja Kursi udah waktunya di ganti baru . lampu di ganti yang lebih terang . taplak meja. Lanjutan",positive
"Makan ayam goreng plus mencicipi nikmatnya ketan bakar,colenak dan bandrek berselimut udara dingin.mantap Ayam goreng harga standar Ketan bakar/colenak/bandrek harga dikisaran 7000-8000 per piece",positive
"Pas datang kesana suasana kurang baik, lebih mirip suasana warung ayam goreng kaki lima daripada restoran ayam goreng, kecuali tempatnya yg ini luas. Pas datang makanan semua normal, sampai datang tahu nya . ternyata sudah asam tapi mereka goreng kembali, saya bersama keluarga pada saat itu dan keluarga komplain karena saya bawa kesitu, sambalnya juga agak asam (tapi mungkin memang. Lanjutan",negative
"Untuk ukuran lokasi, tempat cukup menyelamatkan saat Anda berwisata ke Lembang. Banyak space tempat duduk, jadi jangan khawatir musim liburan, akan ada tempat duduk untuk Anda. Dari kebersihan memang kurang, hanya saja menu bakar2nnya TOP. Bumbunya terasa sekali. Nila bakarnya enak. Teh di warung makan ini enak. Bukan sembarang teh di warung-warung. Lebih baik tidak memesan sayur asem, karena wujudnya. Lanjutan",positive
Penasaran pengen cobain ayam Brebes yang cukup terkenal itu. Tempat lumayan luas.siang itu sepi karena memang saat puasa. Pesan ayam bakar. Ternyata ayam bakarnya pedas.anak2 tidak bisa makan. Harusnya pelayan menanyakan mau pedas atau tidak karena ada 2 pilihan. Kemudian saya minta 2 ayam bakar yang tidak pedas.ampun!!! Ayamnya cuma seperti digoreng terus dilumuri kecap. Kami sudah hilang napsu makan. Lanjutan,negative
"Masuk ketempat ini sangat sederhana sekali, tepatnya dipinggir jalan lembang. ramai sekali, yang khas di tempat ini ayam goreng nya. karena kami sekeluarga kami memesan perekor. dan ada juga ayam bakarnya.",positive
"Ayam goreng Brebes sudah terkenal sejak saya kecil. Pertama kali dikenalkan oleh orang tua saya, dan saya mengenalkan lagi ke keluarga saya sendiri. Masih ayam goreng merupakan menu andalan, ayam bakar ada tapi tidak favorit saya. Menu lainnya hampir sama seperti pada umumnya resto sunda yaitu, ati ampela, gepuk, usus, lalapan, dll Boleh dijadikan pilihan alternatif resto tujuan di Lembang",positive
"Tempatnya sederhana di pinggir jalan Lembang. Ayam gorengnya enak, ukurannya kecil. Bisa per potong / per ekor @60rb. Nasi bebas nambah dihitung per orang @6rb. Tapi nasinya agak keras. Sambal dan lalapan banyak.",positive
"Makanan yang ditawarkan memang spesial ayam goreng/bakar.ada sih beberpa pilihan lain. Tapi memang yg juara ya ayam gorengnya.tempatnya luas dan cocok untuk rombongan ato keluarga.selalu rame oleh pengunjung, mungkin karena rasanya yang enak dan murah meriah. Es kelapa jeruknya enak. Di depan RM nya ada tukang ketan bakar aduuhh.pokoknya cuaca lembang yang dingin mendukung untuk banyak makan.",positive
"saya suka sekali makan di sini. biasanya paling cocok kalau makan sehabis dari ciater, tengah malam makan ikan bakar di sini, cocok sekali!",positive
"Sangat cocok bagi yang suka ayam goreng, pelayan yang kilat dan terletak di pusat kota Lembang. juga tersedia menu ikan goreng",positive
"Dari hotel BMI, letak rumah makan ini dekat. Di udara yang dingin, nikmat sekali makan nasi panas dengan ayam goreng, sambel dll. Anak-anakpun makan dengan lahap.",positive
"RM ayam Goreng Brebes 1 , umum nya saya psan ayam, gurame dan pete goreng , makanan nya ok ok cukup baik, hanya tempat kurang nyaman agak kotor.",positive
"RM. Ayam Goreng Brebes ini menyediakan berbagai macam makanan tapi khususnya Ayam Bakar, disini ayam bakarnya sangat terkenal loh karna lezatnya cita rasa bakar ayamnya.kalau ke lembang jangan lupa mampir ke rumah makan ayam goreng brebes ini yaw.",positive
