content,polarity
Tempatnya asekk buat nongkrong sambil ngobrol bareng temen temen. Roti bakarnya enak apalagi ditambah kopi susu. Pantas dikunjungi. Enak buat kongkow kongkow. Harga terjangkau,positive
"Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping ngobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mall ini.",positive
"Tempat yang paling cozy untuk nongkrong bersama pasangan dengan suasana minimalis yang nyaman dan keheningan, makanan dan minuman yang disajikan luar biasa enak dengan harga yang pantas, sehingga membuat suasa benar2 mantap.",positive
kedai ini menyajikan masakan malay model gerai gerai kopi di singapura. Favorit saya adalah prawn noodlenya.,positive
"jalan braga memang cocok untuk hangout sekalian kumpul-kumpul bersama teman-teman, jangan lupa mampir kesini tempatnya lumayan nyaman, untuk hanya sekedar menikmati dinner, tempatnya satu kawasan dengan braga city walk",positive
Yg direkomendasi : prawn noodle nya. Paduan Mi kuning dengan kaldu udangnya sangat wangi ditambah sambal balacanya,positive
"harganya cukup terjangkau, kebetulan banyak menu yang saya pesan dan rasanya 8/10. tempat yang saya datangi di dekat pasir koja di mall festival citylink dan dekat dengan hotel yang saya datangi. tempatnya nyaman dan juga bersih, pelayanannya juga baik",positive
"Bangi berada di lokasi yang sangat baik, tepat di tengah-tengah Braga. Memang enak untuk menikmati jalan Braga sambil ngopi. Namun rasa yang ditawarkan standar dan harga yang mahal.",positive
"Wifi disini selalu error,makanan dan minuman agak mahal, lumpiah goreng asin sekali, teh susu cukup enak, lama sekali untuk pesanan",negative
"santai bersama keluarga beberapa hari lalu di Braga City Walk dan saat istri dan anak melihat-lihat/berbelanja, saya menyempatkan diri minum kopi di tempat ini, roti bakarnya lumayan enak dan kopinya juga mantap, sehingga menunggu mereka tidak terasa membosankan.",positive
"nikmati kopi di braga citi walk, dengan layanan yang ramah dan pas. banyak makanan ringan yang tak kalah menarik missal roti bakar. sayang tempatnya kurang luas dan pas di pintu masuk dengan kaca yang transparan terlihat orang berlalu lalang.",positive
"terletak di jalan braga yang penuh dengan tempat nongkrong dan cafe, hanya saja saat ini sedang ada perbaikan jalan yang cukup mengganggu suasana di jl. Braga. Untuk rasa makanan, yah setidaknya sama saja dengan restoran bangi pada umumnya.",positive
