content,polarity
"Dari hotel jalan kaki kira2 20 menit dan hujan2an. Sampai disana dijelaskan dulu harganya sama yang jual. Mungkin banyak yang sering salah paham tentang ""harganya"". Harga sesuai dengan rasanya, mungkin ini istilah yang tepat buat batagor ini. Berbeda banget rasanya dengan batagor yang dijual ditempat saya",positive
"Batagor merupakan makanan khas Bandung. Batagor merupakan singkatan Baso tahu goreng, tahu yang dilapisi dengan adonan ikan yang dihaluskan dan dicampur dengan tepung terigu/sagu seperti siomay. Batagor disiram dengan bumbu kacang sama seperti siomay. Rasa batagor ini enak dan nikmat karena bahan yang digunakan masih segar. Bumbu kacangnya cukup enak dan tambah nikmat apabila dibubuhkan kecap sehingga rasanya tambah gurih.",positive
Setelah baca review trip advisor saya akhirnya coba batagor abuy. memang enak dan harganya cukup bersahabat. tapi kalau soal rasa masih ada yg lebih enak.,positive
"Pokoknya ini batagor rasanya benar-benar enak, bukan hanya wanginya harum, rasanya juga gurih dan rasa ikan nya terasa sekali. Ditambah bumbu yang wuow banget rasanya. Makanan wajib kalo ke Bandung pokoknya.",positive
"selalu bungkus kalo ke bandung. menurut saya ini enak walaupun kurang terkenal di banding kingsley ato riri. riri menurut saya bumbu rada pedas, kalo kingsley anda tau sendiri ngantrinya kyk apa di banding makan di batagor abuy. dan di foodcourt sama ada martabak tipis yang enak juga, alternatif kalo yg mau batagor enak tapi ga usa ngantri, mending ke sini. Lanjutan",positive
"batagornya lumayan enak tapi bumbu untuk saya masih sedikit kurang, tapi lumayan enaklah sebagai pengganjal perut sat diserang kelaparan",positive
"Setiap kali ke Bandung saya selalu menyempatkan untuk makan batagor Abuy, tidak berlebihan menurut saya ini batagor paling enak di bandung. untuk mendapatkan rasa yang enak silahkan datang ke kedainya langsung di sekitaran jalan lengkong jangan coba di tempat lain (memang saat ini batagor abuy seperti membuka cabang di tempat lain) jika tidak mau kecewa.",positive
"Sore hari ketika saya datang, batagor ini baru mulai berjualan, jadi kami sekeluarga harus menunggu terlebih dahulu. tidak lama batagor sudah siap dijual. saya memesan batagor somay 4 pcs dan tahu 1 pc, harga per pc delapan ribu. pada saat penyiapan saya lihat batagor hanya dipotong seperti biasa, namun pada saat penyiapan bumbu untuk disajikan ada sesuatu yang beda. bumbu. Lanjutan",positive
My favorite batagor di bandung. Udah langganan sejak lbh dari 10 tahun lalu Tahu nya lembut. Somay nya enak. Pas rasa nya. Cuma buka dari sore sampe malam aja Tempat nya sederhana. Cuma di fudkort pinggir jalan. Harga nya sekarang 8rb/buah,positive
"Bumbu kacang batagor abuy ternyata lebih enak daripada bumbu batagor yang lain. Bumbunya lebih gurih dan sedikit manis, tidak terlalu pedas. Sedangkan batagornya juga tidak kalah enak dibanding batagor sejenisnya. Cuma dari sisi bentuk/penampilan batagornya agak kurang menarik dipandang, sehingga sepintas bentuknya mirip bakwan sayur yang oleh orang bandung sering disebut bala-bala. Karena bentuknya yang sepintas menyerupai bakwan sayur itu,. Lanjutan",positive
"Enak sih. tapi untuk sejenis batagor, mahal bgt. 2porsi 64ribu. Bumbu nya mantap. Tapi seporsi nya kebanyakan. Jadi blenger",positive
"Salah satu batagor yang paling enak di kota Bandung. Letaknya di jalan Lengkong Besar, Bandung. Rasa ikannya sangat terasa dan bumbunya juga bikin ketagihan.",positive
"Rasa nya maknyus banget, tiada dua nya, rasa ikannya bener2 kerasa banget, apalagi klo di makan panas2 wah mantap deh",positive
Menurut saya sih drpd batagor yg lain abuy lebih enak.bumbunya juga khas bandung banget.dibawa pulang sampai jkt jg enak.,positive
Banyak orang menyukai batagor disini. Rasanya lumayan enak dan harganya tidak terlalu mahal. Minyak yg digunakan tidak terlalu hitam.,positive
I love batagor . Batagor Abuy bener bener khas Bandung rasanya enak sekali saus nya mantep banget !!!!!!!!!!!,positive
Batagor Abuy . Enak lah . Saya suka dan sering belu untuk take away. Juga kadang -kadang makan di tempat yang enak jyga bumbu kacang nta .,positive
"Ada di semacam pujasera dengan beberapa pilihan masakan. Khususnya untuk batagor Abuy, mungkin ga sesuai selera saya, ga makan sampai habis. harganya juga menurut saya ga sesuai kualitas. waktu itu saya bayar 32.000 untuk sepiring batagor saja tanpa minum",negative
"Salah satu batagor yang layak dicoba, perpaduan bumbu kacang & batagornya sangat pas. Cocok untuk dijadikan oleh-oleh bagi keluarga di luar kota.",positive
"Banyak batagor di bandung.beberapa sangat terkenal.Buat saya pribadi,saya lbh suka batagor abuy.rasanya pas di lidah dan harga nya masih terjangkaulah.",positive
"Batagor abuy ini rasanya enak sekali. Walaupun tempatnya sederhana, tapi rasa patut diacungi jempol. Bukan di tempat ber-AC dalam ruang tertutup tapi cukup nyaman untuk yang suka kuliner. Tempatnya bersebelahan sama penjual martabak, minuman, dll.",positive
