content,polarity
"Pertama kali kesini buat makan malam bareng keluarga, setelah seharian keliling wisata di sersan bajuri,. Sempet complain kalo tangga nya tinggi banget,.ternyata setelah sampai diatas, view nya bagus,.asli cakep,. Makanan juga sip, dua jempol,. Tempat kaya gini, spot yg bagus buat romantisan, kayanya nda cocok kalo bawa anak2,.",positive
Saya mampir di resto ini beberapa waktu yang lalu saat membantu rekan kantor yang hendak survey rencana pernikahannya. Lokasi ini tak jauh dari Kampung Gajah di Sersan Bajuri.Tepatnya adalaha dar Setiabudi hingga teriminal Ledeng. Arahkan kendaraan ke sebelah kiri jalan. Restonya mungil namun cantik karena terbantu oleh viewnya yang asri serta udara sejuk kota Lembang.,positive
"Minggu, 24 Juli'16 sampai di Maja House pukul 18.00. Untuk menuju restoran harus melalui puluhan anak tangga (maaf tidak dihitung hehe.). Artinya tidak cocok jika nengajak orang tua di atas 60thn. Tapi saya juga tidak memperhatikan apakah ada lift untuk pengunjung. Lampu di restoran terlalu gelap apalagi jika berkunjung mengajak anak-anak. Saya pilih indoor (area bebas rokok) karena yang di. Lanjutan",negative
Kami bersama keluarga kami jalan du kampung gajah. Pulang nya kami mampir di maja house restoran . Kami keliling dulu dalam restoran ini . Untuk view ke bandung bagus bisa pandang ke bandung bagian barat . Dan juga bisa lihat kampung gajah bagian kolam renang nya. Kami hanya ngopi saja disini . Pelayanan biasa 2 .,positive
"Unik, menarik dan pastinya nyaman. Arsitectural, cuco banget buat sekedar berleha - lehar sekedar melepas kepenatan di jalan kota yang begitu padat kendaraan. Di maja lah tempatnya tuh cuinnnnnnn.",positive
"Tematik hotel yang menarik,setiap kamar mempunyai tema yang berbeda beda,dan tamu di beri keluluasaan untuk memilih tema kamar yg di ingin kan,pelayanan oke,cepat makanan di restonyaa jg enak dan asyik untuk menikmati malam sambil melihat kota bandung dari ketinggian",positive
Pemandangan yang bagus dan tempat yang nyaman dengan makanan yang enak serta pelayanan yang ramah. Alunan akustik musik dari band lokal karena saya datang di hari Sabtu malam semakin membuat pesta BBQ sangat keren!!!!!,positive
"Had my birthday dinner here (nginepnya di Stevie 6 jadi tinggal melipir) di outdoor lantai 2 nya. Ada meja rendah dan kasur buat tempat makan, we chose the bed. Kami pesan sup iga bakar (dagingnya tebal dan juicy), steak (enak! porsi nya ngenyangin), milkshake cokelat dan vanilla (2-2 nya rasanya kaya es krim wall's), chocolate lava cake dan dapet 2. Lanjutan",positive
"makanan enak, suasana enak tapi sayang untuk outdoor sangat mengganggu sekali krn banyak yg merokok, alangkah baiknya apabila outdoor juga tetap ada area no smooking dan area smooking",positive
"Makan sambil tiduran santai ditengah suhu yang syahdu? Maja House boleh jadi pilihan yang tepat. Ada sekira 8 tempat tidur santai yang disulap jadi meja makan. Sambil menunggu order yang dipesan, kamu bisa rebahan ditemani pemandangan dan sautan suara burung yang merdu. Ditambah suhu yang tidak lebih dari 23 derajat celcius. Makanan yang ditawarkan Maja House beragam dari mulai Western,. Lanjutan",positive
"Kasian bgt hari sabtu,tp pelayan cuma satu.order susah setengah mati. Kasian yg jadi pelayan jadi rebutan. Padahal ini hari sabtu.sop iga yg paling mahal asin bgt.nasi goreng maja nya lumayan.tapi asin,ga ada citarasa manis dan pedas. Mungkin harus berikan pesan ke kokinya dulu.",positive
"Tempat ini cocok banget utk kumpul2 bersama teman ataupun keluarga. Jika ingin makan sambil melihat view yang bagus, kamu hrs pilih spot di balkon. Namun krn waktu aku dtg sedang hujan, tmpt itu mjd tdk dpt digunakan. Makanannya enak, pilihannya banyak, harganya oke. So, jgn lupa mampir yah guys!",positive
"Jika berlibur ke Bandung jangan sampai melewatkan datang ke Restoran yang satu ini, terletak di kawasan Lembang, lokasi yang strategis membuat mudah untuk menemukannya, harga juga standar tidak terlalu mahal, minum khas Favourite saya adalah Mojito yang segar",positive
"maja house lembang bandung. konsepnya lumayan unik. waktu itu makan steak rasanya biasa saja. pilihan menunya cukup banyak, dari menu asia sampai menu eropa. harga lumayan mahal. yg utama tidak bisa membawa kursi roda. karena untuk menuju resto harus menaiki tangga kurang lebih 2 lantai. tidak ada lift.",positive
"Makan di maja house paling cocok di sore hari menjelang malem sambil nenikmati sunset dan view kota bdg, makannya enak dan pelayanan yg ramah.",positive
Harga tidak mahal. Pemandangan bagus dan alami. Cuaca dingin jadi jangan lupa pakai baju tebal. Tempatnya sangat nyaman. Makanan lumayan enak.,positive
"malam wedding anniversary kami rayakan disini. suasana hujan, jadi bagian outdoor lantai serta meja kursi bsah. kami mengambil tempat yang ada kasur mini. lumayan bisa rebahan. Tempatnya enak. Banyak anak muda kaya kesini. Kami pesan sop konro dan iga bakar. Rasanya enak. harganya pas. makanan berat diatas 50ribu. cuma dia juga jual alkohol. mudah-mudahan masakannya halal",positive
"Tempatnya bagus, selain menyediakan makanan yg enak, tempat ini juga menyediakan view kota bandung. Tapi sayangnya saya datang pada malam hari dan pada saat hujan, jadi tidak terlalu terlihat oleh kamera",positive
cafe yg cukup indah namun sangat kotor untuk ukuran cafe saya mendapati banyak kotoran dibagian depan dibagian kasur untuk rasa standar dan harga pun tergolong standar,positive
Makan malam disini salah satu yang terbaik menurut saya Baik dari pilihan makanan dan tentu saja dari pemandangan yang anda dapat di resto ini Udara dingin menambah suasana makan malam anda lebih seru Serta pilihan menu yang sangat beragam yang ditawarkan di tempat ini,positive
"Kami mengunjungi maja house untuk grup dinner. Pada saat sampai di tempat parkir,udara di luar sangat fresh akan tetapi di dalam restorannya sendiri udara tidak fresh dan bau rokok,banyak orang merokok. Mungkin karena tempatnya memang untuk nongkrong. Untuk makanan,rasanya standar tapi porsinya kecil. Satu hal lagi yang mengganggu adalah meja untuk makannya berdebu. Pelayanan ok dan makanan cepat datang.",positive
Tempat ini mudah dicari karena terletak di pinggir jalan utama. Cukup menarik dan nyaman untuk sekedar menghabiskan waktu bersama teman atau keluarga. Makanan dan minuman yang disajikan lumayan. Harga juga tidak terlalu mahal.,positive
"Lokasi tidak terlalu jauh dari jalan utama, view di malam hari ok tuk melepas penat dari jakarta. makanan rasanya biasa saja karena memang yang dijual pemandangan dan interior restaurant.",positive
"Saya memesan bookingan untuk ulang tahun saya, dan tanpa ada konfirmasi staff Maja House langsung meng""cancel""kan bookingan saya. Setelah ditanya ""Saya Pikir"", Orang yang bekerja di perhotelan atau service tidak mengenal istilah ""asumsi"" semua harus jelas dan pasti. setelah itu berlanjut dengan pemesanan makanan, 3 tamu saya tidak mendapakan makanan sementara makanan kami sudah selesai dan dinyatakan ""sold out"" tanpa. Lanjutan",negative
Saya datang bersama dengan teman2 ke bandung dimana kami mampir di maja house untuk menikmati makan malam sambil ditemani dengan dinginnya kota bandung. KAmi pesan pizza dan beberapa makanan pletter lainnya. Serta minuman beer dan coffee. Untuk rasa makanannya overall cukup enak dan minumannya juga berasa. Dimana untuk suasananya cukup bagus. Akan tetapi harganya sedikit agak mahal.,positive
"Awal Juli saya menginap di hotel Stevie G yg bersebelahan dgn resto Maja House.tempat yg nyaman tuk makan malam, romantis, makanan yg enak dan harga tdk terlalu mahal.Yang unik ada bale bisa buat tiduran menghadap ke pemandangan gunung malam hari.Menjadikan makan malam yg berkesan bersama istri tercinta.",positive
"Hmmmm, akses tidak terlalu susah cuma, hati-hati yang bawa orang tua sepuh penuh dengan ""trap""cukup tinggi menuju restauranya.sesampai di restaurannya, wuooow good enough, suasana yang menyenangkan . Terbagi menjadi 3 style : ada restaurant style, Cafe style dan lesehan. Makanan cukup variatif , tease OK,, but too small portion .Yang saya pesan Iga bakar daging over cook, terlalu empuk . Lanjutan",positive
"Menginap di Stevie G Hotel saya memilih untuk makan malam di Maja House yang cukup tersohor. Pilihan makanan bervariasi dari Indonesia, Asia hingga Internasional. Saya memesan mixed grill yang berisikan lamb, beef, sausage, chicken dengan harga 80 ribuan, cukup murah untuk restoran yang berada di atas. Saya duduk di sofa bed yang menghadap ke pemandangan. Sangat nyaman untuk berdua dengan. Lanjutan",positive
Hal positif dari tempat ini adalah kita bisa melihat bandung dari atas. Udaranya yang sejuk membuat tempat ini semakin terasa nyaman. Hal negatif menurut saya adalah sulit untuk mendapatkan tempat duduk yang bisa melihat pemandangan kota bandung karena ramainya pengunjung,positive
"Worth for the price. wktu ksana banyak anak mahasiswa n sma, ga tll cocok kl buat family. Tempat duduk di balcony jg terlalu bdekatan satu sama lain.",positive
"Ini kali pertama saya sempatkan datang ke Maja House. Resto ini saudah sangat dikenal sebagai tempat hang out ataupun dine in. Saya datang saat siang hari dan berencana untuk lunch. Tetapi dari beberapa pilihan menu, kami kurang tertarik karna tidak ada yang cukup khas. Akhirnya kami hanya memesan food platters yang ternyata mengenyangkan untuk dimakan berdua. Kami memesan minuman green. Lanjutan",positive
"Resto ini cocok untuk bersantai dan foto-foto. Udaranya sejuk. Pemandangan dari resto ini bagus karena lokasinya yang sedikit tinggi. Desain resto nya juga unik. Jadi ga cuma bisa melihat pemandangan indah tapi juga desain interior resto nya memberi kesan khas tersendiri. Ada hotel juga di area ini dengan desain unik. Kalau mau refreshing dan mencari udara segar, restoran ini dapat. Lanjutan",positive
"Tempat nya nyaman, pemandangan bagus, harga terjangkau. untuk makanannya menurut saya enak, tapi minuman cocktail nya kurang enak, bartendernya masih perlu belajar lagi sepertinya. :P",positive
"Suasana rumah banget deh asli! Tempatnya enak banget kalo buat santai bareng keluarga, nongkrong sama temen ngemil2 ganteng cantik recommended deh! Kalo udah malem biasanya buat anak hacep bandung kesini nih hehe. Makanan enak enak kok tapi sayang nih pelayanannya lama tapi sambil nunggu makanan dateng biar gak bosen foto-foto deh! Nice view banget haha",positive
Saya kesini atas rekomendasi dr tmn suami.saya mencari tempat ini melalui GPS.jalan menuju restoran ini kecil dan menanjak tapi begitu sampai.wow.baguss!!! Tempatnyaa romantis.viewnyaa pemandangan kota bandung Untuk harga makanan trmasuk standar.tidak begitu mahal dan tidak terlalu murah juga Untuk cita rasaa.lumayan enak Kalo saya ke bandung lagi.saya pasti mampir kesinii :),positive
"Saya mampir ke sini, tidak disengaja. Awalnya tujuan kami ke kampung gajah, tapi karna sudah terlampau lapar,kami pun mampir ke maja house ini. Ketika kami disuguhi menunya, ternyata harganya membuat kami terpukau, mahal euy(bagi saya lho). Tapi memang suasana di sini membuat resto ini beda. Apalagi kalau ke sini senja sampai malam hari. Untuk makanan, spaghetinya enak. Tapi bagi muslim. Lanjutan",positive
"Maja house menyediakan view and makanan yg cukup bervariasi. Cobalah makanan yg di grill (steak) sepertinya bisa mjd menu favorit. Minuman juga cukup lengkap, dari yg dingin smp minuman hangat. Lokasinya yg cukup tinggi memberikan pemandangan yg tak terlupakan.",positive
"Karena letaknya yang tinggi, pemandangn resto ini juara sekali. Design restorannya juga bagus dan sangat anak muda. Ada pilihan untuk duduk di kursi atau lesehan di atas sofa lebar seperti kasur. Untuk mengobrol lama bersama teman di resto ini sangat enak. Menu yang tersedia pilihannya lengkap dari Indonesia sampai western. Namun dari segi rasa biasa saja. Pelayanannya juga agak lama. Lanjutan",positive
"Maja house cukup asyik, meskipun makanan dan minuman mahal namun suasana cafe sungguh menarik. Di sebelah maja haouse ada stevie g art hotel yang menarik karena hotelnya masing2 kamar punya konsep yang berbeda beda. Di maja house, hati2 ketika malam sangat dingin karena angin berhembus cukup kencang",positive
"Datang menunggu sunset adalah pilihan yang tepat untuk maja house, selain itu tersedia hotel di sampingnya, konsepnya yang unik dengan makan di atas tempat tidur sangat unik",positive
tempatnya mudah dijangkau. dekorasinya cukup simpel dan hommy sehingga sangat nyaman untuk berkumpul bersama teman-teman. resto ini sangat menonjolkan pemandangan yang bagus. untuk makanannya sendiri biasa saja namun tetap enak.,positive
Tempatnya asik. Duduk2 manis sambil minum wine melihat pemandangan gunung di udara dingin bandung dengan musik dari DJ. Makanannya pun enak2. Kalau weekend rame bingitz dan semakin larut semakin penuh.,positive
"Saya ke sana dinner bersama keluarga anak 5 dan 11 tahun , pelayanan disana cepat, dan view yang bagus. Saya pesan pasta lazange dan macroni rasa menurut saya biasa karena 2 menu tersebut favorite keluarga harga rata ratalah, suasana temaram sekali dan banyak pasangan muda mudi terutama di out door mengunakan matras kurang enak kalau membawa anak kecil",positive
"saya menginap di stevie G hotel dan menikmati sarapan di resto ini. Mungkin karena masih pagi dan malamnya ada perayaan pesta pernikahan, jadi tempatnya agak sedikit kotor dan berantakan. View dari resto ini menyegarkan, dan bagus untuk spot foto",positive
"Kami berombongan sekitar 30 orang datang dengan reservasi untuk menikmati makan siang. Waiter nya cukup sigap dan cepat menyajikan makanan dan minumannya walaupun melayani rombongan sekaligus. Variasi makanannya cukup banyak, baik untuk menu Indonesia, European dan lainnya dengan harga yang terbilang cukup murah untuk lokasi dan atmosfer yang bagus. Rasa makanannya cukup baik walaupun tidak terlalu istimewa, tapi kualitas bahannya. Lanjutan",positive
"Jarak yang dekat dari penginapan kami (Sapu Lidi), membuat kami memilih tempat ini untuk makan malam. Meski harganya cukup premium, sedikit terobati dengan view malam yang menawan dan taste yang lumayan.",positive
Mendapatkan tempat di bagian seperti kasur yang benar-benar membuat santai dengan pemandangan kota bandung. Udara yang sejuk dingin juga membuat suasana lebih menyenangkan. Saya memesan apple crumble yang lumayan enak disini.,positive
Yang paling menonjol dari Maja House adalah pemandangan yang bisa kita nikmati dari restoran ini. Letak restoran ini yang tinggi memungkinkan setiap pengunjung untuk menikmati keindahan kota Bandung terutama di malam hari. Akses menuju ke restoran yang terletak di lantai dua ini cukup menantang karena harus naik tangga dengan jumlah anak tangga yang lumayaaaannn. Untuk pengunjung yang menggunakan kursi roda. Lanjutan,positive
"view bagus, harga relatif bersaing dengan resto resto sekelas, tapi lokasi agak jauh dari pusat kota bandung",positive
Kesini harus malem supaya bisa melihat pemandangan lampu2 kota bandung dari kejauhan. Tempat yang cocok untuk kumpul2 bersama teman2. Suasananya pas.,positive
"Kami mampir untuk lunch tanpa sengaja, namun kami setuju restoran Maja House menawarkan konsep menarik dengan sofabed terrace view ke arah kota Bandung. Dari makanan yang kami pesan, pemenang makanan yang paling enak adalah ""penne tuna"", sedangkan pemenang minuman terenak adalah ""triple berry"". Sayang kedua-duanya bukan pilihan saya. Mungkin saya akan lebih beruntung kalau memesan steak, sesuai rekomendasi pelayan restoran.",positive
"Setiap saya berlibur ke bandung, saya selalu menyempatkan diri untuk mampir ke Maja House. Saya menikmati suasana di Maja house ini. Design interiornya yang cukup unik, design tempat duduknya ada yang sofa ada juga yang kursi santai, dan yang tidak kalah penting juga udara yang sejuk. Selain itu, makanan dan minuman yang disediakan harganya cukup terjangkau namun dengan kualitas makanan. Lanjutan",positive
"Restaurant ini menyiapkan tempat untuk semua kalangan. untuk yang datang bersama keluarga bisa menikmati tema klasik di lantai 1. dan yang bersama pasangan / teman bisa menikmati suasana di lantai 2 dengan bentuk sofa bed dan menggunakan meja kayu kecil, Suasana di resto ini juga sangat nyaman, dengan udara yang sejuk di daerah sersan bajuri menjadi nilai plus dari resto. Lanjutan",positive
"Sering mendengar review yang sangat bagus dari teman-teman sebelumnya, jadi saat liburan ke Bandung kemarin tidak lupa untuk datang ke Maja House ini untuk dinner. Biasanya untuk rasa di type restaurant seperti ini kurang berani :) namun setelah mencoba beberapa menu, rasanya termasuk enak dan harganya terjangkau. Selain menawarkan menu makanan asia dan western, di Maja House juga terdapat bar. Lanjutan",positive
"tempatnya keren banget,, view kota bandungnya juga dapet banget. tempat outdoor ada yang sofa bed juga ada yang kursi pendek. kursi pendeknya itu kursi akupunto untuk kesehatan. keren deh pokoknya!!!",positive
"staffnya sangat ramah, dan sigap membantu.kami memilih tempat diluar berbentuk tempat tidur, sambil melihat lampu-lampu kota bandung. Makanan yang kami pesan enak semua, cream soupnya juara! lebih baik reservasi terlebih dahulu untuk mendapatkan tempat.",positive
Untuk menuju ke tempat ini jalannya sangat macet dan jauh dari pusat kota Bandung. Sesampainya disana tidak ada hal yang spesial yang membuat perjalanan jauh terbayarkan. Makannnya biasa dan harga minumannya mahal.,negative
"Suasana yang sangat nyaman alias 'cozy'. menu makanan yang paling saya rekomendasi adalah kentang goreng, salah 1 kentang goreng yang paling enak yang pernah saya makan di bandung.",positive
"ini saingan beratnya The Valley. konsep modern, dengan view yang oke, juga dengan harga yang masih masuk akal. lokasinya pun tidak terlalu jauh dari kota. nice!",positive
