content,polarity
"sehabis capek capek melirik baju baju yang fashionable di rumah mode, kita bisa duduk santai menikmati es cendol yang enak dan legit di food place Rumah mode",positive
"Tempatnya nyaman, banyak pilihan makanan. Setelah lelah berbelanja di factory outlet sempatkan untuk makan disini",positive
"Lokasi makan ada di beberapa tempat. Tinggal kita mau pilih yg mana. Pilihan makanan yang pasti banyak dah.kalau mau yg adem di area bawah, mau yang banyak angin dan lihat taman dan kolam ikan pilih tengah. Lumayan lengkap lah jualan cemilan2 nya.",positive
"Tempat makan ini memang pas sekali, saat cape belanja santai dulu disini. Aneka macam makanan ada disini, jadi gak perlu cari2 ditempat lain. Tempatnya enak bersih dan harga makan an terjangkau",positive
"Foodcourtnya selalu ramee. mau bayar aja ngantriii panjangg. cuman enak sih nongkrong ke sini setelah capek muter2 di fo-nya. ketimbang ngekor para wanita belanja. mending nangkring di sini sambil ngopi2 dan makan. macem2 di sini makanannya. ada siomay, sate. banyak deh.",positive
Ini adalah tempat yg baik untuk para korban yg menunggu keluarganya yg sedang asyik berbelanja.tp tidak untuk orang orang yg senang makanan yg enak.dibandung banyak sekali tempat makan yg jauh lebih enak dan harganya jauh lebih murah.jd bila anda memang menunggu keluarga yg sedang berbelanja ini adalah tempat yg sangat tepat.tp bila anda inggin menikmati makanan dan minuman yg jauh. Lanjutan,negative
"bagi bapak2 atau lansia yang mungkin lelah berbelanja di dalam tempat FO, tempat makan ini cocok untuk beristirahat sejenak.",positive
"Tempat ini mirip food court yang menawarkan berbagai variasi jajanan khas Bandung, banyak pilihan namun sebagian besar rasanya kurang mantap",positive
"jajanan kulinernya di Food Place , hingga fashion outlet Rumah Mode itu sendiri semuanya sangat menggoda selera, rasa nya yang sangat bisa mengganggu konsentrasi.apalagi es cendol nya mantap banget",positive
"Tempat nya selalu dibenahi, nyaman sekali. parkiran luas. Masakan nya enak-enak. Kafe nya terasa hommy, terkonsep dengan baik. Masakan barat dan tradisional nya lengkap Serabi, kue ape, bandros, batagor , sate , cendol, cingcau, roti eaton, eaton express, baso malang, teh tarik, roti bakar, dan banyak lagi makanan khas berbagai daerah yg belum di sebutkan . Di area foodplace ada. Lanjutan",positive
"Lelah berbelanja baju-baju murah dan bagus di Rumah Mode, atau bosan menunggu keluarga yang sedang asik berbelanja di Rumah Mode, saya menghabiskan waktu sambil bersantai di pusat jajanan rumah mode. Pusat jajanan ini didesain dengan menonjolkan tema bersantai yang cukup berkelas. Ruangan dan meja kursi ditata cukup rapi dan terkesan non formal karena lebih menonjolkan suasana bersantai. Hidangan yang tersedia. Lanjutan",positive
Menyediakan makanan dan minuman yang enak. terutama es cincau. enak dan menyegarkan sekali. Apalagi setelah berburu baju-baju yang bagus.,positive
"Belanja tidak hanya menguras kantong, tapi juga tenaga. Food place adalah food court di Rumah Moda Jl. Setiabudi. Menyajikan berbagai macama makanan dengan beberapa gerai. Restoran yang bersahabat untuk keluarga.",positive
Tempat ini berada diluarnya rumah mode. sehingga setelah berbelanja bisa makan cemilan cemilan tradisional di sini. Harganya cukup ok dan pilihannya banyak,positive
