content,polarity
"Pertama kali saya makan di Thai Palace karena kekangenan saya sama makanan Thailand, ternyata emang enak2 sama seperti di Thailand sono. Makanan favorit kami sekeluarga adalah Tom yam seafood, gurame asem manis dan udang saus khaoyai. Cuma sayang sekali, disini tidak ada ketan mangga dessert khas Thailand padahal saya suka sekali. Dan pelayanan penyajian disini termasuk cepat juga.",positive
saya pertama kali makan disini diajak temen yg asli bandung kebetulan saya nginap daerah resto ini . tapi yg saya order rasanya agak bingung jauh dari rasa thailand nya . tp lokasinya emang bagus strategis sih dan tempatnya juga bersih .,positive
"Restoran Thai palace di jalan , Ir juanda (Dago) bandung makanan thai nya cukup baik dan enak , ayam di bungkus daun pandan . Dan makan an pembukaan ""mangga mentah"" nya juga desert nya Duren dengan ketan enak seka.i .",positive
"Lokasi restoran ini strategis, terletak di jalan Dago atas, sehingga tidak sulit diakses. menu favorit saya adalah Tom Yum Seafood, rasanya enak. Harga makanan disini cukup mahal, tapi saya rasa masih dapat dijangkau untuk kelas menengah. Pelayanan di sini pun baik.",positive
"Thaid palace. Di daerah dago atas dekat ke hotel sheraton . Makanan nya culup enak , yang saya paling adalah desert nya. Duren + ketan serta salat : mangga muda .",positive
"Porsi menunya besar-besar. Satu porsi menunya semisal tom yam, salad sapi, dsb. cukup untuk dibagi hingga empat orang. Satu porsi nasi gorengnya pun sebenarnya porsi untuk 2 orang. Karena itu, paling enak ke Thai Palace datang beramai-ramai. Jadi jatuhnya bisa murah juga dan bisa mencoba bervariasi menu.",positive
Restoran Thai palace di bandung utara . Mskanan yang enak adslah ayam di bungkus daun pandan dan di goreng. Juga mie paktai nya. Desert nya pun ketan duren enak .,positive
"Ada beberapa resto Thai Palace di Bandung, tapi sepertinya resto yang terletak di dago atas ini merupakan resto dengan kapasitas dan lokasi terbesar. Lokasinya juga 2 lantai. Ada beberapa pilihan tempat disini : di dalam ruangan atau di bagian belakang yang berdampingan dengan taman. Bila ingin lebih privacy atau dengan rombongan lebih besar, bisa pilih tempat di lantai 2, dimana. Lanjutan",positive
"Pertama kalinya ke restoran Thailand di Bandung. Dari lokasi berada di Pusat kota bisa dikatakan strategis dan mudah aksesnya karena di pinggir jalan besar. Tempat parkir cukup memadai dan tempatnya tidak terlalu ramai. Tempatnya besar dan bersih juga toiletnya. Saya dan keluarga memesan Gurame Bawang Putih, Kailan daging, dengan minuman jus kedondong dan appetizer lumpia. Rasanya enak dan pelayanannya cukup. Lanjutan",positive
Tidak terdapat banyak pilihan resotran Thai di Bandung dan Thai Palace merupakan salah satu yang terbaik menurut saya. Dining area cukup luas. Harga juga relatif tinggi tetapi sebanding dgn rasa dan kualitas.,positive
"Saya seringnya makan Thai Palace di Istana Plaza. Makanan enak, pelayanan cepat, dan kalau punya member card bisa dapet diskon 10%. Yang paling sering orang pesan disini pasti Ayam Nangrong, Gurames salad mangga dan pastinya Tom Yam Goong nya yang wueennaakkk. Paling enak kesini bersama keluarga besar, bisa lama ngobrolnya gak dimarahin hehe. Oiya Thai Palace baru buka lagi di. Lanjutan",positive
"Makanan yang disajikan memuaskan lidah, pramusaji dan kasir sangat ramah dan tidak lupa mengucap sawadee krup setiap tamu datang dan pergi. Ornamen dan lukisan di dinding semuanya bernuansa Thailand. Thai tea-nya enak. Makanan utama porsinya agak besar, disarankan pesan beberapa menu untuk rame-rame.",positive
Saya paling suka dengan tom yam nya enak dan pas dengan lidah Dan di weekend mereka menyediakan kue kue. Makanan ini juga enak di tambah lagi dengan ayam pandannya Serta harganya sebanding dengan dengan rasa dan size nya saya sering makan di ip,positive
makanannya enak banget!! juara!! tempatnya juga enak.loaksinya di tengah pusat perbelanjaan. tapi sayang harganya mahal.,positive
"Makanannya enak dan variatif, nasi goreng nanansnya mantap sekali. Tom Yam Goong juga enak, nggak anyir, segar. Harga sesuai dengan rasa. Lokasinya di Istana Plaza (IP) yang mana susah mendapatkan parkir kalau weekend",positive
"kalo yang suka ama makanan thailand, sangat direkomendasikan kesini, dengan alunan music traditional Thailand, berasa banget atmosphere Thailand nya. ayuthaya temple patut dicoba, sangat heavenly rasanya. singkong manis nya juga oke, apalagi tomyam nya. so nice.",positive
"Kami sekeluarga mampir ke Thai Palace dan sempat ragu untuk memesan karena atmosfer restorannya kurang meyakinkan dan presentasi menunya juga kurang bagus. Tapi setelah makanan datang, kami sangat puas. Anak-anak suka dengan ayam pandannya dan makanan lainnya juga enak-enak. Mereka juga menyediakan beberapa makanan Vietnam yang cukup enak. Good food, good price! Downside cuma suasana restoran yang sedikit kaku,",positive
"Ayam Pandan yang harum ditemani Tom Yam yang pedes dan hangat.mmmmm. Dulu sukanya di dago sekarang lebih sering yang di Istana Plaza, rasa tetp sama kok, cobain deh.",positive
"Semua makanannya, enak. Beberapa bumbunya terasa pedas, untuk yang kurang suka, bisa minta mengurangi rasa pedas waktu awal pemesanan. Ada yang diberi mangga muda,segar",positive
