content,polarity
"Memasuki resto ini desain interiornya sangat menawan dengan penataan yang sangat serasi. Layanannya baik dan ramah. Tersedia beragam menu seafood . Udang telur asin rasanya gurih dan nikmat. Udangnya cukup besar dan porsinya banyak. Cumi cabe garam , cuminya lunak dan rasa cabe garamnya gurih dan pedas. Ikan kerapu tim saus plum, daging ikannya lembut dengan kuah plum yang asem. Lanjutan",positive
"Captain's Seafood menawarkan suasana makan dan menikmati seafood dengan latar interior "" kapal kayu dan lautan "". Tempatnya cukup luas dan tidak perlu antri, cocok banget untuk makan besar bersama teman, rekan kerja dan keluarga. Menu udang mayonnaise dan kepiting soka telur asinnya, enak. Menu sop ikan kerapu lumpurnya terlalu asin, mungkin terlalu banyak kecap asin. Oh ya, saran saya. Lanjutan",positive
"Pelayanannya sangat baik, kesini bersama keluarga dengan perut kosong, makan dengan menu ikan krapu,kepiting,kerang tiram/oyster,sayuran, ada rasa ikan yang menurut saya kurang pas masakannya dan kurang begitu matang untuk disajikan, sehingga berasa sedikit mentah, untuk makanan persiapkan dengan budget diatas 1 juta untuk enam orang atau lebih. Ada tempat sholat nya juga",positive
"satu kata aja deh ""MANTAP"" tempatnya juga ""MANTAP"" Live Music nya pun ""MANTAP"" kalau kata orang sunda bilang RAOS Pisan selamat menikmati",positive
"Kami tiba pukul 6 sore untuk makan siang haha, Tempatnya mudah dikunjungi dan mudah dikenali. Ruangan makannya cukup unik. Ada live music dan yang ngisi orang bule hehe. Menunya cukup beragam, saya pesan kepiting bumbum padang, ikan gurame asam manis, udang tepung dan tumis kangkung,",positive
"Saya kesini baru pertama kali, dan menurut teman"" saya disini enak. dan betul sekali saya memesan kepiting bakar dan bumbunya sangat enak dan meresap sekali. segar lagi kepiting hidup langsung di olah. pelayanannya sangat baik kalau menurut saya, dan untuk harga yah rata"" bisa dibilang mahal tapi bisa di bilang standart lah untuk masalah harganya. suasana restonya seperti kapal laut. Lanjutan",positive
"Sesuai namanya, restoran ini menyuguhkan tema pelaut jaman dulu. Desain rumah makan ini dibuat mirip kapal laut dari kayu lengkap dengan aksesoris nama-nama kapten kapal terkenal. Tempat parkir cukup nyaman dan representative. Dari beberapa menu yang kami pesan antara lain, ayam goreng telur asin, udang telor asin dan kepiting asap, yang paling luar biasa adalah kepiting asap. Rasa yang lezat. Lanjutan",positive
"Seafoodnya fresh, udang telor asinnya enak, boleh dicoba gurame bakarnya bumbunya pas sekali. Untuk kangkung bawang putih ya juga enak cocok dimakan dengan sambal kecap",positive
"Restoran ini terkenal dengan gepuknya yang sangat gurih dan enak. Awalnya saya mengenalnya dengan nama Gepuk Ny. Yong (bukan Ny. Ong ya karena lain cita rasanya). Perpaduan rasa gurih dan manisnya sangat pas, apalagi sekarang mereka memiliki varian baru dengan rasa manis, gurih dan pedas. Jika Anda ketagihan atau ingin membawanya sebagai oleh-oleh, Anda bisa membeli gepuk yang sudah dibekukan. Lanjutan",positive
Ukuran kepiting jumbo dan saos tiram yang terasa sampai suapan terakhir menjadikan lapar tak bisa diobati dengan dua porsi hidangan,positive
"Gue penggemar berat seafood dan selama ini belum menemukan resto yang memuaskan di Bandung. Semua sudah gue cobain termasuk HDL, Parit, Dcost, Bali dan lainnya dari kelas kaki lima sampai bintang lima. Dan problemnya di Bandung bahan seafood ga ada yang fresh kecuali yang harganya memang mahal banget. Baru setelah ke Captain's Resto gue menemukan yang benar-benar fresh, rasanya beneran. Lanjutan",positive
yg aku soroti pertama y harganya.mahaaaaalll.pantes sepi ini resto.rasanya juga standar.yg enak cuma pakchoy crispinya.sayang banget sih padahal tempatnya cukup cozy.,positive
