content,polarity
"Warung Makan Sunda favorit saya. Sekali mencoba, dan langsung berkesan di hati. Tempatnya bersih. Pilihan makanannya banyak. Rasanya enak, lezat dan semuanya terasa segar. Tempat parkirnya juga luas, jadi tidak repot mencari parkir. Very recommended buat orang yang mau coba makanan Sunda. Anyway, semoga bisa tetap menjaga rasa dan juga pelayanannya.",positive
"Halo kali ini saya mengunjungi rumah makan khas sunda Ma Uneh, Rumah makan ini jadi pilihan tempat untuk makan siang saya dalam perjalanan menuju Lembang. Masakan Sunda yang benar benar enak dan lezat, aneka masakan banyak pilihan, dan sambalnya pun pedasnya mantap, jangan lupa coba juga karedok nya, enak banget. Selamat makan di Ma Uneh, terima kasih.",positive
"Kami sekeluarga ke sana karna di rekomen teman. Harga lumayan, kami ber 5 membayar Rp. 540.000 Apabila senang makanan manis restoran ini pas. Minuman yg heits nya : Es kopyor, tapi minta kan sirup nya sedikit saja",positive
"Menu makanan rata-rata masakan sunda, kami pesan gurame bakar, gurame goreng, ayam goreng, kangkung balacan, tahu, tempe, minumnya jeruk hangat, jeruk kelapa. Secara overall makanan dan minumannya lumayan enak. Harga juga sedang saja, tidak murah tidak mahal.",positive
"Jumat lalu datang ke bandung dr bali. tujuan ke lembang sejalan ada resto ini. mampir makan. pesan ikan bakar, ikan goreng, paru, ayam goreng, empal gepuk, pekrdel jagung, sayur dan sambal mangga. ikan bakarnya enak walau menunggu lama sekali hampir semua makanan lainnya sudah habis baru keluar. Ayamnya agak asin. Parunya enak ga amis dan pahit. Harga wajar.",positive
"Rumah makan yg menyajikan masakan sunda sgt pas di lidah org sunda spti saya, rasa nya seperti makan di rumah sendiri.",positive
staffnya ramah ramah. mulai dari securitynya. makanan lumayan enak. ciri khas makanan sunda. patut dicoba,positive
"Menunya beragam ala sunda, sambalnya enak nasi liwetnya juga maknyus. Lumayan ramai pengunjung. Harganya cukup mahal dibanding restoran lain sejenisnya.",positive
"Banyak Pilihan dan Enak, Nasi Liwet dan Sambal adalah favorit saya. Juga Perkedel Jagung dan Pepes Ayam yang tidak ada dua nya.",positive
"Ma Uneh asli di jl. Padjajaran, sudah familiar dgn keluarga saya sejak th 80an. Setelah lama tidak makan Ma Uneh, saya ke sana tgl 6 September. Sungguh mengejutkan karena suguhan awal lalab sayur + sambal yg umum disajikan di awal, tanpa dipesan (lalab, sambal + teh hangat, sangat umum disajikan oleh resto Sunda), harus dibayar dengan HARGA SANGAT MAHAL :. Lanjutan",negative
"waktu saya kesini, dari travello hotel, jalan kaki, enak menikmati cuaca sekitar. saya pesen bebek bakar disini, ternyata bebek bakarnya lumayan alot. sepertinya bebek kaga cocok di bakar yach ?? secara keseluruhan bagus dan enak. teman saya juga mengatakan yang sama. oiya sayur asemnya kurang butek (hanya ini model bandung). kamu harus kesini",positive
"Sekilas resto ini tidak begitu besar jika dilihat dari depan. Namun begitu masuk, ternyata resto ini memajang ke belakang, sehingga cocok untuk rombongan besar. Suasananya seperti di rumah. Bisa makan di indoor dan di teras. Terdapat mushola kecil di belakang. Untuk makananya cukup enak, dengan spesialis makanan sunda. Ayam dan ikannya cukup lezat, dengan layanan yag cepat. Tempat parkir di. Lanjutan",positive
"Gak lengkap rasanya kalau ke Bandung dan gak makan makanan Sunda, dan favorite saya dan keluarga yaitu Ma Uneh. Beberapa kali ke Bandung dan makan kesini dan selalu puas sama rasanya dan harganya juga gak terlalu mahal. Tempatnya juga bersih dan pelayanannya juga oke kok. Makanan yang disediakan juga cukup bervariasi.",positive
"tempatnya nyaman ada juga saung dan seperti kursi meja, selain itu juga bersih, pelayanannya fast response, makanan sundanya juga yummy. namun sayangnya, tempatnya agak masuk gang, jadi bagi yang ga hafal jalan harus berhati2 agar ga kelewatan. tp di depan ada tulisan ma'uneh yg cukup gede.",positive
Restoran yang menyajikan makanan sunda dan menurut saya makanannya cukup enak dan harganya tidak terlalu mahal. Jenis makanan yang cukup banyak.,positive
"Kami memilih makan siang disini karena dekat dengan hotel tempat kami menginap. Kesan pertama tempat cukup nyaman, bersih, ada lesehan juga.Makanan didisplay dalam etalase kaca, akan tetapi kita bisa memesan melalui staf dengan melihat daftar menu. Kami memesan cumi kuah, gurame goreng, pepes telur asin. Nasi disajikan lengkap dengan sambal dan lalapan. Rasa makanan menurut kami standar ala RM Sunda. Lanjutan",positive
