content,polarity
"Tempatnya bagus, makananya juga datang dengan cepat dan enak. Sambalnya banyak pilihan dan gratis, ada juga keripik singkong sambil menunggu makanan datang.",positive
"punya sesnsasi lain dengan makan di restoran seafood satu ini, letak di tengah kota bandung dan menu favorit adalah nasi goreng sea food.rekomendasi banget selamat mencoba",positive
"Resto ini suasananya nyaman dengan layanan yang baik. Penataan ruangannya cukup baik. Tersedia berbaga menu dengan bahan dasar kepiting, udang, ikan, kerang dan cumi. Udang bakar madu rasanya enak bumbu madunya terasa gurih. Udang goreng tepung rasanya nikmat. Kangkung sambal asam rasanya enak, kangkungnya terlihat direbus sebentar sehingga warnanya hijaunya masih segar ditambah sambal asam. Kepiting goreng rasanya enak dan. Lanjutan",positive
harga yang ditawarkan agak lebih mahal dari restoran seafood lain namun dengan rasa yang enak dan porsi yang pas. Tempat makan juga enak dan luas. parkirannya pun cukup luas.,positive
"Yang pertama tempat parkirnya luas, restorannya sendiri bersih, sayang tidak ada yang akan menyapa anda saat masuk, atau mengantar anda ke meja yang tersedia. Yang mana merupakan standar pelayanan di rumah makan. Makanannya rasanya biasa saja, sambalnya juga tidak menolong sama sekali. Ini merupakan kali pertama dan mungkin yang terakhir untuk saya.",positive
"Saya pesan tim ikan, udang bakar madu dan tumis bunga pepaya. Untuk tim ikannya terlalu asin dan kurang terasa bumbu jahenya. Udang bakarnya enak, tumis bunga pepaya porsinya banyak untuk dimakan berdua. Harga relatif mahal dibandingkan dengan rasa.",positive
"Makan disini mah enaknya rame2, kalo berdua porsi nya banyak bangett, ga kuat . kalo rame2 cukup bgt porsi nya, makanan nya juga enak2, sop ikan nya juara. sllrrppp",positive
"Letaknya di jalan Sumatera, Bandung. dari arah Taman Lalu Lintas belok ke kiri ke arah rel kereta. Tidak jauh dari bundaran di perempatan Taman Lalu Lintas, restoran berada di sebelah kanan Cobalah makan bersama dengan keluarga dan ambil paket ber 5-10 orang. Selain menu yang disajikan macam2 dalam paket tersebut, sambalnya pun ada 4 jenis, Dan yang pasti harganya lebih. Lanjutan",positive
"Indikasi resto itu enak atau tidak lihat saja dari jumlah pengunjung saat jam makan siang. Jika kita kesulitan mencari tempat duduk itu dia seperti di seefood Praoe ini. Semua makanan disikat habis, mantap.",positive
Pilihan makanannya sangat bervariasi dan menu yang disajikan memang benar-benar fresh yang membuat kenikamatannya semakin bertambah,positive
"salah satu restoran seafood yang recommended di bandung. tempatnya bersih dan nyaman, makanannya enak dan banyak variasinya, harga terjangkau.",positive
"Praoe Sea Food restorant, begitu di tulis sea food sudah pasti di benak langsung terbayang dengan kepiting, udang, ikan dan lain sebagainya khas hidangan laut. dengan sedikit berbeda restorant ini menyajikan beberapa macam sambal yang di sediakan untuk semua tamu yang datang.",positive
"ngerayain ultah anak disini ngundang keluarga besar, makanannya enak, harga pantas. lokasi juga strategis ^^ ada bnyk tipe ruangan yang bisa dipilih untuk meeting/acara",positive
ikan & udangnya lumayan. bisa pilih sendiri ikannya yg masih segar untuk langsung dimasak. sudah 2-3 kali kunjungan tidak mengecewakan.,positive
"Praoe merupakan salah satu restaurant sea food di bandung di tengah kota yang mudah dijangkau, dengan pilihan menu yang banyak dan harga menengah.",positive
"Gurame bakar polosnya masih fresh dan tidak pernah mengecewakan, konsistensinya sangat baik dan harganya juga sangat bersahabat.",positive
"Biasanya kalau mendengar restoran sea food selalu terbayang makanan yang enak-enak dengan harga yang selangit. Namun disini harga sangat wajar dan rasa yang sesuai selera. Beberapa kali saya membawa group kesini, bahkan group dari Asean pun ketika di bawa kesini, semuanya happy dan sangat menikmati makanan yang disajikan. Kalau pun mau diperbaiki, sebaiknya musholla-nya lebih diperhatikan kebersihannya, terutama karpet dan. Lanjutan",positive
"Beberapa kali ke Praoe Sea Food, menurut kami yang enak yaitu cumi goreng tepung dengan saos telor asin. Tempatnya luas dan nuansa laut",positive
"Saya makan di restoran ini untuk makan malam bersama suami saya. Sebagai pecinta kepiting,tentu saja saya memesan kepiting. Kali ini saya pesan kepiting saus mentega, sedangkan suami saya pesan cumi goreng tepung. Ketika makanan tiba, cumi gorengnya enak sekali tetapi sayangnya kepiting yang saya pesan tidak sesuai harapan saya. ketika memesan kepiting saos mentega tentu saja di bayangan saya adalah. Lanjutan",positive
"Sudah beberapa kali saya makan di Praoe, tempatnya lumayan besar dan naman. Waktu itu beberapa kesempatan makan disini dalam rangka acara obat dan makan yang disajikan enak.",positive
"makanannya enak, ada di pusat kota juga, tempatnya nyaman dan modern apa lagi ada perahu di dalamnya bisa buat foto foto, jadi salah satu tempat favorit di bandung buat makan seafood.",positive
"tempat yang nyaman dan bersih, serta interior yang menarik membuat sensasi makan seafood disini sangat menyenangkan.",positive
"Praoe merupakan restoran seafood yang enak karena dibuat dari ikan-ikan segar, disamping itu juga kangkung cahnya enak,dan tempatnya sangat nyaman.",positive
"datang kesini saat ada undangan ulang tahun teman.tempatnya cukup enak buat ngobrol rame"".makanan nya jg enak.buat saya srimping nya dan kepiting lada hitamnya yummyy.dan harganya bersahabat. Jadi klu mau makan seafood rame rame.Praoe salah satu pilihan di bandung",positive
"Kami berombongan sekitar 30 orang datang dengan reservasi untuk menikmati makan malam. Makanan dan minuman sudah tersaji karena kami telah memberitahukannya 30 menit sebelumnya. Variasi seafood tidak banyak, justru non seafood yang telihat mendominasi. Harga yang pantas, affordable, sedangkan untuk rasa, penilaian saya di atas rata-rata tetapi tidak terlalu istimewa. Restorannya cukup besar dihiasi banyak lukisan dan berkesan homy, tetapi. Lanjutan",positive
