content,polarity
"Yang enak adalah udang madu, dan ikan gurame, sisanya yah lumayan, tempat cocok untuk keluarga ada 2 kolam ikan besar, tutupnya jam 9 malam",positive
"harganya sih emang agak mahal yaa, tapi emang enak sih dan view nya juga bagus, tiap kesini selalu selera makan jadi naik.",positive
"masakan: saya memesan paket dayang sumbi (untuk 10 orang), namun saya tidak menyangka, selain variannya yang banyak, kuantitynya juga sangat banyak. Untuk favorit, saya sangat menyukai Grilled Honey Prawn, sedikit pedas tapi rasanya meresap sekali. Untuk ikan, saya sangat menyukain Gurame bakar kecap, tingkat kematangannya pas dan tidak berbau amis. Sayang untuk cumi goreng tepung rasanya standar saja dan agak. Lanjutan",positive
"pelayanannya parah. sangat mengecewakan wktu itu saya dan keluarga datang memang pada saat ramai, kita langsung bertanya pada staff untuk mencarikan tempat. tetapi hanya di suruh jalan ke arah saung (mencari sendiri) tapi pas kami menemukan tempat malah di suruh ke tempat lain dengan alasan sudah reserved padahal tidak ada tulisan apapun di mejanya. setelah itu kami malah dibiarkan berdiri. Lanjutan",negative
"Udang galah madunya top top maritop banget!! Recomended bgt deh. Di Bandung cabangnya banyak, salah satunya di kopo square di Jalan kopo. Masakan khas sunda yg wajib di coba klo dateng ke Bandung!!",positive
Kita merayakan ultah suami disini. Sblmnya ya reservasi dan memilih paket untuk 20 orang. Makanannya banyaknya ikan dan seafood. Wkt kami datang sih ga ada yg salah dng makanan smuanya enak.boleh bawa kue ulangtahun dari luar tanpa kena charge. Parkiran luas. Suasana nyaman. Harga menengah,positive
Santap siang kami sekeluarga hilang selara makan karena ternyata makanan yang kami pesan (paket 500 ribuan) untuk 6 orang ternyata lauknya tidak segar dan seperti hanya dihangatkan kembali. Lauk pun menjadi keras (ikan & udang). Lagi-lagi perjalanan yang tidak sebanding dengan jarak yang kami tempuh dari bandung untuk sampai disini. Kecewa dengan menu yang ditawarkan dan harga yang lumayan mahal.,negative
Tempat ini berada di lembah arah menuju Tangkuban Perahu dengan suasana Restoran Sunda yang asri. Makanan yang spesial disini adalah Udang Bakar Madu dengan ukuran yang besar besar dan di olah dengan sangat apik sehingga menghasilkan Udang Bakar yang sangat lezat. Menariknya kita makan di pinggir kolam ikan sehingga suasana bertambah alami.,positive
"Tempat cukup besar dan tidak terlalu ramai cocok untuk kumpul kumpul keluarga atau reuni bersama teman teman . Makanan yang disediakan jenis masakan sunda ayam goreng , ikan goreng , udang , dll , rasanya lumayan tetapi tidak istimewa, harganya rata rata cenderung agak mahal. Untuk anak anak perlu dijaga dengan baik khawatir nyemplung ke kolan tetapi menyenangkan untuk mereka. Lanjutan",positive
"Hampir semua makanan disini enak, bumbunya terasa banget. Minuman standar, tidak ada yang spesial. Suasana restoran bagus, ada 2 pilihan diluar dan dalam ruangan. Namun sayang sekali, untuk lokasi dan fasilitas yang disediakan, harga terlalu mahal. Rasanya nggak bakalan balik kesini lagi deh.",positive
"Untuk makan siang setelah beraktivitas di daerah Lembang Bandung, coba makan siang di sini. Suasana rumah makannya alamiah di sekitar kolam yang ada ikannya. Ada pondok-pondok dan juga aula untuk rombongan. Makanan khas Sunda bisa pesan paket 2, 6 atau 10 orang atau memilih menu sendiri sesuai dengan selera.",positive
"Kalo makan bareng keluarga enaknya di gubuk mang engking. Lokasi nya tidak jauh dari pasar lembang ke arah tangkuban perahu. Selain tempat nya nyaman, sejuk, tempatnya asri juga alami. Karena gubuk-gubuk nya terbuat dari bambu dan atap sejenis jerami. Terdapat kolam berisikan ratusan ikan mas, selalu menghampiri kita karena ikan-ikannya cukup jinak. Kalo mau memberi ikan kita boleh membeli pakan. Lanjutan",positive
"Rumah makannya hommy banget, udang bakar madu nya enak. Nuansa pedesaan nya terasa karena konsep resto nya gubug2 kyk di desa dan dibawahnya banyak ikan2. Gak rugi sy jauh2 dari kalimantan pergi kesini.",positive
"Gubug Makan Mang Engking menyajikan menu yang lengkap mulai dari ikan bakar, ikan Goreng, Cumi Goreng Tepung, Sate Udang, lalapan, cah kangkung, dan berbagai menu lainnya yang bernuansakan khas tradisional Indonesia, di Restoran ini makanan nya tersaji cukup bersih, dan pelayanannya cukup ramah dan cepat meski kekurangannya adalah dari segi perawatan tempat yang yang kurang diperhatikan",positive
"Tempat makannya berupa bale-bale, dengan kolam ikan dibawahnya. Cocok untuk makan beramai-ramai. Makanannya standar seperti resto sunda lainnya. Jika weekend penuh sehingga harus nunggu cukup lama untuk mendapatkan tempat.",positive
"yup favorit saya sudah beberapa kali saya kunjungi dan sangat rekomended, dari harga, rasa, pelayanan dan tempat sangat memuaskan. bagi anda yang suka masakan indonesia dan berpergian bersama keluarga sempatkanlah mencoba makan ditempat ini",positive
"Terus terang agak kecewa dengan pelayanannya, tempat keliatan agak kurang terawat, pada saat libur lebaran kami harus menunggu 1 jam lebih sampai restoran buka. Untuk rasa udang bakar madu biasa saja dan harga relatif mahal",negative
Cocoknya buat banyakan. Klo cuman berdua kerasa mahalnya Untung ke sini berenam Ma temen-temen kantor jadi ambil paket. Pilih saung dekat kolam lebih enak.,positive
"tempat ini tuh ya beuhh ngeriii. harga terjangkau makanan nya enak semua, wktu kita ksana kita ngambil paket kluarga, dri mulai udang, gurame bakar, cumi cumi dan msh bnyk lgi makanan lain nya dan semua makanan nya mantap! , di tampah udara sejuk dan makan di atas gubug danau buat makan makin nikmat, pokoknya smua makanan nya mantap. tp ada. Lanjutan",positive
Suasananya khas Sunda dgn danau kolam ikan dibawah bale2 tempat kita makan. Ada perahu yg bisa kita pakai buat main disekitar kolam.seru juga utk anak2. Makanannya semua enak especially their signature honey coated grilled shrimp. .nom-nom. Ada gurame kuah ditabur cabe rawit yg super pedas tapi enak. Makannya as usual bisa lesehan ato dikursi dan meja. Worth every money you. Lanjutan,positive
"Saya pertama kali menikmati makanan Mang Engking di dekat Yogyakarta, dan sepulang dari sana saya seringkali mengidamkan masakan udang madu dari Mang Engking. Betapa mujurnya saya ketika Mang Engking membuka cabangnya di Lembang, tempat yang mudah dijangkau dan harga yang bersahabat terasa sangat pas untuk menikmati aneka udang dengan hawa sejuk kota Lembang. Bagi Anda yang masih muda, Anda bisa. Lanjutan",positive
"kami ber6 makan siang (masih jam 11 sih) di Gubug Makan Mang Engking. Kami memilih gubug yang berada di samping (di atas) kolam ikan. Tempatnya sangat menyenangkan, menyatu dengan alam. Tempat duduk lesehannya yang unik, bisa bersila maupun bisa bagiakan duduk di kursi. Kami memesan menu paket ber6. Relatif murah dan menunya makanan khas sunda bervariatif serta enak.",positive
"Kami berkunjung untuk makan siang dihari Sabtu sore. Suasana parkiran Mang Engking (sudah) sepi & banyak saung yg kosong. Area saungnya banyak, rapih & bagus dilihat, dihubungkan dgn jembatan & terdapat empang besar yg banyak ikannya. Untuk menu makanan, standar Sunda. Kami pesan macam2 & semuanya enak. Untuk servis pelayan juga baik, sopan & tanggap. Saya rekomendasikan Mang Engking untuk. Lanjutan",positive
"makanan enak, tempat juga enak, minus: lokasi agak susah dicari karena waktu itu sudah agak malan sekitar jam 8 dan hujan cukup deras.",positive
"Walaupun sudah makan siang, tapi begitu mampir ke Gubug Makan Mang Engking . tetep aja pengen makan lagi (apa karena cuaca di Bandung sangat menunjang ya), ternyata menu yang dihidangkan sangat menggoda . dan ketika disantap . bukan main nikmatnya.",positive
Kami makan di restoran ini di satu sore yang hujan setelah kembali dari Tangkuban Perahu. Merupakan suasana makan yang nyaman di gubug bambu di tengah kolam besar dengan ikan-ikan yang berenang di sekitar anda. Layanan yang ramah dan harga menu yang wajar!,positive
