content,polarity
"Daging puyuh prancis nya tebel, bumbu berasa banget. Sambel nya beuuuhhh.sampe berasa pedes di tangan :D Menu baru yg pake tomat hijau kurang begitu berasa sambelnya. Perbaikan untuk nasi nya, kadang keras seperti kurang air",positive
"Kalau tidak salah ini adalah warung yang menyajikan daging puyuh pertama kali di Indonesia. Unik kan? Bagaimana menunya? Ada dua jenis puyuh yang ditawarkan disini, ada puyuh lokal dan puyuh perancis. Puyuh perancis lebih berisi dibandingkan puyuh lokal. Tapi kalau puyuh lokal, tulangnya lebih kecil, tipis, dan bisa juga dimakan. Untuk rasanya, ada 12 pilihan sesuai selera. Jagoannya, ada rasa. Lanjutan",positive
cocok bgt buat ngajak keluarga dan yang lainnya daging puyuhnya mantap. rekomen buat kamu yang bosen makan ayam atau sapi,positive
Cukup enak dan unik sih. Bahkan ada nasi merahnya. Tapi menu sampingan kurang enak. Yaitu tempe gorengnya sedikit dan kecil. Serta kol gorengnya gagal dibuat sepertinya. Harus diperbaiki untuk kol gorengnya. Jadi seperti oseng kol.,positive
"Baru pertama kali saya nemu tempat makan yg unik ,, dengan specialis daging burung puyuh ,, yang luar biasa sambalnya bikin lidah bergoyang ,, dapat gratisan pisang tusuk lagi cuma upload photo doang . Pokoe top markotop. Pasti kesini lagi deh gak bakal lupa .",positive
"Assik sambil blanja di outlet, menu sesuai selera lg. Mantap. Playanan jg asik, ramah2. cocok bwt yg pengen suasana santai.",positive
"awalnya gak sengaja ketemu resto ini, posisinya satu halaman parkir dengan outlet Heritage. saya mencoba pesan Burung Puyuh Paris goreng dengan sambal Endeus nya. wowww. rasanya begitu passss di lidah. nikmat banget. sampai2 bungkus bawa buat ke jakarta.",positive
pertama kali saya makan di resto sangrai ini sgt berkesan ketika mencoba menu recomended dr temen sy mr rizq is puyuh perancis rawit. terasa sangat ledzat dan aseli masakan indonesia. very recomended,positive
"Pertama kali makan puyuh, dan suka banget. Mereka menyediakan 2 jenis puyuh, lokal dan perancis. Bedanya,yang perancis itu lebih tebal dagingya seperti ayam. Dua-duanya dimasaknya pas, sambalnya mantap. Aku pribadi lebih suka puyuh lokal karena lebih meresap bumbunya.",positive
Tempat makanan ini memang spesialis burung puyuh. Berbagai macam pilihan menu untuk burung puyuh. Sambal di Bandung lebih pedas daripada yang di cabang Jakarta. Tetapi semuanya sama-sama enaknya.,positive
"Karena penasaran dengan sajian puyuh, saya pun datang ke tempat makan ini. Menurut rekomendasi puyuh lokal lebih gurih daripada puyuh prancis, namun menurut saya, lebih enak puyuh prancis karena ukurannya pun cukup besar. Harganya tidak terlalu mahal, tempatnya cukup enak",positive
"pilih burung yang import, daging lebih banyak dan empuk, harus sedia uang tunai. karena tidak mempunyai alat gesek debit maupun kredit card",positive
