content,polarity
"Tempat ok,pelayanan cepat,katanya yang populer ice alpukat (gak suka alpukat jadi gak tau ) Temen-temen pesan mie dan ice alpukat. Buat saya baso tahu dan baso sapi enak. 5 orang cost sekitar 265.000 murah ya",positive
"Untuk rasanya memang enak, tapi tidak spesial sekali, dan juga untuk harganya lumayan mahal, ini salah satu bakmi legendaris di bandung",positive
"Salah satu rumah makan mie legendaris di bandung.Tapi buat saya rasa yamiennya tidak terlalu istimewa. Baso dan pangsit kuahnya juga standart sekali. Juice alpukatnya yang cukup istimewa,alpukatnya banyak dan terasa. Harga nya mahal banget buat menu yamien. Parkirnya juga cukup menyusahkan,karena lokasinya di jalan kecil.",positive
"Saya memesan mie bakso siomay sesuai rekomendasi. Mie nya saya buat yamien manis pedas, tekstur mie nya luar biasa kenyal namun rasa nya sangat biasa cenderung kurang seasoning. Siomay nya oke bakso nya juga biasa saja. Untuk dekorasi tempat saya suka, klasik bikin adem.",positive
Untuk penggemar kuliner recomended banget. bakminya enak dan rasanya masih jadul abis. pas banget buat yg mau nostalgia di bandung,positive
"Hari ini jam 13.00 saya mampir ke rumah makan yang terkenal dgn mie nya ini.rumah makan ini terletak di jln balonggede no 1,bandung.saya di sini memesan 1 mie asin pangsit(model mienya kecil),1 yamien manis sedeng(model mienya kecil),1 mie kuah baso tahu,1 porsi pangsit kuah.rasa mienya enak,dan kuahnya gurih.pangsitnya dagingnya kerasa.tahu basonya juga enak.jgn lupa kalo ke sini memesan es alpukatnya+es. Lanjutan",positive
Letaknya di jalan sempit meskipun bisa dilalui oleh mobil.cari tempat buat parkir mobil agak susah terutama di jam makan siang. Saya sudah mengenal bakmi ini sejak jaman kuliah belasan tahun lalu dan sampai saat ini masih menjadi favorit say Saya mencoba bakmi yamin asin. Mienya enak dan kenyal. Kuahnya gurih dan asin nya pas buat saya. Yummy.,positive
Rasa yang biasa saja. tempat yang juga biasa saja. tapi sedikit over price :) Tapi tempat ini tetap ramai pengunjung. for me. better try other place.,positive
"Minggu kemarin nemenin Om yang pulang dari Amerika dan pengen nostalgia makan yamien. Jadilah kami pergi ke Mie Linggarjati. Adanya di Jl. balonggede no.1, masuk dari (bekas gedung) bioskop Dian, jl. dalem Kaum, dekat kompleks Masjid Agung. Restorannya memang restoran tua, yang dari saya kecil ngga berubah sama sekali bentuk dan penataannya Ya can't help it, saya langsung pesan yamien. Lanjutan",positive
"Tempat makan mie jadul yang selalu ramai dikunjungi. Paling suka bado tahu, jus alpukat, dan es shanghainya. Sayang parkirnya terbatas",positive
"Rasa, menu dan pelayanan masih sama seperti 12 tahun lalu saat pertama makan mie ini. Rasa mie dan kuahnya HoCiak. mantaab. Sejauh ini belum pernah menemukan pesaing rasa kuahnya. Dan pastinya halal menurut penjual dan pelayannya",positive
Suka banget sama avocado nya & mie baksonya. enduuuul pisaan . udh lama langganan makan dsana dr jaman kakek & nenek. trus mamah aku ksana ajak kita2 . pokoknya bnyk memoriesnya dsna,positive
"Disalah satu sudut alun-alun kota bandung terdapat bakmi linggardjati yang lebih sering di sebut mi balonggede oleh sesepuh kota bandung, restaurant mie yang sudah berdiri sejak kake dan nenek saya masih berpacaran ini menyajikan bakmi dengan recipe klasik, yang berbeda jauh dengan mei/bakmie modern saat ini. bakmi yang lebih cendrung terlihat flat taste dan lebih mengandalkan sari dari daging sapi. Lanjutan",positive
"Bakminya biasa aja rasanya. Kuahnya tanpa rasa. dan untuk standar bakmi dan pangsit harganya cukup mahal. Juice alpukatnya seperti buatan sendiri tanpa diblender, jadi ingat masa kecil. Rasa alpukatnya mantap.",positive
Mie baso disini menurut saya standar justru yang menjadi ciri khas adalah juice alpukat. Anda harus coba krn beda dgn juice alpukat lain. Alpukat yg tidak diblender halus memberikan tekstur yg enak dan tidak pahit,positive
"bakmi linggar jati , sejak dahulu kala sudah berdiri bakmi ini, bakmi nya enak, yang paling enak adalah alpukat nya, tak ada tandingan di bandung .",positive
"Bakmi ini cukup tersohor di Bandung sejak jaman dulu, saat ortu masih muda. Rasa mie dan siomay nya yang khas, dan sampai saat ini saya belum pernah temukan tandingan rasa kuahnya yang asli. Yang mirip2 rasa ga banyak. Tempat ini patut di rekomendasi kalau makan Mie Ayam Yamin manis atau asin, baso tahu dan soda gembiranya yang masih terjaga rasanya. Lanjutan",positive
"Restoran ini selain menyajikan menu bakmi juga ada bakso yang enak, terus terang saya lebih suka rasa baksonya, selalu ramai dengan pembeli dan pelayanan pun terbilang ramah",positive
"seingat saya bakmi ini sangat enak. tapi terakhir ke sana lagi tidak seenak yg dulu. harga 1 mangkuk bakmie dan bakso 3 butir adalah Rp. 30rb , untuk rasa mie standart. saya lebih suka bakso polos nya.",positive
"Setiap ke Bandung, keluarga saya selalu makan di restoran ini. Porsinya yang besar dan rasanya yang tidak ada duanya, membuat betah ke sini lagi. Bakmi, bakso, somay dan baso tahunya wajib dicoba. Tempat sederhana namun rasa juara.",positive
"Walaupun terletak di jalan yang tidak lebar dan parkirnya susah, tempat makan yang terkenal ini selalu penuh. Es alpukat dan yamin asin jadi menu tetap setiap datang ke sini. Porsinya besar. Tapi kalau masih ada ruang di perut,baso tahunya jangan lupa dicoba",positive
"Bakmi dan bakso ini sudah ada sejak jaman oma buyut aku. kebayang dong ini tahun 2014? makan bakso disini sejak aku TK hingga beranak 2. Tempatnya ga begitu bagus2 banget tp rasa bakminya ngangenin banget. Bakminya enak, baksonya lebut dan kenyal banget. kuahnya aja seger tanpa harus ditambah saos/kecap/sambal. Memang agak mahal tapi sebanding deh sama harganya. Kalo ke bandung. Lanjutan",positive
"Restoran yang sudah ada sejak lama ini tidak memiliki banyak perubahan sampai sekarang,termasuk staf-stafnya. Mie-nya gurih, dan pastinya salah satu yang terenak di bandung. Baik bakmi kuah atau yamin sama enaknya. Dan yang juga khas dan top disini adalah es alpukatnya. Tidak terlalu halus seperti jus tapi juga tidak seperti alpukat kerok. Mantap! Pelayanannya juga cepat. Jangan kaget jika harganya. Lanjutan",positive
"Coba bakmie yamin manis babat dan bakmie yamin asin + baso tahu nya, dua2nya juara, babatnya diolah dengan baik sehingga tidak tercium bau amis, dan masaknya jg pas masih ada kenyal2nya. Untuk minuman es alpukat nya juara juga, harga memang termasuk mahal untuk rumah makan sejenis tapi ""worth it"" karena porsinya yang besar dan bahan2 yang dipakai pun berkualitas. Pasti. Lanjutan",positive
wowww rasanya luarbiasa.es alpukatnya enak.bakminya luarbiasa.sangat enak dan halal harganya pun sangat terjangkau.pemiliknya ramah,positive
