content,polarity
"Halo kali ini saya sedang mengunjungi bakso semar, baksonya enak, dan tulang tulangnya itu mantap banget, tulang sumsum nya apalagi, widiihh. mantap deh pokoknya. Terima kasih",positive
"Bakso yg unik, dalam satu mangkok banyak tulang muda, enaakkk dan bikin ketagihan, makan satu porsi sangat mengenyangkan",positive
"Makan bakso disini adalah makan bakso yg sesungguhnya, saus tomat dan cabe nya yg khas ditambah potongan tulang2 rusuk yg dagingnya sangat empuk",positive
"yang suka bakso dan tulang wajib kesini. bakso nya enakkk banget, daging tulang nya juga super enak dan empuk",positive
"Berkeliling Kota Bandung disaat hujan gerimis di awal bulan september membuat lapar dan ingin makan yang berkuah.Bakso adalah salah satu alternative Pilihan yang ada. Bakso semar ini memberikan alternative pilihan makanan ringan di kota bandung. Daging yang 100% DAGING sapi dengan di Tambah Tulang tulang , membuat meriah makan di BAKSO SEMAR. Pengunjungnya ramai dengan di tambah beberapa foto artis. Lanjutan",positive
Dari cirebon mengunjungi bandung yang pertama kali dicari yaitu baksoooo. Ini enak sekali mantap pedasnya nampol. PilihN bakso urat dan bakso cincang menggiurkan.,positive
"Kalau emang suka ngebakso kita pasti cari yang enak dan pasti nya murah, ternyata ditempat ini paling ramai sekali di kunjungi banyak orang. bakso nya emang enak sekali deh. apalagi ditambah tetelan dan tulang pasti sip deh. itu yang suka pakai tetelan.dan harganya gak mahal-mahal amat.",positive
"Bakso-nya kenyal, empuk dan gurih, mie yamin nya khas apalagi selalu buka 24 Jam, bener-bener penyelamat karena laper tengah malem. Harus kesini nihhh kalo ke Bandung lagi",positive
Enakkkkk banget Dagingnya banyak Ada tetelannya Es campurnya juga enak Coba klo ada tulang sum sum ya pasti makin enak setiap ke bandung. Wajib banget kesini,positive
saya tahu info tentang bakso ini dari blog yang konon katanya enak. ketika dicoba teryata memang enak banget. saya pesan bakso special. ternyata rusuknya buanyaak banget sampai memerlukan mangkok tambahan. hehehe. sebaiknya pesan jeruk panas untuk menetralisir lemak yang cukup banyak itu.,positive
"Baso nya enak pisan , parkirannya agak kurang luas , harga sudah pasti terjangkau pisan , pokoknya kalo liburan ke bandung pasti kesini terus",positive
"Bakso nya enaak.tempatnya gampang dicari, rasanya mantaap deh.kalo doyan ngebaso,harus nyobain makan baso disini",positive
"enak dan murah walau jalan ke dalamnya lumayan. temapatnya sempit dan panas, tapi ya itulah seninya makan bakso di bandung. hehe",positive
"Lokasi ok, parkir agak sempit. Bakso uratnya lumayan dengan porsi cukup.Sayang tempatnya agak kumuh kurang terawat dan terjaga kebersihannya, lantai dan meja juga dibiarkan kotor pdhl selalu penuh pengunjung, toilet jg kurang representatif. Untuk harga standar saja",positive
"Baso semar ini letaknya cukup strategis dan gampang ditemukan. Saya beli mi baso, menurut saya baso nya lumayan enak tetapi terlalu gurih (mungkin terlalu banyak menggunakan msg). Tempatnya sih agak kotor, saran mending makan nya dibungkus.",positive
"Terletak di Sekar Pusat Kuliner Jl Semar Buntu Pasir Kaliki Bandung Baksonya enak, Tetelan atau iga sapinya mantap, harga murah meriah.",positive
