content,polarity
"Makan bebek sih enak. Terus pelayanannya sih kurang. Lokasi sih asik dan dulu nya disini resto bertema bali. Maju terus ya bebek kaleyo,",positive
"Makanan nya enak, rasanya sama seperti yg di jakarta. Hanya saja toiletnya agak kotor dan kesannya seram.",positive
"Ahlinya bebek sejakarta ya ini BEBEK KALEYO akhirnya membuka gerai pertamanya di Bandung. Harga murah dengan kualitas rasa enak banget, banyak pilihan olahan bebek dari bebek bakar dan goreng, masing-masing bisa rica2, cabe ijo, bumbu madura, dll Suasana resto nya selalu rame banget, sabar ya. Menu paling enak ya bisa pilih bebek muda itu gurih banget, dengan tahu tempe dan. Lanjutan",positive
"Tempat makan ini punya suasana menyenangkan. Interior seperti di rumah joglo jawa, tapi lampu yang cukup membuat nuansa dalam tidak membosankan. Ukuran daging bebek memuaskan, begitu pula minuman kepala batok. Sayang sayur bunga pepaya rasanya aneh",positive
Salah satu menu kesukaan saya .bebek kaleyo emang bener2 recomend buat yg suka sama menu bebek wajib nyoba. Ini kali pertama makan di bebek kaleyo yg di bandung tempatnya enak banget,positive
"Lokasi bebek kaleyo cabang bandung ini strategis, di pinggir jalan protokol. Buka setiap hari kecuali hari minggu. Pengaturan ruangan yang tanpa sekat membuat restoran ini terkesan luas. Pelayanannya bagus, para pekerja cekatan dalam melayani pengunjung dan tidak membutuhkan waktu yang lama sampai makanan yang dipesan dihidangkan di meja. Bebeknya empuk dan gurih. Rasa sambalnya juga nikmat. Rasa makanan yang enak. Lanjutan",positive
"Lokasi restoran bebek kaleyo ini sangat strategis, tepat berada di perempatan Pasteur-Pasir Kaliki. Hidangan yang disajikan tentu saja adalah olahan Bebek dengan berbagai macam bumbu, seperti rica-rica, sambel ijo dll.Buat yang ga suka bebek jangan khawatir, disini juga tersedia menu ayam. Tempatnya luas, lega dan cozy, cocok untuk membawa keluarga dan teman-teman kantor rame-rame. Parkirannya juga luas. Model pelayanannya adalah. Lanjutan",positive
"Bebeknya enak namun tidak istimewa karena di daerah lain banyak yang lebih enak ,Pelayanan nya yang ramah,tempat bersih,hygine Dan sanitasi terhadap hidangan yang disajikan di sesuai standart,namun ada beberapa kekurangan yaitu staff kurang sigap Dalam mengambil piring kotor di atas meja,musholla bersih Dan terawat.",positive
"Rumah makan ini kami perhatikan belum ada setahun di Bandung, karena lokasi di perempatan pasteur yg di pakai rumah makan ini sebelum nya juga pernah di pakai beberapa rumah makan di antaranya rumah makan bali. Karena penasaran kami ingin mencoba dan sdh bbrp kali kami makan di Bebek Kaleyo ini yg juga punya bbrp cabang seperti di Karawang yg pernah. Lanjutan",positive
Untuk rasa makannya standar yaa.tp es jeruk kelapanya mantab lahhh. tempatnya enakkk banget adem.sejuk.dan nyaman.udah gitu luasss banget.buat kongkow cocok lah,positive
"Tempat ini berlokasi di perempatan pasteur - paskal yg dulunya merupaka restoran Sunda Kelapa. Menu andalan resto ini adalah sajian bebek dengan berbagai bumbu khas Indonesia. Tempat parkir yang luas dan banyak sekali meja membuat kita tak perlu takut tidak kebagian tempat, meski harus antri parasmanan terlebih dahulu. Saya menyukai bebek bakar sebagai referensi karena daging bebek terasa begitu gurih. Lanjutan",positive
"Berbeda dengan beberapa outlet di jakarta, yang di Bandung ini konsep nya lebih ramah lingkungan dan cozy.",positive
"Di restaurant ini menggunakan sistem prasmanan, sehingga pengunjung harus mengantri bahkan antriannya cukup panjang ketika waktu makan. Rasa dari bebek juga cukup lezat dan variatif.",positive
Tempatnya enak dan strategis. selain itu juga makanannya enak. tapi untuk dapet itu semua kita harus mengantri. karena konsepnya ini berbentuk prasmanan. tapi untuk rasanya luar biasaaaa enakk.,positive
Rasanya standar. Bebeknya kecil kecil tp sambelnya okelah juara tempatnya juga bagus dan strategis besar lagi tempatnya,positive
"Terletak di jalan yang strategis, gampang dicari, parkir luas, harga makanan terjangkau, tempat luas dan nyaman menjadikan bebek Kaleyo tak pernah sepi pembeli. Harga yang terjangkau membuat kita merasa puas makan di situ. Tempatnya cukup romantis untuk ngobrol bersama pasangan ehemm. kalau bawa anak kecil juga nyaman, bawa mereka melihat ikan koi berenang. Walaupun antrian panjang tapi tak menghabiskan banyak. Lanjutan",positive
