content,polarity
"Pelayannya ramah, makanan cepat datang, tenpatnya bagus dan nyaman untuk berlama2, parkir mudah, harga terjangkau. Cocok untuk berkali-kali didatangi.",positive
"Tempat bertema klasik. Sayang kurang pencahayaan untuk di luar ruangan sehingga sulit untuk melihat menu dan saat makan. Tapi overall, sangat cozy. Makanan enak. Terutama nasi goreng classic nya.",positive
"Lokasinya sedikit tersembunyi di daerah Setiabudi Bandung. Suasana restorannya nyaman dan dekorasinya yang banyak memajang lukisan klasik tetapi dengan interior modern, sangat menarik dan unik. Pelayanannya ramah dan cepat. Citarasa masakannya, lezat. Burgernya sangat enak dan mengenyangkan sekali. Cocok dengan minuman cinamon tea yang sangat menyegarkan. Tempatnya yang nyaman dan dengan interior yang unik sangat cocok untuk yang gemar berfoto. Lanjutan",positive
"Kesini buat dinner ulang tahun temen, untuk harga sama makanannya worth it, suasana nya enak cuma pas cobain punya temen daging sapinya agak alot lupa juga sih yang di pesen apa, cuma suka sama burgernya dan ngenyangin banget.",positive
Design interiornya kontemporer. Cocok untuk foto2. Ada ruangan outdoor dan indoor. Makanannya western dan sesuai dengan selera saya.,positive
"Tempatnya relatif nyaman untuk bersantai sambil makan. Hanya saja, waspada saat musim hujan sebab di suatu meja kecipratan air dari atap yang bocor. Mayoritas menu porsinya relatif besar dan mengenyangkan, jadi kalau tidak kuat sebaiknya makan berdua atau makan dessert saja (beberapa menu seperti pancake cukup mengenyangkan). Sayangnya kapasitas tempat duduk terbatas, jadi usahakan jangan berlama-lama di restoran pada waktu. Lanjutan",positive
"Nuansa baru dekorasinya dan menyatu dg aneka distro dalam satu halaman.dilengkapi dengan halaman kecil tempat ayunan anak 2. Menu tidak terlalu banyak tapi lengkap ada menu indonesia,oriental,itali dll.Rasa dan penyajian juga cukup enak.",positive
Tempatnya cantik untuk foto-foto. Sangat nyaman. Sayang teh jing-nya tidak bisa tambah air panas padahal harga tehnya juga tidak murah. Lava cake-nya tidak terlalu leleh di dalamnya.,negative
"Restauran ini menyajikan berbagai makanan italia yang mewah. Kami memesan hot claypot with foei gras yang nikmat. Apalagi ada welcome bread yang gratis, kunjungan paling menarik.",positive
"Tidak menyangka bahwa dorry fish curry nya akan seistimewa ini. Dicampur potongan jamur, leci, tomat ceri, jagung semi, kuah karinya benar-benar gurih dan super lezat. Kunjungan kedua kami ini dilakukan sabtu jelang makan siang ketika pengunjung belum ramai, sehingga waktu saji relatif cepat. Jauh lebih cepat dibanding kunjungan pertama saat sabtu malam. Restaurant berinterior glamor dengan 'stained glass' yang cantik. Lanjutan",positive
