content,polarity
Gepuknya nyonya yong ini juaraa. spesial deh. empuk banget. dan nyooss di lidah. mantep banget si nyonya yong ini bikinnya. parkirannya sempit tapi yang di setiabudi ini.,positive
Saya sering di bawain teman dan saya suka sekali. kemaren ke bandung mampir beli. Anak saya juga suka sekali gepuk ini. enak empuk.,positive
Gepuk ny. Yong. Minggu lalu . Saya dan istri 2X ke ny. Yong di setia Budi . Kami selalu pesan soto sapi + nasi Dan tambah gepuk suir ( daging yang kecil) enak lahhhh Penyajian cepat . Layanan okok . Rasa nya pun okok,positive
"Gepuk nyonya ong ini sudah terkenal sih dmana mana, buat kami sekeluarga sudah jadi oleh-oleh yg wajib dibeli, semua keluarga saya suka.",positive
"Harga tidak mahal, pilihan sayur banyak, rasa nya yang enak terutama soun goreng, rendang, gepuk dan semur jengkol.",positive
"sejak kuliah dulu saya suka bingung bawa oleh2 apa untuk dibawa pulang ke jakarta. pilihan saat itu masih terbatas pada pisang bolen, bronis panggang dan kue soes. akhirnya tak jauh dari kampus saya menemukan toko gepuk ini, iseng beli satu box kecil dan ternyata orang2 di rumah suka. sampai saat ini apabila ke bandung dan berkesempatan main ke setiabudi saya. Lanjutan",positive
Kalau makan di sini bisa beli nasi dan pilih beberapa sayur. Macam macam tinggal milih aja dari ben marry nya. Masakan indonesia pilihan macem macem buat dirames. Yg enak banget ya gepuknya. Gepuk ancuran lebih suka kalau saya. Biasanya kalo beli palingan 2-3 sayur dengan nasi ya habisnya 18.000-30.000 tergantung lauk yg dipilih. Dibungkus juga bisa. Kalau mkan di situ. Lanjutan,positive
"kalau kangen masakan rumahan, silahkan datang ke Gepuk Ny. Yong. Ada berbagai variasi makanan rumahan, yang tentunya enak-enak. Dari aneka soup, gorengan, tumisan semua tersedia di sana dengan harga yang terjangkau",positive
"Hari Kamis tanggal 28 Januari 2016 lalu kami ke Bandung, tiba sekitar pk. 09.00 pagi, dengan kondisi perut siap diisi. Pilihan jatuh ke RM Gepuk Ny. Yong jalan Setiabudi. Dan ternyata merupakan pilihan tepat. Nasi hangat dengan perkedel, acar, kering tempe_kentang dan semangkuk sup bakso ayam, pas betul buat sarapan.",positive
gepuk ny yong menjual aneka macam sayur matang. kita bisa memesan nasi dus/ramesan disini. yg favorit tentu saja gepuknya/gepuk remukan. dagingnya empuk dan gurih.,positive
Gepuk yang satu ini sudah terkenal sejak lama sekali karena dagingnya yang empuk dan bumbunya yang gurih. Pas untuk dimakan di rumah dengan nasi panas atau jadi oleh-oleh untuk ke luar kota.,positive
Di warung makan ini tersedia bermacam macam menu makanan yang dapat kita pilih sendiri. Untuk makanan rasanya standar tetapi khusus gepuknya enak dan empuk. Area sempit dan panas. AC ada beberapa tetapi tidak dinyalakan sehingga tidak nyaman jika makan di siang hari,positive
"Rasanya enak banget, dan empuk banget jadi ga susah ngunyah nya, makan ama nasi bisa abis 3 biji, di bawa pulang buat oleh2 kebanyakan, di masak lagi di rumah tetap nikmat .",positive
"Resto rumahan ini berlokasi di sebelah Apartemen, Selain Gepuk yang rasanya enak, resto ini menyediakan aneka masakan Indonesia yang rasanya lezat.Recommended",positive
"Sangat cocok bagi penyuka Gepuk, Gepuk bisa langsung digoreng ditempat atau dibungkus dibawa pulang dan disimpan di frezzer dadakan di goreng",positive
