content,polarity
"TidaK seperti martabak pada kebanyakan, martabak Andir sangat tipis. Karakternya juga basah tidak seperti yang lain. Tapi enaknya poll dah.",positive
"Dari semua martabak yang ada di bandung, martabak ini paling ok. Paling juara adalah keju spesialnya. Makan satu saja kenyang tapi nagih.",positive
"Beberapa teman merekomendasikan martabak ini, variasi menunya banyak dan dasar martabak ada yang kuning, pandan, dan pink. kami pesan martabak pandan keju jagung. Kami sekeluarga ternyata kurang cocok dan ini menurut kami martabak kekinian. Harganya pun cukup mahal, yang menurut kami tidak seimbang dengan rasanya",positive
"Rasanya biasa saja, hanya ada jenis yang baru yaitu rasa talas dan martabaknya berwarna ungu talas. Harganya berkisar 40-70 rb. Buka pada sore hari dan relatif ramai",positive
"Kalau makan martabak ini duhh rasa ny pngen lagi martabak ini tuu tebell , isi nya tumpeh2 , legit juga rasa nyaaaa. Kan kalau makan di yg lain martabak2 tebel gtu kan suka ga ke rasa yaa isi nyaa,nah kalau di sini meskipun si casing ny martabak ny tebell tpi tetep kerasa kok isi nya",positive
"Tergiring omongan teman, pada suatu sore yang hujan, menyusuri Jalan Sudirman mencari tempat ini. Untung saat tiba di sana, tidak ada antrian. Harganya agak mahal. Tapi setelah mencicipi martabak isi jagung keju, jadinya setimpal. Martabaknya tidak terlalu tebal, buat saya tidak eneg dengan isian yang berlimpah. Ga nyesel cheating diet",positive
"Baru kali ini saya mencoba martabak Nikmat Andir, antriannya yang cukup panjang. untuk memesannya waktu itu mengantri 1 jam, tapi 1jam ngantrinya benar2 worth it dengan rasa nikmatnya martabak itu. Wajib dicoba kalo wisata kuliner dibandung.",positive
"Sudah 7 tahun tinggal bandung baru sekali ini sempat mencoba martabak ini. Rasanya luar biasa baik martabak manis maupun asin. Bersama teman2 kita mencoba martabak keju coklat (klasik) dan martabak jagung, pandan, keju.benar2 memuaskan. Saran saya mengingat cemilan ini ""suangatttt"" tinggi kalori. .disarankan makan ramai2 keroyokan.hahahahaaa Tempatnya tidak terlalu nyaman, namun kalau dibawa pulang kenikmatannya beda dibanding dikonsumsi langsung (hampir semua. Lanjutan",positive
"Dikarnakan begitu banyaknya omongan mengenai martabak ini dan juga betapa penuhnya dan panjangnya antrian, saya akhirnya tertarik untuk mencoba. Dibela-belain untuk dating tepat ketika jam martabak ini baru buka dan itupun sudah ada beberapa antrian. Saya langsung memesan martabak yang katanya jagoannya di sini, yaitu martabak pandan jagung. Yang memasaknya sudah lumayan tua. Hebatnya mereka masih kuat untuk memasak segitu. Lanjutan",positive
"Secara gw demen banget ama namanya martabak manis, neh disini ga salah lagi martabak nikmat andir bakal manjain mulut kita semua gan. harga disini sekitar Rp.70.000an. letak nya depan banget pasar andir. 1 lagi bro yang gw demen disini nanti di dus itu ada kupon bro, klo kumpulin 10 potong kupon nya bosa tuker ama martabak lagi broo, mayaannnn.",positive
"Martabak ini sudah ada cukup lama,, letaknya di jalan andir terusan jalan sudirman Bandung,, dari dulu sampai sekarang tetap menjadi favorit kami sekeluarga,, favorit saya yaitu martabak yg kulit coklat dengan isi kacang coklat dan martabak pandan isi jagung keju,, rasanya ruaaar biasa menggoyang lidah",positive
"ini adalah martabak paling enak dibandung, walaupun sedikit mahal, namun sebanding dengan rasanya yang enaaak tenan",positive
"Martabaknya tidak terlalu tebal jadi ga bikin eneg, rasa nya beragam mulai dari adonan sampai toppingnya. setiap hari selalu ramai.buka dari jam 4-11 malam/habis. yang masak ramah banget dan cepat bgt kerjanya sehingga yang menunggu pun tidak memakan waktu lama kecuali antriannya jauh. bisa di pesan pakai gojek juga jadi fleksible. tidak membuka cabang dimanapun.",positive
