content,polarity
"memiliki banyak cabang, hampir di setiap daerah di kota bandung ada, makanan nya sangat terjangkau, tersedia colokan di setiap meja, pelayanan nya ramah dan kami dapat bermain berbagai jenis permainan yang sudah di sediakan. pelayanan nya cepat dan ramah",positive
"Resto dengan sajian ala anak kost dengan harga sesuai kocek anak kost pula, taste cukup enak, interior yang nyaman dan artistik, cukup untuk hang out dengan teman maupun keluarga.",positive
Tempat santai dan nongkrong yang recommended di Bandung. Cocok bersama teman-teman dan keluarga. Banyak permainan gratis yang disediakan untuk pengunjung.,positive
"Menu utama adalah Indomie dengan variasi topping. Rasanya,. ya Indomie. Tidak terlalu istimewa. Cocok untuk tempat santai dan nongkrong anak anak muda karena menyedia aneka permainan papan. Kopi gayo dan latte nya OK. Roti bakar green tea juga OK.",positive
Buat penyuka kopi.klu kangen kopi gayo bisa datang kesini. Makanan nya sih simple.indomie yang diolah dengan aneka rasa.roti bakar dengan banyak varian.Roti bakar green tea nya enak.aneh tapi enak.Nasi gorengnya kurang enak.tapi indomie nya boleh juga. :) sebetulnya tempatnya lumayan enak.menarik dan simple penataannya.sayangnya terlalu rame.secara lagi hits banget ini UpNormal.Jadi buat ngobrol kurang enak.belum lagi agak terganggu dengan asap. Lanjutan,positive
"Suasana enak buat kumpul-kumpul. Makanan simpel mulai Indomie dengan berbagai topping, nasi dengan berbagai topping, dessert buah yang segar. enak. judul makanannya saja yang agak aneh-aneh. saya coba nasi tuna 25 ribuan yang berisi 2 potong tuna yang ditumis dengan irisan cabai, dan bawang, enak. trus dessert es krim dengan setengah kaleng leci 33 ribuan, tak terlalu murah tapi lumayan. Lanjutan",positive
"Nunggu 60 menit untuk nasi wagyu dan nasi sosis,dibilangnya sudah sold out setelah 60 menit menunggu. Ga ada staff yang peduli untuk menginfokan ke kami. DEFINITELY WOULD NOT COME BACK!",negative
"Menu warkop , tempat gaul. Paling enak kesini pagi hari masih sepi.klo siang-mlm rame bingitzzxz. Cocok untuk abg or remaja. Buat bincang bisnis ngga cocok tetlalu crowded. Kopinya gayo arabica mantep, sayang ngga ada manual brew.smuanya pake expresso mesin. Buat kawula muda cocok lah",positive
"Nongrong disini setelah makan malam di restoran sebelahnya dan suami ingin minum kopi. Tempat ini adalah tempat nongrong anak muda dengan menu murah dan suasana yang high class. Tempat ini menyiapkan ular tangga, monopoli, uno dan permainan foosbal bagi pengunjungnya. Tampilannya keren hanya saja saya kurang suka dengan kopi yang disajikan (terlalu manis, bahkan sebelum saya menambahkan gula.",positive
"kemarin saya pergi kesana bersama teman saya,makanannya enak, tempatnya gampang dicari dan staffnya ramah.dan untuk kebersihannya cukup baik.",positive
"Ini semacam warkop versi upgrade. Jadi, menunya indomie, roti tapi dimamcem2in. Kemarin cuma cobain chilli beef rice. Pedes banget asli. Ya rasanya biasa aja sih. Mau coba indomie yang dikasih keju dll, taku failed. Jadi temen-temen pada mesennya yang original. Yang kerennya sih suasanya dibuat kaya coffee shop masa kini dengan mural. Terus ada gamenya juga di setiap meja, kaya. Lanjutan",positive
"Warunk Upnormal Jalan Riau merupakan Warunk Upnormal terbesar yang pernah saya kunjungi. Selain besar, tempatnya juga cozy untuk ngumpul bareng teman dan sahabat. Toiletnya representatif untuk jumlah pengunjung yang banyak. Satu kekurangan Warunk Upnormal Riau adalah sistem reservasinya. Pengunjung bebas melakukan reservasi tanpa DP dan juga tanpa kejelasan kapan pengunjung reservasi tsb akan datang ke tkp. Hal ini bisa menjadi. Lanjutan",positive
