content,polarity
"Lokasinya relatif berada di tengah kota Bandung. Tidak jauh dari Gedung Sate, jajaran FO Jalan Riau, Jalan Merdeka (BIP, Gramedia, Balai Kota), Jalan Dago. Tapi sebagai kafe yang memberi nama dirinya ""KOPI PROGO"", tidak ada racikan kopi spesial/khas yang ditawarkan.",positive
pelayanan yg buruk.!!!! semua serba lambat dan kacau. pelayan terlalu slow dan makanannya ga enak.!!! udh gt MAHAL BANGET.!!!,negative
"Pertama kali ke tempat ini suasanyanya ya seperti cafe pada umumnya. Ada satu menu favorit saya, Alfredo spaghetti. Ada potongan ayam disetiap gigitannya. Rasanya menggigit di lidah. Sekali coba, bikin ketagihan. Serius",positive
Kecewa dengan pelayanan nya. Menunggu 3 makanan dengan waktu hampir 1jam. Sangat kecewa dan tidak akan datang lagi untuk ke 2x nya,negative
"Berdekatan dengan Jalan Riau, Kopi Progo tempat yang pas untuk istirahat. Gak cuma ngopi, minuman lain seperti milkshake juga ada. Makanannya pun beraneka ragm, ada Indonesia, Italia, dan menu western. Kalau yang hobi foto selfie, ada beberapa spot yang menarik untuk dijadikan background.",positive
tempat enak dan cozy harga kopinya masuk akal makanan dan kopinya pun enak kita bisa nongkrong dari pagi sampai malem disini asalkan order sayangnya gak ada wifi gratis buat pelanggan harus bayar via provider tel*omsel atau Sp**dy,positive
"Kopi panas n dinginnya nendang. Biarpun gak pake AC, tpi kok ya asik2aja. Bnyk mhssw yg nongkrong krn harganya relatif trjangkau kantong. Makanannya enak utk harga yg dibayar. Mmm. mungkin krn open air, sofa2 n kursiny agak dekil.",positive
"Kopi adalah kesukaan saya, karena itu kedai kopi adalah salah satu tujuan saat wisata. Kopi Progo tempatnya asik, rasa kopi lumayan, tidak terlalu istmewa tapi ok. Makanan enak, dan hampir semua harga terjangkau, dan cenderung ke murah. Cocok buat kantong mahasiswa.",positive
"Berharap dapat menikmati suguhan khas naai goreng progo, ternyata jam sebelas belum bisa dipesan karena bahannya masih dimasak, akhirnya memilih hidangan pengganti lain yang tersedia",positive
"Full music, dan lumayan asik sambil menikmati espresso. Makananya lumayan enak, menu yang saya suka pisang keju.",positive
"Kopi progo menyajikan aneka kopi mulai dari classic espresso sampai dengan kopi latte. Rasa kopi cukup enak, rata-rata rasa kopi cafe biasa, tidak ada yang istimewa dari rasa kopi yang disajikan. Disini juga ditawarkan makanan ringan menemani santai saat ngopi. Tempatnya cukup unik dengan live music dan cenderung rame saat malam hari.",positive
"tempat asik buat kalian anak muda yg suka nongkrong sambil ngopi2 pilihan minuman nya juga banyak tempat yang nyaman cocok juga untuk anda berbisnis dengan suasana yang nyaman dan santai ,, ditambah dengan ada live music setiap malam minggunya",positive
"Meskipun interiornya biasa saja tetapi makanan disini enak-enak. dari nasi goreng, sop buntut, terutama iga bakarnya.",positive
"Saya pernah ke lokasi yang di Progo, memesan pizza dan kurang empuk untuk bagian rotinya, pokoknya kurang, deh. Tapi kalau minumannya, sih, enak-enak aja. Lalu saya coba yang di Jalan Sumatra, pelayanannya kurang memuaskan, saya menunggu hampir satu setengah jam sampai makanan dihidangkan, entah salah paham atau bagaimana. Makanan yang dipesan pun ternyata porsinya tidak begitu 'puas'. Untuk nongkrong-nongkrong biasa. Lanjutan",positive
"saya bukanlah pecinta kopi hitam dan kopi pahit (black original coffee) karena tidak cocok dengan lambung saya kopi yang paling enak disini adalah kopi alpukat (avocado) dan kopi pisang. kopi bercampur alpukat tidak membuat rasa kopi ini memudar sangat cocok dilidah saya sebagai pecinta kopi campuran jenis makanan yang disajikan pun lumayan enak, favorit saya adalah kentang gorengnya untuk harga,. Lanjutan",positive
Almond latte in here taste so good . Tempat menarik dengan tata ruang klasik yang tua tapi tetap sejuk dan nyaman . Pilihan saya jatuh pada almond latte di sore hari . Kopi tubruk disini wanginya harum sekali . Love it :),positive
"Saya sebenarnya bukan coffee addict, tp saya cukup sering kesini untuk sekedar bersantai terutama yang berada di jalan progo yang entah kenapa menurut saya tempatnya lebih nyaman dibanding yang di jalan sumatera. Tempat ini sangat cocok untuk dijadikan tempat hang out bareng teman, pasangan ataupun keluarga. Makanan nya cukup bervariasi, hanya yang patut anda coba adalah risolesnya!",positive
"saat pertama ke sana, meja-meja mulai usang dan juga menu makanan yang tidak begitu bervariatif. Namun harganya tidak bisa dibilang murah, karena seharusnya dengan harga-harga segitu bisa dapat yang lebih baik. terutama saat saya ke toilet, sangat kotor dan berbau tidak sedap :(",positive
"YA, lebih dari kopi, bukan sekedar kopi, dan tidak hanya kopi. Di Kopi progo, kita akan merasakan sebuah tempat hang out yang oke, nyaman, dan ini adalah tempat yang hip bagi warga kota bandung.Di sini tersedia WIFI pula. Menunya sendiri bermacam - macam. mulai kopi khasnya, aneka minuman dingin seperti smoothies, makanan berat dari nasi goreng sampai steak yang semuanya. Lanjutan",positive
