content,polarity
"Konsepnya sangat bagus karena mengumpulkan para pedagang kaki lima yang terkenal di Bandung. Saya senang karena saya bias membeli banyak makanan favorit saya di sini. Yang pasti saya selalu membeli cireng dengan saus kacang di sini. Nikmat sekali, apalagi ketika masih panas",positive
Sama sekali tidak suka dengan pelayanan di tempat sini. Saya sudah sering ke the kiosk tapi baru kali ini kecewa. Sudah lebih dari 30 menit makanan tidak datang dan ternyata terdapat kesalahan sistem sehingga pesanan kami tidak dibuatkan dan tidak ada konfirmasi kepada kami. Pihak kiosk juga tidak menanyakan apakah pesana sudah lengkap atau tidak kepada kami. Saya TIDAK akan. Lanjutan,negative
"Makanan disini kebanyakan asli indonesia, bubur disini lumayan rasanya. tapi sanya harganya agak mahal dan pelayanannya sedikit kurang",positive
"Tempat yang menyenangkan untuk mencicipi aneka masakan dan jajanan khas kota Bandung, yang ""terkurasi"" dengan baik dari berbagai vendor legendaris. Rasa masakan dan jajanannya enak, kualitasnya terjaga (waktu itu saya mencicipi bubur Capitol). Tempat makannya juga terhitung cukup nyaman. Kelemahannya adalah harganya yang sedikit mahal. Akan tetapi, untuk Anda yang tertarik mencicipi aneka kuliner Bandung tanpa perlu banyak memutar otak,. Lanjutan",positive
"Sangat disayangkan tempat ini cepat sekali makanannya habis, tempatnya enak dan sangat cozy, harganya juga mahal",positive
"Salah satu tempat makan di Bandung yg menyediakan berbagai jenis makanan. Banyak pilihan makanan asli indonesia, jangan sampai terlewatkan jika berkunjung ke Bandung.",positive
"The Kiosk di area Dago ini merupakan tempat favorit saya dan teman2 semasa kuliah saya untuk hangout karena tidak seramai The Kiosk di Cihampelas. Suasananya jelas lebih sepi sehingga terasa lebih nyaman untuk makan dan mengobrol. Hari ini saya berkunjung bersama teman2 kerja saya untuk makan malam dan seperti biasa memesan menu andalan iga bakar, nasi bakar ijo dan siomay. Lanjutan",positive
"Rumah makan ini berbentuk seperti foodcourt yang menyajikan berbagai menu khas bandung dan beberapa daerah lainnya. Disini kita terdapat banyak pilihan menu makanan berat seperti nasi liwet, mie kocok, nasi bambu, nasi goreng dll. Selain itu juga tersedia menu cemilan seperti pisang bakar, ketan bakar, otak-otak dll. Pilihan menu minumannya juga beragam, mulai dari es cendol, teh poci, es campur. Lanjutan",positive
"Semacam foodcourt tapi bukan di dalam mal. Menyediakan berbagai macam makanan mulai dari tahu gejrot, baso, kupat tahu, sate, batagor siomay. Cocok untuk bepergian bersama teman-teman yang bingung menentukan mau makan apa karena cukup ke satu tempat ini saja langsung bisa mengakomodir keinginan orang-orang. Letaknya juga stategis, di jalan dago dekat persimpangan dukomsel",positive
"Kiosk menyajikan jajanan makanan indonesia yg enak2 seperti tahu gejrot, batagor siomai, iga bakar, wedang ronde, lotek, dll. Rasanya enak dan harganya murah, pelayanan cepat, disuguhkan live music juga dan restaurant bersih.",positive
"Terletak di jalan Dago yang ramai, depan Dago plaza dan tidak jauh dari persimpangan jalan Sulanjana. Menyediakan aneka jajanan khas kota Bandung. Mie kocok Kartika Sari, bakso malang Cipaganti, iga bakar Si Jangkung, kupat tahu Gepol, sate Hadori dan masih banyak lagi. Tempat yang pas untuk ngumpul keluarga, makan siang bersama teman atau menikmati makanan.",positive
