content,polarity
"Lokasinya di pinggir jalan, persis sebelum Tahu Lembang. Kesan pertama saat masuk ke dalam adalah seperti memasuki rumah kayu di daerah bersalju. Jadi terasa hangat dan menyenangkan. Terdiri dari bangunan 2 lantai dengan 32 set meja kursi untuk tamu (iseng hitung krn bikin tebak2an untuk anak hehehe.). D bawah, ada area terbuka di bagian tengah dengan 1 tempat gitu untuk. Lanjutan",positive
"Menu utamanya jelas pizza. kami coba pesan spicy papperoni pizza. dan ternyata. pizza nya crunchy,dan tipis. walaupun untuk pemesanan cukup lama. tp cukup puas untuk pizza nya.",positive
Gilak yee. pesen mix platter aja sampe lebih dari 30 menit. nanya ke pelayannya malah kabur. gak responsif. lama.,negative
Saya datang bersama suami. Pesan bbrp makanan. Tempatnya kami suka bagian bawah karena lbh romantis. Pelayanan jg oke. Ada live music. Bisa gesek pakai kartu. Saya merasa seperti cafe2 yg biasa kita kunjungi di pulau bali. Jd serasa ga dibandung,positive
"Tempatnya asik. Bagus didukung cuaca dingin lembang top deh! Cozy dgn concept nature tropical. Buat hang out oke. Sy dtg 18 maret sabtu Pizza nya yahud. nilai 9.5 deh. Sy pesan 3 menu lain selain pizza, syg semuanya ke asinan dan disajikan satu persatu dengan tempo per 15mnt per satu menu. verry slow. Padahal meski week end cafe tdk terlalu. Lanjutan",positive
"pizza di sini sangat recomended. Untuk makanan lainnya standard. Tempat sangat nyaman, ada bantal dan selimut. Resto ini terdiri dari 2 lantai.",positive
"suasanya nya lumayan cozy, masakannya standard. dan consept restorannya nyaman. buat hangout dan kumpul-kumpul boleh lah",positive
Tempatnya benar2 nyaman baik staff maupun interiornya. Makanannya pun lumayan beragam dan rasanya juga tidak mengecewakan. Jangan lupa untuk mampir ke sini bila anda main ke lembang,positive
"Buat yg menginap disekitar lembang tepatnya dekat2 dgn jl.kol masturi, resto ini patut anda coba saat malam hari, karena menu makan malamnya oke,minumannya jg lengkap, ada live musicnya, free wifi cumasayang saat saya kesana wifinya agak sulit koneksinya. Viewnya keren kalau anda duduk dilantai atas, tapi saat anda kesini pada malam hari saya sarankan menggunakan jaket karena lama-lama anda pasti. Lanjutan",positive
"Api unggun bar and pizza merupakan salah satu yang restoran yg wajib dikunjungi saat Anda berlibur ke Lembang. Tempatnya yang nyaman dengan suasana yang romantic akan membuat Anda lebih menikmati santapan makan malam Anda. Berbagai varian menu bisa Anda dapatkan disini. Bila Anda menginginkan menu restoran kota yang cukup sulit ditemui di daerah Lembang ini, Anda bisa datang ke Api. Lanjutan",positive
