content,polarity
"Sejak pertama masuk, tidak ada greetings, semua pelayan terlihat sibuk, kami pun baru dipersilakan ketika kami tanya dimana kami bisa duduk. Setelah duduk, kami pikir pelayan akan datang memberikan menu, tapi setelah menunggu 5-7menit, kami sendiri datangi pelayan untuk meminta menu. Kami tiba pukul 19.00 untuk menu all u can eat, sebelum order kami sudah diperingatkan bahwa last order untuk. Lanjutan",negative
"Restauran Fukuzushi yg sering kami kunjungi yang berada di jalan Bahureksa, lebih cozy dan tidak terlalu besar.Sushinya beraneka ragam, hampir semua sushinya enak2 disini dan recommend, mix salad nya fresh dan juicy rasanya. Restaurant Jepang yg recommend baik dari harga dan kualitas rasa.",positive
"Menunya bervariasi, saya kurang suka tempatnya yang terkesan agak sempit menurut saya, namun untuk harga menunya lumayan lah pas dikantong.",positive
"Untuk sushi standar, padahal dulu lebih enak waktu saya makan tahun 2012, bs saingin sushi tei, apalagi salmon skin friednya. cuma entah kenapa semenjak tahun 2014 rasanya jadi kurang enak lagi. tapi semenjak itu juga jadi banyak promo seperti all you can eat.",positive
"Setelah bolak balik PVJ akhirnya kita memutuskan untuk dinner disini sekitar pk 20:00. Dari menu sudah banyak yang tidak ada. Akhirnya pesanlah kita salmon crunchy mk yang lebih baik dari semua makanan kita pesan. Salmon skin fried keras seperti digoreng ulang. Spicy karage mk keras sekali daging karagenya, sulit untuk dikunyah. Dan yang paling mengecewakan house special ramen, selama 20. Lanjutan",negative
"Saya datang ber 8 dengan teman-teman saya sehingga banyak varian sushi yang saya cicipi. Rasa dan kualitas bahan di restoran ini biasa saja, sangat jauh dengan restoran-restoran sushi lainnya yang sering kita jumpai di pusat perbelanjaan besar. Namun dengan harga 100 rb ++, bisa dibilang kualitasnya sesuaidengan harga yang ditawarkan. Saya seorang penggemar sushi dengan bahan utama unagi, dan dapat. Lanjutan",negative
sejujurnya kebetulan beberapa variasi sushi yang saya beli kurang enak.masih agak dibawah beberapa merk kompetitor sushi lainnya.tapi untuk pelayanan dan lokasi cukup bagus.lokasi buat nongkrong cukup nyaman.pelayanan cukup baik.,positive
lumayan enaak dan murah disini.tempatnya lumayan siih.walaupun agak sempitt sedikit.hehhee.tapi puas karna makanannya enak,positive
Beberapa waktu lalu coba promo all you can eat dari fukuzushi yang harganya cukup murah karena dibawah 100rb sedangkan kalo di tempat makan sushi lain harganya bisa lebih mahal. Secara umum menu pilihannya banyak jadi costumer bisa memilih beragam jenis sushi. Sayangnya rasa sushinya biasa saja tidak seenak jika kita memesan sushi secara satuan yang ada di menu.,positive
Beruntung saat ke sana sedang ada promo diskon 30% pada hari kerja dengan minimal transaksi Rp100.000 pada sekitar jam 11 siang. Pilihan menunya pun cukup bervariasi.,positive
Restaurant ini menawarkan all you can eat sushi dan ramen. Rasa sushi dan ramenpun cukup enak dan harganya pun cukup terjangkau,positive
"Ini restoran all you can eat ramen & sushi, tapi menurut saya lebih baik pesan sushinya karena lebih enak dan bervariasi. Tempatnya ok untuk kumpul bareng keluarga/teman, dan kalo kamu pilih duduknya di area sushi bar, asik juga loh bisa lihat koki disana bikin sushinya.",positive
"Fukuzushi menawarkan all you can eat untuk sushi dan ramen, saat masuk pada pukul 19.00 saya diberi tahu bahwa last order adalah pukul 20.00. Oke setelah memesan, pada pukul 19.30 seorang pelayan menawarkan untuk melakukan pemesanan karena sudah last order dengan alasan koki hanya dua orang. Setelah berdebat baru dikabulkan untuk last order pukul 20.00. Secara keseluruhan rasa sushi nya. Lanjutan",negative
"Salah satu tempat yg sering dikunjungi kl ingin makan sushi. Lokasi di PVJ Sukajadi. Keponakan2 kecil kami cukup suka tempatnya, barangkali karena ada ban berjalan dimana aneka sushi bersliweran. Rasanya sendiri cukup enak, walaupun byk tempat sushi lainnya yg lebih enak. Harga cukup mahal terutama untuk desertnya.Tapi okelah tempatnya tidak terlalu luas tp cukup nyaman dan bersih, dengan pelayanan agak. Lanjutan",positive
"Sebagai penggemar sushi, saya suka mencoba restoran Jepang yang menyajikan menu sushi. Fukuzushi layak dicoba bagi penggemar fusion sushi. Terutama karena tempat ini juga sering mengadakan promo dengan kartu kredit atau kerjasama dari voucher online. Harganya jadi sangat lumayan juga tetap menjaga kualitas. Layanan masih bisa ditingkatkan, tapi tidak jelek juga. Dapat dijadikan pilihan saat mengunjungi mall PvJ",positive
"Rasa sushil lumayan enak tapi bukan yg terbaik di Bandung. Terakhir kali ke sini saya menggunakan sistem all you can eat mereka. Hati2 dalam pemesanan sushi karena ada sat jenis sushi yg sangat pedas (saya lupa namanya) dan yg terenak adlah satu jenis sushi yang digoreng (saya juga lupa namanya). Pada permulaan, pelayanannya sangat lambat dan seiring makan, pelayanannya cukup. Lanjutan",positive
"Pertama makan disini karna ada promo dari online shopping. yang standarlah makanannya, harganya kalau normal saya gak akan beli kecuali ada diskon, karna harganya sama dengan sushi sebelah yang pasti lebih enak.",positive
2 hari yang lalu saya makan di tempat ini dan saya memesan untuk di bawa pulang dan makan di tempat Saya melihat kode di bon pesanan saya ada tanda antara di bungkus dan makan di tempat yang luar biasa mereka menyajikan ke meja yang untuk di bungkus dan membuat yang untuk makan di tempat dan mereka tidak tahu kode yang. Lanjutan,negative
