content,polarity
"Sebagai pecinta makanan daging kambing, saya beberapa kali ke resto ini, dagingnya empuk dan rasanya juga enak serta dagingnya tidak berbau. Selain sate polos, buntel dan gulenya juga sangat rekomen. Saat ini saya mulai kecewa karena ukuran dagingnya jadi semakin mengecil dibanding sewaktu saya makan disini sebelumnua, padahal ukuran merupakan kualitas. Untuk rasa memang tetap dapat dipertahankan, daging kambing muda. Lanjutan",positive
"Menu yg saya pesan adalah: Sate kambing (43) Lontong (5) Sate ati & ginjal (42) Nasi putih kecil (3) Jus sirsak (15) Jeruk manis panas(15) Pesanan datang dengan cepat, jus sirsak cukup kental terasa buah aslinya, jeruk nya juga segar, gulanya asli. Sambal yg tersedia sambal kecap dan potongan bawang serta tomat. Daging kambing sungguh sangat lezat, begitu pun dengan. Lanjutan",positive
warung sate marem menjual sate kambing. sate kambing disini dagingnya empuk dan tidak terasa bau kambingnya. patut dicoba!,positive
Makan sate disini masih sama empuk dan pedas manis bumbunya selalu menggoda. Daging kambing merah plus bumbung kecap nya sempurna.,positive
"Satenya bener-bener empuk, daging terasa segar, gulenya lezaaatt. Pelayanannya ramah. Tidak seperti tempat jual sate yg lain, di sini tempatnya bersih. Sangat puas deh.",positive
"Cukup banyak warung sate di jalan setiabudi tapi ini yang menurut saya paling enak. Satenya empuk, besar dengan bumbu yg menyerap. Harus dicoba kalau bermalam di daerah setiabudi / lembang",positive
"Satenya empuk, karena menggunakan daging kambing muda. Sayang tempatnya agak kecil & nyempil, jadi terkesan sumpek",positive
Sangat direkomendasi buat pencinta sate. Daging nya empuk pisan euy. Gigitan pertama enak banget lanjut sampe lanjut satu porsi plus jeruk panas. Salam Trip Trip,positive
"Malam ini kami sekeluarga mampir di sate tegal maranggu di setia bydhi: kami pesan sate: ayam,kambing dan sapi.wow enak sekali .",positive
"Saat ingin makan sate kambing, tempat ini adalah pilihan saya. Dagingnya empuk, besar, dan rasanya enak. Juga tidak berbau kambing terlalu menyengat",positive
"Beberapa waktu lalu, saya dan istri berlibur selama beberapa hari di Bandung, kami mencoba beberapa makanan khas dan mengunjungi beberapa obyek wisata terkenal di Bandung. Dan saya ingin berbagi pengalaman dengan sangat merekomendasikan anda untuk berkunjung dan mencoba hidangan-hidangan spesial di Warung Sate Tegal Marem, karena servicenya Ramah, Rasanya lezat, mantapp dan reasonable price. Cocok untuk semua kalangan.",positive
"Mengunjungi tempat ini untuk yang kedua kalinya bersama kolega dan kerabat saya, pelayanan yang sangat memuaskan, rasa tiada tara, terjangkau. Wajib mengunjungi tempat ini ketika anda berlibur ke Bandung !!!",positive
