content,polarity
"Ketika saya training di Bandung, acara makan malam bersama diadakan di caf ini. Dari lokasinya sangat strategis karena berada di jalan Dago, dekat dengan Simpang Dago. Layout dan suasana cafenya juga OK. Tapi makanannya tidak enak. Makanan yang saya pesan tidak saya habiskan sehingga pulang dari caf ini, saya masih kelaparan",negative
"Tempatnya kalau buat nongkrong sih enak, minumannya juga harganya standar 25-50k . Makanannya rasanya juga biasa, tapi keluarnya lama banget.",positive
Soto ayam nya enak sekali. tempat nya bagus meski sedikit remang remang. cocok banget kalau mau nongkrong atau dating di tempat ini. recommended,positive
"Menu makanan lengkap, Unik kaya Rainbow Volcano Pizza nya. harganya pun standar. ga terlalu mahal dan tempatnya enak buat tempat kongkow-kongkow bareng temen-temen untuk bawa keluarga juga lumayanlah",positive
"Makanannya tidak terlalu mahal, beli pizza dengan harga kurang lebih 60 cukup untuk 3 orang. Suasananya enak nyaman buat ngumpul bareng temen.",positive
Kami mencoba menu Volcano Pizza dan Ravioli Salmon with Truffel oil.enak.pizzanya sangat besar bisa untuk share 3 orang.memuaskan.m,positive
Restoran nya nyaman suasana nya cukup asik. Mesen volcano rainbow pizza yg unik rasanya juga enak. Pizza beda dari biasanya. Harga sesuai dengan apa yg disajikan.,positive
"Asik sekali bisa mencoba makan di cafe cafe bandung dan pilihan jatuh di Verde dago! Enak sekali makanan yang di tawarkan dengan harga yang beragam, lalu minuman dan snack juga sangat enak! Wajib membawa teman untuk hang-out bareng disini",positive
"Salahsatu cirikhas dari Verde Resto adalah menu pizza nya. Yang menarik adalaha Pizza rainbow dan Pizza Volcano. Ketika saya berkunjung kesini, saya dan teman-teman memesan Pizza Volcano. Proses penyajiannya unik. Saat pesanan diantarkan ke meja, pramusaji sudah membawa secangkir cairan untuk membakar Pizza tersebut. Daaaaaan voilaaaa.seluruh permukaan pizza pun menggembung terbakar dan diselimuti api. Menurut kami itu sangat menarik sehingga. Lanjutan",positive
Saya kembali ke sini untuk mencoba menu lain salah satunya Aglio Olio. Rasa Aglio Olio sangat standard. Menu favorit tetep steak salmon. Porsi besar dan rasa nya sedap sekali.,positive
"kuliner pizza adalah kuliner saat santai atau jalan seru bersama istri. favorit istri soalnya pizza, setelah yogyakarta dan menemukan pizzeria nanamia, saya ke bandung jalan weekend bersama istri sekedar kuliner pizza. tujuannya adalah verde cafe di jl. juanda. dekat sama rumah teman klub mobil tua,jadi aman bisa rehat santai.haha.ngirit cuy.yak kembali lagi menu favorit yang bikin saya penasaran adalah Pizza. Lanjutan",positive
"Terletak di Jalan Dago, Verde memang mudah untuk dicapai. Sudah beberapa kali saya melewati Verde dan selalu penuh sehingga membuat saya penasaran untuk mencobanya. Saya beruntung bisa mencobanya pada saat weekend. Verde sesuai namanya memang seperti lounge di mana di tengahnya terdapat bar yang dikeliling oleh tempat duduk. Pengunjung juga bisa memilih untuk duduk di meja yang biasa. Saya memilih. Lanjutan",positive
"Terletak di pusat kota, restoran ini hampir tdk pernah sepi pengunjung. Saya sudah berkali-kali memilih tmpt ini krn suasana yg sangat nyaman dan makanan yg enak. Makanan yg paling saya suka di sini adalah grilled salmon nya. Recommended bgt.",positive
