content,polarity
"Makanan enak, tempat enak dan strategis, jadi pilihan saya dalam merayakan anniversary setiap tahun bersama dia Terima kasih",positive
"Makanan yang di order dingin, ga berasa baru di masak. Untuk taste so so lah. Mixed juice nya juga berasa kurang fresh, kayanya bukan fresh juice atau pure dari buah. Tempatnya biasa aja, ok untuk arisan tapi kurang ok untuk family. Pelayanannya kurang ramah & kurang gesit, untuk order makanan aja sampe manggil berulang ulang.",positive
"Tempatnya cozy dan nyaman, harga lumayan agak mahal namun rasanya enak jadi pas, cocok buat arisan dan nongkrong sama temen atau buat acara keluarga juga oke",positive
Suasana restoran nyaman Rasa makanan enak dengan harga yang menengah Menu bervariasi Cocok untuk suasana gathering bersama teman atau keluarga,positive
"Ketika menghadiri suatu acara keluarga yang bertempat di Le Marly maka yang terpikir ialah pantry yang khas dengan menu yang khas pula. Ternyata dugaan saya benar, menu yang ditawarkan oke banget [berbanding lurus dengan harganya :)] demikian pula minumannya. Namun karena malam minggu sehingga waktu tunggu sejak memesan sampai makanan datang membutuhkan waktu lebih dari 30 menit. Sebetulnya no problem. Lanjutan",positive
Pesan pasta dengan saus putih tapi sausnya kurang kental dan kurang rasa. Kalau pastanya sih dimasaknya pas tidak terlalu lunak cuma rasa sausnya kurang enak. Salmonnya juga bumbunya tidak enak. Sangat mengecewakan.,negative
Tempat makan dengan dekorasi yang unik. Menu yg berada di botol dan dekorasi yang manis. Nyaman serta makanan yang enak. Pancake juga smootiesnya :),positive
"Breakfast, lunch sampe dinner makananya enakkkkk semua!! Menu minumannya lucu unikkk, suasananya juga seru asik foto foto. Bisa buat arisan birthday dll. Tempat strategis buangettttt",positive
"Berniat untuk berkunjung ke restoran lain namun tidak mendapat parkir akhirnya berlabuh ke restoran ini. Saya memesan Butter Rice dengan topping Spicy Tuna yang rasanya lezat dan istri memesan Sop Buntut yang juga lezat. Selain itu juga kami memesan pizza BIANCHI RUSSO untuk dibawa pulang yang berisikan Smoked beef, beef sausage, pineapple, mushroom, mozzarella yang juga enak dan crispy. Menu. Lanjutan",positive
"Cozy bgt tempatnya, enak masakannya n lengkap menunya, harganya jg terjangkau Top markotop bingiiitz Cobain deh",positive
"Makanan di sini lumayan beragam, dari pasta, pancake, waffles, dan juga pizza. Pelayanan lumayan cepat, tempat juga enak untuk kumpul-kumpul dengan teman lama atau keluarga. Harga per orang sekitar Rp 80.000 untuk makan dan minum",positive
"menu makanan yang disediakan restoran ini adalah makanan modern. Rasa makanannya enak-enak sepanjang yang pernah saya coba. Minumannya pun enak dan menarik tampilannya. Tempatnya cozy untuk berkumpul bersama keluarga ataupun teman-teman. Harga lumayan, tidak bisa dikatakan murah juga, tapi masih terjangkau untuk kelas menengah.",positive
"Makan siang di Le Marly mencoba tarantasca yang favorite. Enak, cream permesan sauce nya juaraaaa ditambah peach mojito. enak!",positive
"Saya suka dengan design cafe ini seperti di dalam rumah dengan berbagai pernak pernik interior, untuk makanan standar, boleh dicoba nasi butter salmon cukup enak",positive
untuk menu makanan sebenarnya tdk terlalu banyak tapi untuk rasa saya acungi dua jempol enakkk.soal harga relatif ya dengan rasa seperti itu saya berani untuk membayar lebih. tempat cukup strategis apalagi di depan ada mesjid istiqamah (saat itu saya dtg wkt bulan puasa). pelayanan cukup cepat mengingat saat itu jam buka puasa. hanya saja tempat parkir kurang luas,positive
"Saya terkesan dengan menu yang ditawarkan oleh Le Marly yang ""eropa banget"". Rasanya enak dan memuaskan lidah, bahkan daging steak lokal disini pun sama empuknya dengan daging steak impor.",positive
kami sekeluarga datang sekitar jam 3 sore untuk sekedar nongkrong. walaupun pengunjungnya cukup ramai namun suasana restorannya tetap nyaman dan berkesan tenang. daftar menu minuman cukup unik karena ditulis di kertas yang tertempel di botol minuman. Makanan yang kami coba : vermon dan aurillac (mudah2an tulisannya tidak salah) ditemani minuman vanilla milk shake (manis) dan lemon mojitos (segar) Enak buat. Lanjutan,positive
"Tempat yg sangat cozy utk nongkrong. Makanan dan minuman ygu lezat, ditambah suasana cafe yg nyaman, lingkungan yg teduh, menjadikan tmpt ini layak direkomendasikan.",positive
"Saya hanya datang kemari untuk ketemu partner bisnis dan saya sendiri sudah kenyang dengan sarapan. Akan tetapi tempat ini ternyata malah menggoda untuk nambah. Le Marly berada di seberang taman mesjid Istiqomah dan yang menarik ternyata tempat ini sudah buka sejak pagi untuk tamu-tamu yang ingin brunch. Saat saya berada di sini sekitar jam 9 pagi, ternyata banyak tamu yang. Lanjutan",positive
