content,polarity
"Pelopor batagor ini masih cukup tenar di bandung dan untuk para wisatawan. Namun sepertinya sudah sedikit bergeser pamor nya,, karna banyak sekali bermunculan merk batagor2 lainnya. Tapi batagor ini masih cukup bagus rasa dan kualitasnya.",positive
"Datang kesana untuk Take Away yang setengah matang. Lokasi tidak jauh dari per4an. Jadi jika lokasi nya diseberang jalan agak sulit mencari parkiran. Suasananya oke banget, pelayanan cepat dan tepat. Selain menjual barat of disana tersedia ice aneka rasa, dan menu yg lain.",positive
"Batagor adalah singkatan dari bakso tahu goreng. Batagor Riri termasuk batagor yang terkenal di Bandung. Rasanya enak, gurih dan terasa ikannya. Batagor Riri ini cepat sekali tutupnya. Jangan terlalu sore atau kemalaman ke sini, sering kehabisan.",positive
"Saat rapat di Hotel Sensa, saya memesan Batagor Riri menggunakan aplikasi Gofood/Gojek. Pesanan tiba dalam waktu tidak lama karena ternyata paket batagor dan siomay sudah di-pack dalam plastik vakum. Harga yang tertera dalam aplikasi Gojek/Gojek belum termasuk pajak sebesar 10%.",positive
"Selalu klo ke bandung wajib makan batagor, atau beli buat oleh2. Hari minggu kemarin saya mencoba mie pedas ala batagor riri dan rasa nya juara pedasnya apalagi yg level 3. Batagor dan mie pedas nya juara bgt jd ketagihan.",positive
Batagornya beda sih dengan yang lain. yang ini aroma ikannya lebih berasa di mulut. nendang banget. terus ada yang model kuah2 gitu. jadi kayak baso malang.,positive
"Batagor adalah makanan khas dari kota bandung. Batagor riri ini salah satu pelopor batagor trkenal di bandung. Dulu masa jaya , sy nilai Ok untk rasa nya . Tapi semakin kesini, brmunculan batagor batagor yg lain ,, jd rasa batagor riri buat sy sdh tidak Ok lg . Jd biasa ajaa",positive
"Klo travelling ke Bandung, wajib makan batagor Riri. Waktu itu saya makan yang di cabang Paskal Hyper Square. Harganya lumayan mahal Rp 15.000/pcs untuk batagor dan siomaynya. Tapi enak banget deh, bawaannya pengen nambah terus.hahaha.",positive
Saya tadinya penasaran dengan tempat ini karena di tempatnya banyak sekali foto2 kunjungan para artis ke tempat ini tapi pas saya pesan makanan unggulan d tempat ini saya rasa tidak setinggi pemikiran saya yang ada biasa saja dan keras. Jadi aneh bagi saya tempat ini bisa sebegitu terkenalnya,negative
"Batagornya enak, tapi saus kacangnya lumayan pedas. Agak mahal menurut saya. Menu cukup beragam. Tempatnya strategis tapi parkiran terbatas.",positive
Batagor riri memang hadir sejak dulu. Bahkan dari harga per potongnya 250 rupiah pun saya pernah rasa. Sayangnya makin lama batagor riri makin tenggelam dibanding competitor sejenis. Memang lebih baik cari opsi lain jika ingin membawa oleh - oleh keluarga karena its not worth for value.,negative
di bandung dengan begitu banyak pilihan makanan kami memutuskan utk mampir k batagor riri. dengan harga yg tinggi tapi ternyata rasa batagornya biasa saja. bagi yang belum pernah mencoba kami tidak merekomendasikannya kecuali kalau anda memang sangat penasaran.,positive
"Batagornya enak, bumbunya pas. harganya aja yang agak mahal hehe. cocok jadi oleh-oleh, bisa minta goreng setengah matang dulu atau tidak digoreng dulu.",positive
Ke Bandung Kita memang harus coba semua Batagor yg disebut enak. Walau akhirnya bingung karena semua nya enak he he. Riri juga enak walau lebih mahal sedikit .,positive
Batagor terdiri dari siomay dan bakso tahu goreng yang di goreng dan disajikan dengan saus kacang yang gurih. Selain batagor juga tersedia bakso campur dan mie ayam pedas. Harus makan disini bila berkunjung ke kota Bandung. Sangat enak.,positive
"Batagornya enak sekali, pengepakan nya juga bagus, divacuum sehingga bisa di bawa pulang k Palembang tanpa rasa khawatir akan berubah rasa. Ada harga ada rasa lah",positive
"Menurut saya soal rasa tidak istimewa, saus kacangnya juga biasa rasanya. Msh ada batagor merk lain dengan harga yg jauh lebih murah namun rasa lebih enak. Harga cukup mahal, 5 potong Rp.70 ribu (Desember 2015).",positive
"Pas kesini sudah hampi larut malam., tapi untungnya masih ada batagor yang tersisa hehe., akhirnya dibungkus aja. dan memang sih ukurannya besar sesuai dengan harganya yang ""besar""., jadi makan 1 pieces aja udah kenyang banget. Sambal kacangnya cucok banget dengan batagor ini. Saya lebih memilih batagor dibanding dengan siomay karena lebih digoreng dan garing aja , secara taste keduanya hampir. Lanjutan",positive
"Jika ke Bandung, jangan lupa beli batagor dan salah satu pelopor yang cukup terkenal adalah Batagor Riri. Rasanya hampir sama dengan batagor yang lain (rasa ikannya lebih terasa) dengan sambal kacang yang juga sama dengan yang lain. Kelebihan dari batagor ini adalah besar-besar. Selain batagor juga dijual siomay dengan rasa yang hampir mirip. Di rumah makan juga tersedia mie dan. Lanjutan",positive
kalau ke Bandung ngidam Batagor? naah kudu nyicip yang satu ini nih. ikannya kerasa banget. bumbu kacangnya gurih. makan 2 aja udh kenyang banget. soalnya 1 porsi aja udh gede banget.,positive
Secara rasa batagor riri cukup mengesankan.inovasi dlm packaging supaya bisa dibawa sebagai oleh oleh luar kota juga makin baik dg adanya kemasan kedap udara Sayang oleh oleh ini kurang merakyat secara harga.sebuah batagor harga 12rb tidak semua lapisan mayarakat indonesia bisa menjadikan buah tangan.,positive
"Batagornya rasanya sih lumayan, tapi harganya mahalll untuk ukuran 1 buah Rp. 12.000. juice nya rasanya lumayan enak",positive
"batagor adalah riri, rasanya sangat bandung banget. ikannya terasa, bumbu kacangnya enak,. sellau menjai tujuan kuliner saya setiap di bandung, namuns ayang harganya agak mahal ya,",positive
"Saat awal mengenal Bandung, batagor Riri yang terletak di jalan Burangrang ini merupakan tempat makan favourit saya sekeluarga. walaupun sekarang banyak batagor-batagor lain, Batagor Riri menjadi oleh-oleh khas bandung yang wajib saya bawa.",positive
"Saya menyempatkan ke Batagor Riri untuk membeli batagor yang masih mentah untuk dibawa pulang ke Jakarta untuk digunakan sebagai lauk sahur di Jakarta,, Rasa Batagor Riri sangat enak dan kemasan untuk dibawa pulang pun rapih dan pelayanannya sangat ramah dan cepat, cuma sayang sambal kacang / Bumbunya kurang banyak untuk pembelian yang 10 porsi.",positive
"Ngefans sejak 8 tahun yg lalu.enak dan porsinya pas. Anak anak juga suka. Sayangnya tidak ada pilihan bumbu kacang, pedas.",positive
sejak smp sampai sekarang selalu ingin lagi dan lagi mencicipi bayagor riri.hmmmm pasti teringat masa masa lalu makan bersama teman teman,positive
"Batagor Riri merupakan salah satu jenis makanan yang sering saya beli sebagai oleh-oleh dari kota Bandung. Rasa batagor-nya enak dan memiliki kemasan yang rapi sehingga gampang untuk dibawa. Harga satuannya sekitar Rp.10 ribu, yang menurut saya agak kemahalan jika dibandingkan dengan jenis batagor lainnya di kota Bandung.",positive
"Tempatnya nyaman, dan ketika datang sepi. porsinya banyak untung ukuran batagor, cuma perlu ditambah sambel aja biar pedes",positive
saya menikmati batagor di riri di pool travel cititrans jl. dr junjunan sambil menunggu jam keberangkatan ke jakarta. hanya tersedia siomay dan tahu dengan harga 10rb per potong. rasa ikan tenggirinya cukup kental dipadu dengan saos kacang bercampur kecap manis. cukup mengenyangkan sbagai camilan di sore hari,positive
"Batagor Riri salah satu tempat yang banyak dicari dibandung, karena memang sudah berdiri sudah lama. berada di jl burangrang, apabila berjalan dari jalan gatot subroto menuju jalan asia afrika, sebelum simpang 5 menara CIMB Niaga belok kiri, dari situ sekitar 200 m sebelah kiri sebelum perempatan pertama. tempatnya tidak pernah pindah - pindah, dan menenpati warung yang tidak terlalu besar,. Lanjutan",positive
"Batagor Atau Baso Tahu Goreng merupakan Kudapan yang diyakini khas Bandung.Namun ternyata merasakan Batagor langsung di Kota Bandung tidak Istimewa sama sekali. Batagor Riri yang digadang - gadang sebagai salah satu Topnya Batagor Bandung ternyata rasanya Biasa saja, Bumbu Kacangnya kental dan cenderung manis. Konsep Kedainya dimodel seperti restoran cepat saji dan pelayanan yang diberikan sangat minimalis. Anda harus memesan. Lanjutan",negative
"ditempat ini banyak post-post makanan seperti batagor, bakso, dll tapi anda harus mengantri di dikasir untuk memilih makanan yang anda inginkan dan langsung membayarnya, makanan akan datang beberapa menit kemudian",positive
sempat mencicipi batagor yang di bilang orang ke bandung kudu ke batagor ini overall mencoba saya kurang cocok dengan batagor ini masih lebih suka dengan merk yg lain @__@ bukannya tidak enak . tetapi seleranya gak sama overall batagor ini cukup ok gak amis dan bumbunya kental,positive
"Batagornya empuk dan enak, apalagi kalau dimakan sewaktu hangat. Dipadu dengan bumbu dan sambal, penuh cita rasa. Ukurannya juga besar. Namun harganya juga sepadan :)",positive
"Selalu beli batagor disini, lokasi memang bukan tepat ditengah kota, tapi mudah dijangkau, parkir mobil mudah. Soal rasa jangan ditanya.enak. memang untuk beberapa orang, harga nya mahal. Tapi sebanding.",positive
"1 Potong Batagor dengan harga 7500, rasanya sangat mahal bukan? saya mengenal batagor ini dari harga 1250 rupiah dengan kualitas yang lebih menggigit, tetapi sekarang? menurut saya kuantitas dan kualitasnya jauh lebih menurun. Alternatif lain untuk membeli batagor: Batagor Isan, Batagor Bandung, Batagor Burangrang (semuanya dekat dengan lokasi batagor riri)",positive
"batagor okelah. rasanya enak. kebetulan makannya di food court, jadi tidak seenak jika fresh. bumbu kacangnya terlalu halus",positive
Batagor Riri menjadi salah satu icon wisata kuliner di Bandung. Tidak lengkap pergi ke Bandung tanpa mampir mencicipi nikmatnya saus kacang yang melumuri Batagor Riri. Harga batagor ini juga relatif terjangkau. Cocok untuk jadi oleh-oleh wisata dari Bandung.,positive
"Batagor ya Riri donk! walaupun pricey tapi ga rugi dibeli. Kudu nyobain deh, dijamin kalo ke bandung ga cuma beli molen lagi en lagi",positive
