content,polarity
"Makan Suki di Braga Bandung, sup tom yam nya segar, makan suki sampai puas bersama keluarga, milkshake vanila nya juga enak anak-anak suka",positive
"Hampir lebih 5 kali saya ke sini. Dim sum nya yahud dan harganya terjangkau banget. Tempatnya asyik dan sangat nyaman. Pelayannya ramah walaupun kita cuma berdua dan makan tidak banyak jenisnya. Pokoknya recommend banget,bila mencari dim sum atau shabu di bandung.",positive
"Variasi suki macam2,kuah suki enak,apalagi kuah tomyamnya.dimsumnya enak,semua recomend.soal harga lumayan diatas rata rata.tapi sesuai dengan kualitas rasa.",positive
"Sudah dua kali saya ke Bandung Suki untuk menikmati shabu shabunya yang enak dan engga mahal, Range harga untuk shabu-shabu per porsi dari 20k - 30k. Restaurant yang recommended dan sangat cocok untuk anda yang ingin makan bersama-sama dengan kerabat / keluarga. Cuman agak susah untuk parkir mobil (tersedia valet service juga, tapi harus sabar menunggu ya guys)",positive
Letak nya persia depan braga city walk di jalan braga yang eksotis. Lokasi luasss . Dan rasanya emang top deh. Faforit saya justru bapao pandan. Cuman siapin uang agak banyak ya ehehhe berdua aja makan bisa hampir 5rTsan padhaal dah pilih2 selebihnya enak deh,positive
"ini adalah salah satu restoran suki pertama di bandung. menyajikan banyak aneka macam baso""an yang dibentuk menarik + aneka dimsum. rasanya lumayan enak.",positive
Sajian Kuliner daerah timurnya sangat beragam. Dim Sumnya pun sangat banyak pilihan. Konsep penataan tempat duduknya merupakan round table dengan meja berputar. Untuk parkir agak sedikit susah karena keterbatasan tempat dan arus jalan yang hanya satu arah di Jl. Braga-nya.,positive
Jika anda senang dengan makanan khas jepang yang satu ini memang sangat pas apabila anda kunjungi. Disana anda dapat memanjakan lidah serta perut anda dikarenakan makanannya yang lezat dengan penampilan yang menggoda,positive
"Terdapat banyak pilihan menu mulai dari Suki, fresh seafood yang bisa langsung dipilih dari akuarium, sampai berbagai macam chinese food. Menu favorit ayam lapis udang, udang galah telur asin, udang masak cabe kering dan buncis cabe garam. Letak restoran persis di seberang Braga Citywalk",positive
"Shabu shabu kuah tomyam sangat enak, bisa dicoba setengah kuah ayam karena bumbu sangat terasa. Untuk dimsum juga boleh dicoba.",positive
"bandung suki restoran ini sudah tak enak lagi. beda sejak pertama buka , tamu berjubel harus tunggu , kebagian meja, sekrang kosong melompong , makananan rasa nya sudah tak enak lagiiiii, saya tidak kepaksa tak kesini .",negative
"Bandung suki ini letaknya ditengah jalan braga, sebrang nya braga city walk. Kalau kesini saya nunggu ada diskon pake kartu kredit, biar harga nya lebih murah. Karena kalau biasa saya harus mengeluarkan uang 50-100 ribu, kan lumayan kalo diskon 50% pake cc. suki nya gausah diragukan lagi, yang paling enak di bandung menurut saya dan pelayanan nya juga bagus",positive
"Walaupun sejujurnya saya sering melewat tempat ini, tapi memang jarang mempunyai niat untuk mencobanya. Lalu saat ada kesempatan untuk mencoba, ternyata tidak buruk juga. Rasa kuahnya enak, dan bisa dimix sehingga bisa berganti-ganti. Menu sukinya pun cukup variatif, hanya saja mungkin akan lebih menarik jika pilihan sukinya dipajang sehingga kita bisa mengambil sendiri. Lalu ada pilihan dim sumnya juga, dan. Lanjutan",positive
"Lokasi resto sangat strategis di depan Fave hotel, menu suki lumayan enak dan lengkap, pelayanan baik. Harga terjangkau, cocok untuk makan bersama keluarga.",positive
"Dimsum di sini variasinya banyak, harganya wajar dan yang paling penting, enak!!! Ada meja yang disediakan untuk menyajikan berbagai macam bumbu tambahan untuk dimsum seperti bawang putih, berbagai kecap dan saus sehingga pengunjung restoran bisa menikmati dimsum dengan varian rasa yang lebih beragam. Biasanya dimsum tidak dikategorikan halal karena beberapa jenis dimsum menggunakan babi, namun di sini dimsumnya halal tapi. Lanjutan",positive
"Lagi di Bandung makan yang berkuah yang anget2 cocok banget. Untuk menu suki saya pilih kuah tom yum, rasanya nikmat & gurih. Selain itu dimsumnya juga ok, berasa enaknya. Untuk harga relatif terjangkau.",positive
"Penyajian cukup cepat, pelayanan baik dan pastinya masakan enak, untuk harga relatif. Susuai dengan rasa masakkannya.",positive
lokasi di jalan braga depan braga walk.tempat ini selalu ramai terutama dihari minggu.aneka dim sum dan masakan lain tersedia.rasanya luarbiasa.tempatnya nyaman untuk makan dengan keluarga besar,positive
