content,polarity
"Untuk ketiga kali nya, kami diajak teman makan di tempat ini. Lahan rumah makan ini sangat besar, ada area untuk indoor dan outdoor (Lesehan). Makanan yang disajikan makanan Sunda. Bagi saya rasa nya standard biasa saja, banyak pilihan dan harga terjangkau.",positive
"Tempatnya nyaman, waiternya ramah2, makanannya enak, porsinya banyak dengan harga yang masih terjangkau.",positive
"Rumah makan sunda dengan seabreg menu yang menurut saya enak banget apalagi semur jengkolnya. Menunya banyak pilihan dan tempatnya enak, aksesnya juga mudah",positive
"Akses ke resto ini sangat mudah. Resto ini juga sangat asri dan indah. Tanaman hias, arena bermain, gemericik air dan udara yang segar sambil menikmati hidangan yang tersaji. Menu yang tersedia sangat beragam seperti Gurame goreng, Gurame acar kuning, Gurame bakar, Nasi Timbel, Karedok, dan masih banyak lagi. Gurame goreng rasanya sangat nikmat , gurih dan renyah. Nasi Timbel rasanya. Lanjutan",positive
"lokasi terletak dekat dengan perumahan batununggal.parkir lega,ada saung di bagian belakang.nasi timbel komplitnya cukup enak.menu khas sunda spt:karedok,gurame goreng,sayur asem,qyam goren dan ayam bakar.",positive
"Pemandangan asri dan tempat parkir yang luas . Makanan lezat.Gurame goreng, karedok, ayam goreng, pepes ayam, tamusu",positive
"Tempatnya luas, tempat sangat mudah ditemukan karena berada di pinggir jalan utama di bandung, makanannya khas sunda",positive
mantap degh kalau makan disini menu sunda ada semua degh gak akan nyesel makan disini . dan buat yg bawa anak juga gak repot ada ayunan didekat rumah makan jadi saya akan datang lagi kalau ke bandung .,positive
Tempatnya luas. Menu nya?? Sunda pisan.sasambelan. Babakaran ikan. Lot k.dll. Ada ayun2n buat yang bawa anak. Pokoknya pas lah buat orang sunda yang kangen menu Sunda.,positive
"Bandung terkenal akan sorganya penggemar kuliner,minuman dan masakan yang berbagai jenis dan khas ada di Kota bandung,mulai restoran kaki lima sampai restoran kelas bintang. Ada yg menarik dari RM Sari Sunda ini,adalah pinggiran jalan raya by pass-soekarno hatta,dekat jlan tol buah batu atau tol moch toha,keunggulan2 lainnya adalah tempat sangat besar dan luas,dengan fasilitas kolam ikan,tempat bermain untuk anak/keluarga,ada taman. Lanjutan",positive
"Sudah tiga kali kami sekeluarga ke rumah makan ini. Alasannya sederhana, cukup dekat dengan rumah mertua di Buah Batu. keunggulan resto ini adalah tempatnya besar, ada kolam ikan dan tempat bermain anak, juga taman yang hijau. Juga ada tempat pertemuan besar untuk reuni dengan sound system. Tempat parkirnya cukup luas. Makanannya cukup standar masakan sunda.",positive
