content,polarity
"Ini bakmi gak pernah sepi pengunjung deh. selalu ramai dan selalu mengantri. Saya makan yang di Pasir Kaliki. bakmi Aloi ini menurut saya 1 porsinya sangat banyak, tapi tenang mereka nyediain 1/2 porsi, tapi tetap saja banyak 1/2 porsi,haha. di sana halal n non halal juga ada.menunya ada kwetiau. Mampir lah ke bakmi Aloi, gak akan nyesel deh dan pasti. Lanjutan",positive
"Saya makan yg di cabang taman kopo sepulang dr ciwedei. Porsinya besar sekali untuk yg ukuran normal, daging dan mienya sangat bannyak rasanya juga sedap. saran saya satu porsi untuk makan berdua. Atau porsi 1,5 untuk berdua",positive
"Porsinya agak besar ( buat ukuran saya ). Toping nya lumayan enak,tapi casio nya cenderung manis,jadi nabrak buat makanan gurih dan berminyak. Jeroan babi rebusnya enak,porsinya raksasa banget. Setengah porsi bisa buat makan 4 orang. Harga termasuk murah,buat yamien di bandung",positive
"porsi yang sangat banyak dan harga murah, tersedia 3 pilihan porsi : 1 porsi, 1/2 porsi, 1/4 porsi. pelayanan sangat ramah",positive
Penggemar yamien sama basooo. Boleh laa ini di cobaaa ini yamien sama baso nya ga kalah sama yamien baso yg lain - lain. Sedepp,positive
Bakmie aloi merupakan favorite anak saya.apalagi bakmi casiu(non halal) rasa mie yang khas dan tempat makan yang lumayan nyaman dan bersih. Harga mie juga tidak mahal .rata rata satu porai tidak sampai 20.000rupiah.cukup murah dibanding kualitasnya.,positive
"Setiap kali ke tempat ini selalu saja ramai pengunjungnya, karena bakmi disini enak dan murah, tempatnya juga strategis, berada di jalan utama kebon jati",positive
"bakmi porsi besar, cukup enak tapi tidak luar biasa OK lah letak di jalan besar strategis gampang ditemukan",positive
"Bakmi aloi ini ga pernah sepi. Pagi, siang, sore, malam selalu ramai. Yang saya suka di sini: 1. Bisa pilih porsi 1/2, 1, atau 1 1/2 Porsi 1/2 sudah pas banget buat cewe. 2. Rasanya beda dari bakmi lain di bandung. Rasanya segar, apalagi bila ditambah dg perasan jeruk limaunya. 3. Anak saya yg picky eater selalu lahap kalau makan. Lanjutan",positive
bakmi yang sangat enak.one of the best bakmi di Bandung.cabang yang di TKI Bandung juga cukup ramai.tempat parkirnya saja yang agak sulit kalau pas ramai.untuk rasa highly recommended.,positive
"Pertama coba dan langsung suka! Waktu itu pesen bakmi komplit.enak banget. Mie nya kenyal.ga terlalu kecil, ga terlalu besar. Porsinya besar, dagingnya juga banyak, ada jamurnya juga. Harga terjangkau sesuai porsi.",positive
"Setahu saya dulunya di sini tidak dihitung tax namun skrg harga semuanya bakal ditambah tax lagi. Rasa tetep enak. Kadang 1,5 porsi terlihat sama sepreti yang 1 porsi.",positive
"Mie prosi besar disajikan dengan daging panggan yang enak, jangan lupa pesan baso goreng dan liang teh disini",positive
Restoran bakmi Alou enak lah bakmi nya . Tambah daging chasau bakmi ini adalah bakmi ala pontianak . Kalimantan . Boleh lah coba,positive
"Buat penyuka daging babi, makan mie dengan daging babi yang diolah di Bakmi Aloi bisa dipikirkan untuk dicoba. Tetapi perlu diingat, mienya adalah mie jadi yang boleh beli, bukan bikin, jadi untuk rasa mie, sepertinya bisa diabaikan. Rasa dan tekstur daging babinya, bnaik Babi chasiu atau Babi Kecap, boleh masuk daftar menu enak.",positive
"Kami makan di Bakmi Aloi cabang Grogol seberang Trisakti. Seperti biasa, rasa bakminya kenyal dan daging babinya manis. Recommended porsi 1,5 biar gak laper.",positive
"Bakmi Aloi merupakan Bakmi non-halal yang tergolong baru buka di kota Bandung. Walaupun begitu, Bakmi Aloi selalu ramai oleh pengunjung terutama pada saat akhir pekan. Menu favorit saya adalah Bakmi babi cincang jamur dan ditambah dengan pangsit rebus, rasa mienya enak dan gurih. Menu lain yang harus dicoba adalah Nasi Tim ayam kampung.",positive
"Pertama kali saya makan di sini secara tidak sengaja karena melihat antrean orang di depan restauran. Rasanya enak, porsi mengenyangkan, harga terjangkau. Kalau tidak terlalu lapar, sebaiknya pesan 1/2 porsi saja.",positive
"DI Bandung terdapat banyak sekali ""genre"" mie yang terkenal dan tersebar di seluruh kota. Sebagai penggemar mie, Aloi jg merupakan kedai yang paling sering saya kunjungi. Tekstur mienya enak, kenyal, tender dah! Kuah-nya juga gurih dan wangi. Tapi sabar ya buat antri jika makannya pas Minggu pagi.",positive
Pernah nyobain bakmie? udah tau rasanya? pasti rata-rata sama aja kan? Kesini deh! Rasanya super duper beda enak banget parah. Rasanya yummy banget deh asli! Fav saya sih Bakmie Ayam Jamur enak banget deh! Kesini deh recommended banget.,positive
"Bakmi ini gak sama dengan mie2 biasa yang ada di Bandung, karna ini bakmi dari Palembang, jadi buat lidah orang Sumatera, mie ini udah gak asing. Mie nya ukurannya lebih lebar, dan lebih kenyal. Mie ini cuman satu rasa, yaitu asin saja. Bakmi nya di hidangkan di piring plus semangkok kecil kuahnya. Banyak variasinya, ada mie ayam, mie cincang, mie. Lanjutan",positive
