content,polarity
"Meskipun lokasinya tidak terlalu keliatan tapi restaurant ini sudah banyak yg tahu. Rasanya enak terutama ayam ungkep, sup ikan, dan ga ketinggalan terong nya . NIkmat . Harga juga ok",positive
Masakan Sunda dengan harga terjangkau. Jangan lupa coba Ikan Asin Jambalnya ya raos pisaaaaan di cocol dengan sambel terasi. Jangan lupa coba Gurame Gorengnya ya heheee,positive
"Hampir semua makanan disini enak. Tapi paling suka terong raosnya! harus banget pesan terong raos! Oh iya tempatnya juga selalu ramai, jadi lebih baik bikin reservation dulu.",positive
"Tempatnya nyaman, sambalnya enak, yg wajib dicoba terong raos dan sayur genjer. Cocok buat makan santai bersama keluarga, dan pastinya harga bersahabat.",positive
"Menu yang wajib dicoba adalah terongnya. Saya dan keluarga sampai ketagihan untuk kembali lagi hanya karena terong tersebut. Restoran ini cukup penuh pada saat jam makan, jadi untuk yang datang dalam grup besar sebaiknya reservasi dahulu.",positive
"kafe ini mungkin kurang familiar dikalangan newbie, namun layak dicoba aneka kuliner yang ditawarkan oleh kafe ini",positive
"caf ini menjual hidangan sunda atau masakan asli sunda, untuk kalian yang penasaran ingin mencicipi masakan sunda, segera kunjungi caf ini",positive
"Nyaman banget ada disini, rasa adem, karena sirkulasi udara di dalam ruangannya sangat bagus, desainnya juga unik, makanannya juga enak",positive
"kebetulan saya suka masakan kampung dan desa seperti sambel , nasi liwet nasi timbel tempat ini menyediakan berbagai macam dengan penyajian yang cukup unik nasinya di bungkus daun pisang.",positive
kemarin sekeluarga main ke bandung kami mampir ke cafe pandan wangi di jalan riau .harganya terjangkau + cafe nya enak,positive
"Lokasi kafe Pandan Wangi yang terletak di Lobby hotel Santika Bandung. Buka bersama keluarga malam lebaran 2015 di kafe ini terasa sepi. Hanya ada 2 keluarga yang makan di sini malam itu. Kami memesan Steam boat, tapi rasanya biasa saja. Restoran memerlukan restorasi karena terkesan tua.",positive
Kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomen karena enak rasanya yaitu Terong Goreng! Di sini saya baru bisa menikmati Terong yang diolah sehingga terasa lezat :),positive
