content,polarity
"menikmati kopi, sendiri atau pun bersama kolega sambil menikmati suasana di coffe and resto yang rekomended di bandung",positive
"Nongkrong cantik memang enaknya disini. tempatnya luas, suasananya oke. Kemarin saya gak coba kopinya, kita pesen goulash soup, salmon steak & chicken steaknya. Goulashnya enak, steak nya not so much, saya rasa dengan harga yg agak mahal disitu masih dapet yg lebih enak ditempat lain. But overall okelah buat nongkrong sambil ngopi ato ngeteh ya",positive
"Kesini bersama keluarga besar buat makan siang pas long wiken. Tapi utgnya tempat duduknya banyak jd walaupun rame tetep kebagian tempat. Yang bikin adem klo duduk di area dekat kolam ala ampitheaternya.suara airnya bikin adeeem dan bikin betah. Makanannya enak, porsinya besar, harga sebanding ama porsinya.",positive
Cafe Noah's barm di dayang sumbu bandung. Tempat dan lokasi bagus. Hanya beef steak daging us angus nya kurang enak . Banyak minyak nya. Dan dikit alot. Lain2 nya masakan indonesia ok ok Pelayanan bagus .,positive
"Tempatnya nyaman banget, makanannya enak, kopinya enak. Pas buat nongkrong bareng temen-temen atau dinner.",positive
"Pada hari sabtu saya mengajak tamu saya dr media Jakarta 4 orang, dengan ekspektasi bahwa ini adalah tempat minum kopi terbaik di Bandung (rekomendasi dari orang2). Ternyata pelayanannya kurang baik. Kami memaklumi waktu pelayanan yang terbilang lama dikarenakan sedang rush hour, akan tetapi tanggapan waiter yang bernama angga yang membuat kami kecewa. pada pulul 13.50 kami sudah selesai melakukan order,. Lanjutan",negative
"Saat kesini, ruangan coffee shop sangat bagus dan nyaman. Terdapa sofa di smoking area namun untuk minimal 6 orang. Sayangnya pilihan single origin kopi indonesia sangat sedikit. Saat itu akhirnya saya memesan kopi tubruk karimi kenya.",positive
"Restaurantnya bagus dan cozy. Tersedia smoking & non smoking area, dekorasi dan interiornya juga bagus. Tempat makan didesain dengan sofa-sofa besar, bikin kita jadi anteng duduk dan malas beranjak. Untuk yang bawa anak tersedia juga kolam ikan, tapi saat ini lagi di renovasi. Makanannya mostly western food, ada juga makanan indo seperti nasi goreng, soto ayam. Awalnya kesini cuma mau. Lanjutan",positive
"Kami ada acara buka bersama wkt itu, semua hidangan enak yg kami pesan cm affogato ice creamnya tdk dipisahkan dg espresso jd tdk bs mencampur sesuai selera msg2. Salmon steaknya jg kurang fresh, kulit salmonnya keras, keliatannya lm di kulkas atau freezer.",positive
Ini kunjungan pertama kami me Noah's barn dago. Sebelumnya kami repeater do Noah's barn cibeureum. Karna kami sangka dsini suasana lbh bagus Dan menu lbh banyak.tp saya terkejut dgn sikap pelayan yg tidak ramah. Kami akn duduk d sofa luar atas suggest pelayan wanita.tp pelayan pria tdk mengizinkan dgn alasan malas membersihkan. ( mereka ngobrol berdua tp pelayan pria sengaja. Lanjutan,negative
Makanan dan minuman enak. Tempat bagus dan nyaman. Cocok untuk berkumpul dengan teman untuk ngopi atau makan malam.,positive
"Tempatnya sangat nyaman, cozy, dan modern, pas banget untuk nongkrong dan bersantai bersama teman - teman setelah mengitari kota bandung seharian. Makanan dan Minuman nya cukup terjangkau dan berkualitas baik. Recommended cafe banget di Bandung.",positive
"letaknya dekat dengan kampus itb. banyak pilihan snack nya, minumannya juga bermaca-macam. cozy place buat kumpul-kumpul sama teman",positive
Tempat yang cozy untuk nongkrong bersama teman atau keluarga. Ga ada tempat untuk nge-cash hape atau laptop. Jadi cafe ini khusus buat ngobrol bukan kerja.,positive
"Berlokasi di Jl. Dayang Sumbi No. 2 Bandung. Dari pintu masuk, gak nyangka bakal wow banget sama luasnya tempat ini. Interiornya disini campuran ethnic & modern, menimbulkan rasa nyaman ditambah pengaturan meja dan kursi antar meja satu dg yang lain tidak saling berdempetan, sehingga tidak nampak sesak. Dibagian depan (setelah pintu masuk) pihak Noah's Barn memamerkan cangkir, tumbler dll untuk. Lanjutan",positive
"Buat penggemar coffe di kota Bandung, menurut saya ini tempat yang paling representatif memenuhi kebutuhan anda. Tempatnya juga nyaman buat nongkrong bareng temen - temen, selain coffe, masih ada pilihan lainnya juga",positive
