content,polarity
"Makanannya terjangkau, design interior dan pencahayaannya cukup oke, cocok buat buat meeting jugaa. Paling oke klo dateng malem.",positive
Pangsit goreng dengan berbagai sausnya lumayan enak (lupa nama menunya). Tempat yang hommy seperti berasa dirumah sendiri. Ada taman keluarga.,positive
"Resto ini tempatnya nyaman serta ada tempat gazebonya. Desain interiornya sangat menawan dengan penataan yang serasi. Layanannya cukup baik. Tersedia berbagai menu seperti Tahu kampoeng isi keju,Chicken quesadilas, Cream of mushroom, Sop buntut goreng, Beef rice, Sirloin steak, Pepper steak, Grilled chicken steak, dan sebagainya. Tenderloin steak dagingnya empuk dan sausnya enak. Grilled chicken steak seperti syam goreng biasa tapi. Lanjutan",positive
"Dakken merupakan salah satu tempat nongkrong favorit meskipun tidak ada area nya non smoking nya. Parkirannya gak begitu luas, tapi masuk ke dalem, area restorannya cukup luas dan memanjang ke dalam. Ada private room juga. Rasa makanan juga cukup oke.",positive
"Ini restoran favorit saya, saya sangat merekomendasikan tempat ini apalagi untuk makan dengan keluarga atau teman - teman. Tempatnya nyaman dan juga kita bisa memesan private room tanpa ada charge apapun. saya biasa memesan untuk arisan atau acara makan keluarga. makanannya sangat enak. karena kami pecinta steak, steak disini menurut saya terbaik :)",positive
"Saya mencoba makan siang di tempat ini karena direkomendasikan oleh teman saya, pertama masuk langsung berasa masuk kedalam rumah bergaya jaman dahulu yang nyaman dan terkesan luas, saya mendapatkan tempat di gazebo di halaman belakang, saya langsung membayangkan, kalo malam kesininya pasti akan lebih indah. Saya memesan salmon goreng dan teman saya memesan nasi kebuli, rasa makanannya sangat lezat dan. Lanjutan",positive
"tempatnya pas di jantungnya bandung.ditengah keramaian jl Riau.capek capek ke FO bisa makan di Daken.Ini kayak rumah.karena memang bekas rumah yg dijadikan cafe.tempatnya nyaman,makanan nya enak jg.dari steak,nasi goreng dan cream soup nya enak.porsinya cukup besar dengan penyajian di piring besar juga. :)",positive
"Dilihat dari luar seperti tempat yang sempit, tapi ketika masuk ke dalam ruangan cafe ini terasa luas dan tempat yang nyaman untuk berkumpul bersama teman, keluarga dan rekan bisnis, lokasi sangat dekat dengan pusat perbelanjaan.",positive
"pada dasarnya tempat ini terlihat dari luarnya seperti mahal untuk harga-harga makanannya. namun setelah datang ke resto ini, harganya sangat terjangjau untuk ukuran resto yang nyaman ini. cocok untuk berkumpul dengan keluarga, nge-date, dan bercanda tawa dengan teman-teman.",positive
"Lokasi dekat tempat wisata belanja, cukup ok. Dari luar kelihatan kecil tapi begitu masuk, dengan lorong di kanan banyak ruangan bisa dipilih. Teras belakang yg terbuka dan cukup luas byk jg pilihan tempat dan cukup nyaman untuk menikmati makanan sambil ngobrol.Menu yg ditawarkan tidak terlalu banyak dengan harga sedikit mahal, karena porsi yg disajikan sedikit , sementara disajikan dipiring yg. Lanjutan",positive
"Kami senang tempat ini terutama karena suasananya yang cozy dan nyaman, cocok untuk kumpul bersama teman. Lokasinya juga strategis didekat tempat berbelanja. Selain itu pilihan makanan terutaman food disajikan dengan porsi yang sesuai (dengan harga) kualitas baik, presentasi menarik, semuanya bikin kami sesekali kangen untuk kembali ke sini. Untuk sekedar ngopi2 juga bisa jadi pilihan, ada berbagai dessert yang layak. Lanjutan",positive
