content,polarity
"Kalau mau makan ikan yang diolah dengan unik, disini tempatnya! Cobain deh, Bawal / Kerapu goreng bakarnya. Mmmm rasa dan bumbunya beda dari tempat lain! Ditambah cocolan sambal Tyson yang bikin nonjok rasanya. Selain menu ikan, disini banyak juga menu seafood lain dan chinese food. Satu menu yang saya suka adalah Fuyunghai! Well. Banyak tempat yang menjual menu ini, tetapi. Lanjutan",positive
"Mencoba Ikan bakar Reds Dipo via delivery order, ikannya dibakar dalam keadaan segar (tidak digoreng dulu). Sederhana tapi cukup enak",positive
"Tempat makan yang sangat rekomendasi lahh, dengan sambal tatonya yang nonjok bikin bergetar bibir. Pelayanannya baik, tempatnya strategis ditengah kota. Juara",positive
Sambel nya pedes parah. Favorit gorbak. Inget masa masa ngulek sambel sama ngipas areng. Sukses buat geng reds dipo,positive
"makin banyak varian menunya, tp tetep ikan bawal dan sambalnya yang khas teringat terus di lidah. segeerrr. dan pedesnya mantap",positive
"makin banyak menu nya.dengan menu sapo tahu, kangkung cah dll cukup variatif speciality tetep ikan goreng-bakar plus jangan lupa ama Sambal ""Tyson""",positive
"Jika ingin makan seafood yang enak, pilihan saya salah satunya adalah reds dipo. Letaknya tidak terlalu jauh, tempatnya juga enak dan lumayan besar. Bersih dan tidak kotor. Makanannya enak dan pilihannya juga tidak biasa. Harganya pun tergolong murah untuk kantong mahasiswa",positive
"Tempatnya sih biasa saja, tidak ada yang istimewa. Bahkan menurut saya, tempatnya ini menjadi sedikit nilai minus untuk penilaian kali ini. Parkir yang tidak terlalu luas serta dekorasi ruang makan yang biasa saja. Tapi lain lagi kalau kita bicara soal makanan. Karena untuk urusan ini, Reds Dipo punya banyak nilai plus. Makanan nya bervariasi dengan rasa yang di atas rata-rata,. Lanjutan",positive
"Kamu suka ikan? Ga akan salah makan di tempat ini. Makanan nya enak, pelayanan juara dan harga bersahabat.",positive
Makanannya enak. Tempatnya di tengah-tengah kota. Deket darimana pun. PIlihan makanannya lumayan banyak.,positive
"Enaknya makan diredsdifo, baru kali ini dah saya suka banget makan ikan ikan.a segar enak dan tidak ada bau amis lagi. Poko.a ikan bawal maknyos. dan kopi robusta susu mantap. Poko.a ketagihan dah. Redsdipo jadi tempat favorit saya.maknyos pokona mah.",positive
sambal tyson nya the best.mantap banget plus menu-menunya makin nambah aja nih terakhir kesana tahun lalu.bulan lalu kesana makin banyak dan beragam menunya,positive
sambelnya nampol banget pedesnyaaaaaa paket murmer ayam sambel ijo dapet setengah badan (paha 1 dada 1) cuma 24rb lumayan uda sama nasi paket ikan kerapu ato bawal oke juga kalau pilih tempat duduk jangan deket pembakarannya asepnya luar biasssaaaa sebadan2 bau asep semua,positive
Mana mungkin saya melewatkan kunjungan kuliner saya ketika di Bandung? Suguhan bawal goreng bakar beserta sambalnya luar biasa (khususnya bagi penyuka pedas). Menu lainnya tak kalah enaknya kini sudah banyak berbagai pilihan yang tak kalah spesial. RedsDipo selalu membawa rasa rindu akan lidah ini setiap kali menginjakkan kaki di bumi Parahyangan.,positive
"terus terang, sy kurang suka makan ikan. tapi teman2 sering kumpul disini setelah bubaran kantor. awal2 kesini sy ordernya yg safe --nasi goreng seafood-- :D tapi kelamaan tertarik juga sama menu ikan karna bosan nasigoreng. coba pesan kerapu goreng kering.hmmmm ternyata ENAK!!! gak ada bau2 amis. sambalnya jg enak dan jadi trademark warung ini kayaknya. akhirnya jadi sering kesini sendiri. Lanjutan",positive
"Mungkin semuanya gara-gara Reds Dipo saya jadi bisa makan ikan. Ketakutan akan bau amis dan eneg saat makan ikan ga ada pas makan ikan disini. Menu wajib klo makan disini Bawal Goreng Bakar, Capcay Yapuy dan sambal Tyson tentunya. Masih ga suka ikan? Jangan bilang ga suka makan ikan deh klo belum nyoba makan disini!!!",positive
"Enaaaak. Yg jelas sambel tysonnya okeee!! Makan pake menu apa aja cocok. Siap"" kepedesan dan timbangan naek kl makan disini!!",positive
Paket bawal nya goreng bakar dengan sambel tysonnya.mantap banget ditutup dengan ice coffee robustanya.lakeeeerrr banget mantap abis brad.,positive
"Ikan selalu jadi pilihan terakhir untuk jadi lauk. Tapi saya bisa makan Bawal Bakar Goreng di Redsdipo, sejak masih kaki lima-an di Jl. Diponegoro. Enaaak! Sambelnya (walaupun cuma cocol sedikit) bikin mata melek, panas di mulut tapi gak bikin sakit perut. Terimakasih udah buka di Jakarta! Bisa ngobatin kangen sama Bandung :)",positive
"terkenal dengan Bawal Bakarnya, terus berkembang jualan chinese food juga walau ga banyak menunya. harganya di bawah 40 rebu rata2 nya. semi out door. rasa masakannya standar.",positive
"Ikan gurame bakar dan cah kangkung yang disajikan di red's dipo yang saya beli pada saat makan siang pada bulan november 2012, rasanya lumayan oke, hanya saja cabe pada sambalnya dan sayurannya seperti:timun, tomat dan kangkungnya juga jeruk pada es jeruknya terasa kurang fresh.",positive
"ikan bakar, lumayan kalo siang siang, jalan, laper makan di reds dipo. bersih, cepat saji, rasa lumayan, harga terjangkau ok.",positive
