content,polarity
"Rasa mie disini bisa dikatan enak sekali, meski di pinggiran ruko tapi soal rasa tidak kalah dengan rasa restoran mewah. Dengan kikil yang lumayan banyak dan harganya yang lumayajn murah",positive
Rasa mienya mantappp.ditambah otot kaki sapi yang kenyal2.ditemani krupuk kriuk.wajib coba kalau berkunjung ke bandung! Harganya juga murah.,positive
"Kalo ke bandung wajib makan mie kocok ini, menurut saya paling enak. walaupun tempatnya dipinggiran ruko, dan untuk makannya mesti berusaha untuk dapetin bangku, tapi worthed banget kalo dibandingin rasanya. kikilnya banyak, kuahnya gurih banget dan mie nya lebar dan tipis. harganya juga terjangkau. the best mie kocok di bandung.",positive
walaupun tempatnya cuman di pinggiran ruko tetapi cukup nyaman untuk bersantap ditempat. Mie kocoknya enak dan harganya masih terjangkau. Lokasi di seberang stasiun Bandung dan disebelah toko Kartika sari. minum ambil sendiri di kulkas.,positive
"Saat saya travelling ke Bandung, saya melihat ada jenis makanan ini lalu saya sempatkan mampir. Mienya enak dan lembut, harganya tidak terlalu mahal. Saya suka sekali apalagi jika ditambah dengan kikil",positive
"mie kocok itu khas nya bandung. itu kata saya. kalo ke daerah stasiun suka sengaja disempet2in mampir ksini. juara bgt deh mie kocoknya bumbunya pas, kikilnya lembuuuut dan pake summsum kesukaan saya. kumplit deh timbangan dijamin naik 1kg lagi nanti balik jkt. :D",positive
ini adalah salah satu pilihan juga untuk sarapan ketika di kota Bandung. suasana bandung yang dingin sangat cocok untuk menyantap panasnya mie kocok kaki sapi ditambah dengan kerupuk.sangat lezat. patut untuk dicoba ketika anda liburan ke kota bandung.,positive
"merupakan salah satu makanan khas Bandung.Kalau ke Bandung , saya pasti mampir ke sini untuk mencicipi bakmi kocok kaki sapi pak De, sangat ramai dengan pengunjung yang antri beli",positive
"Mie Kocok merupakan salah satu makanan khas kota Bandung, dan salah satu yang terkenal adalah Mie Kocok Kaki Sapi Pak Ade di daerah Kebon Kawung. Biasanya saya datang kesini siang hari karena masih tersedia Mie Kocok dengan tambahan daging sapi cincang dan sumsum kaki sapi favorit saya.",positive
"Udah banyak nyobain tempat makan mie kocok, disini tempat mie kocok yang enak banget yang pernah dicobain, kikilnya juga enak, ga keras, kerasa banget kalo ini kikil asli. Sambelnya juga mantaap, bikin segerrr. Good taste!",positive
"Sangat lezat apabila kita pesan mie kocok special, yang mana sumsum sapi ditaburkan diatas mie kocok dengan teh hangat makin membuat terasa segar",positive
Udah makan mi ini sejak kuliah dulu.rasanya gak pernah berubah. Enak.seger. Tapi kalo pengen kikilnya lebih banyak bisa coba mi kocok di jalan banda. Samping fo summit. Wuih.manteeeppp.,positive
"klo ke bandung jangan afdol rasanya klo belum nyobain makan mie kocok,,,,,mienya enak kenyal, ditambah kuahnya yang segar karena kaldu kaki sapinya, ditambah kulit sapi dan daging cincangnya. pokoknya makyus dah.klo mau kebagian daging cincang datang cepat soalnya kloa sore atau malam danging cincangnya dah abis",positive
