content,polarity
"Jagoannya disini nasi liwet , kami memilih nasi liwet ayam kompliiit dengan tahu, tempe mendoan, sambal, lalap, n ikan peda mantep bangeeed . Untuk Porsi nasi besar (dihidangkan di Castrol) cocok buat yg makannya banyak. Kami makan di Asep strawberry Singaparna , menyenangkan makan di saung bawah karena berbatasan langsung dengan sungan besar (klo ngak salah namanya sungai ciwulan). Untuk. Lanjutan",positive
Suka bngett di siniiii tmpat ny enakkk nyaman bngett konsep ny kaya saung2 gtuu ada air mancur nya ada kolam ikan nyaaa trus makanan ny jugaa enakkk,positive
"Positif : - makanan campuran Sunda dan modern sehingga tidak membosankan - pilihan makanan banyak - Pelayannya ramah - Tempat makan bersih dan unik - pemandangan ajib, perbukitan, sawah dan kolam-kolam ikan (resto Nagrek) - parkiran luas - mushallah bersih banget - toillet banyak dan bersih - ada atm Negatif : - tidak bisa pakai edc kartu (harus bayar tunai). Lanjutan",positive
"Setahu saya ada 3 cabang nasi liwet pak asep stroberi, waktu itu yg kami coba di cabang leles garut. Suasana restoran enak dan sejuk, saung2 di danau kecil. Ada tempat bermain anak berupa rumah2an dari stroberi. Menu yg enak ya.paket nasi liwetnya. Nasi liwet disajikan dlm panci aluminium model jadul, lengkap dgn ayam bakar, ikan peda goreng, tahu, tempe mendoan,. Lanjutan",positive
"Ketika anda jengah dengan keramaian kota,bosan dengan mewahnya metropolitan. Anda harus coba mengunjungi nasi liwet ini, tempatnya keren bgt, pemandangan hijau anda bisa lihat sawah, gunung, sungai. Suara dari kombinasi arus sungai dan nyanyian burung membuat relax. Suasana seperti ini sangat cocok untuk bersantai. Untuk makanan nasi liwetnya enak, gurame bakarnya mantap. Pokonya wajib dicoba",positive
"setiap kali kebanjar selalu mampir ke resto ini, biasanya si beli nasi liwet paket ayam kampung plus sambal goangnya. nasi liwetnya enak banget, ayam kampungnya empuk dan manis, ikan peda dan tempe mendoannya juga ga kalah lezaatnya. tempatnya enak, nyaman, sejuk, pemandangannya bagus banget, ada permainan jungkat jungkit dan ayunan untuk anak2 jadi g bosan menunggu pesanan datang. disini juga. Lanjutan",positive
"Setelah bermacet-macet arus balik, istirahat disini nyaman banget. Tempatnya nyaman, pelayanannya bagus, ramah dan cepat. Makanan dan minumannya enak",positive
"Lokasi di daerah Nagreg, Garut, tempat ini sdh terkenal.Restoran Sunda dengan konsep alam, menikmati nasi liwet komplit di saung2 bernuansa Sunda, dengan pemandangan indah dan fasilitas untuk rekreasi keluarga.Rasa nasi liwetnya biasa saja, begitupun gurame goreng plus tempe mendoan rasanya biasa saja.Tempat yg asri dan pemandangan indah adalah kelebihan dari restoran ini jg keramahan pelayan dan fasilitas mushola yg cukup. Lanjutan",positive
"Nasi liwet yang sudah terkenal ini saya dan keluarga kunjungi pada juni 2015, tempat yang luas, bagus, dan sejuk menambah rasa penasaran kami sekeluarga akan makanannya. Kami pesan nasi liwet komplit dan gurame bakar, ternyata setelah kita makan, rasanya biasa saja dan harga mahal. Tapi boleh dicoba untuk nikmati suasana alamnya.",positive
"Nasi liwet asep strawberry 1 yg terletak di jln nagreg ini pilihan makanan&minumannya variatif, harga terjangkau, tempatnya enak apalagi lesehan yg dibawah viewnya bagus menghadap undakan sawah yg terhampar luas. Makan dgn makanan enak, alunan musik sunda, nice view, semilir angin.ah surga",positive
"Tempat favorit kami karena selain masakan yang lezat, pelayanan yang ramah, tempat nya pun nyaman . Pemandangan yang indah, yang dapat membuat hati terhibur walau masih harus melanjutkan perjalanan yang jauh. Untuk kantin, mungkin perlu ditambah barang barang kerajinan masyarakat setempat dan boleh diganti secara periodik supaya pengunjung bisa membeli kenangan2 dari rumah makan ini",positive
Baru kali ini saya menikmati makanan sunda. Sambalnya enak tidak terlalu pedas. Nasi liwetnya juga top markotop! Sayang jauh sekali,positive
"Cocok buat ngadem , makan siang diiringi lagu sunda, sambil menikmati pemandangan sawah dan kolam ikan di bawah saung makan",positive
"tadinya saya mau kasih 5 bintang, buat kualitas makanan, harga sama tempat,, tapi,,,,,,,,,,, (geram!) waiters dan waitress nya 2 x saya ksna spt ogah2an, ditanya baik2 kami bs duduk dmn,,(umumnya waiters yg nanya duluan buat brp org) jawabanya ""coba ke bawah aja bu"" Turun lah saya ke bawah, ketemu lg sm waiter nya sy tanya lg, sy bisa duduk dmn,,. Lanjutan",positive
"Salah satu tempat favorit keluarga dan teman. Lokasi di perbatasan Bandung, Garut arah ke Tasikmalaya. Menikmati menu nasi liwet dll dengan pemandangan yg keren, saung2 yg tertata apik,sungguh pengalaman luar biasa. Untuk anak2 tersedia beragam permainan. Rasa makanan lumayan enak,harga cukup terjangkau.Tersedia Mushola yg besar, toilet yg bersih. Sebaiknya reservasi tempat, kl hari libur krn tempat ini selalu penuh",positive
"menu makanan khas Sunda yang lengkap ada disini. Mendoan, Tumis genjer, Durame, Cumi, nasi liwet yang seger. Pemandangan yang indah menambah nikmat makan di restaurant ini. Bagi pengendara mobil yang melintas antar propinsi dapat melepas penat di restaurant ini. Penempatan kursi dengan meja makan yang luas membuat nyaman. Ada lesehan, meja duduk dan pondok yang menghadap ke sawah.",positive
