content,polarity
Pesan bakmi ca sao dan bakmi rica rasanya tasty banget dan harga juga ok 32.000 /porsinya. Bagi yang tidak suka pedas jangan memesan bakmi rica karena pedas banget. Selamat mencoba.,positive
"mie nya enak terkenal banget sama mie rica nya yang pedes banget, sekarang sih uda ada yang ga pedesnya jadi aman bawa anak2 kesini tempatnya kecil jadi kalau ksini ya sabar saja antri apalagi kalau weekend o iya ini non halal ya",positive
"Harus menunggu lumayan lama sampai bisa dapat tempat duduk, karena ramai dan tempat yang tidak terlalu luas. Namun pelayanan cukup cepat, hanya saja ternyata rasa bakmie tidak selezat yang dibayangkan karena tekstur mie nya yang biasa dan ricanya juga tidak terlalu pedas. So so lah.",positive
Makanan OK. Parkiran susah bener sampe muter 3x. SARAN : parkir di Braga Hotel saja trus jalan kaki. RESTAURANT di area perumahan.,negative
"mie nya biasa aja menurut saya, nothing special. but the baso goreng udang is the best.1 porsi isi 10.",positive
"Rasa daging rica yang mantap pedasnya yg membut mie ini semakin enak. Pelayanannya cepat. Tapi tempatnya kecil. Jd siap-siap saja mengantri jika sedang jam makan siang. Juice nya enak, pangsit gorengnya standard. Sejak thn 1998 saya sudah makan disini. Memang ada penurunan rasa pada mienya. Tapi secara keseluruhan, tempat ini tetap menjadi kunjungan wajib jika berlibur ke bandung.",positive
"Bakmienya enak, pedas dan ada macam2 rasanya, tergantung selera, porsinya juga banyak, harus ke sini lagi supaya bisa coba menu bakmie yang lainnya",positive
"Makan mie di sini bikin ketagihan, mienyabeda dengan tempat makan mie yang lain. Yang paling gila pedesnya, nggak berani pake sambel lagi (gak kuat pedes. )",positive
"Tiap kali ke bandung pasti tidak lupa makan di mie rica kejaksaan. Mencoba mie dari yang model yamien manis dan yamien asin sampai yamien manis pedas dan yamien asin pedas. Favorit kami biasanya yamien manis pedas. Kalau yang yamien asin agak kurang sesuatu rasanya. Selain yamien, favorit kami adalah pangsit goreng, tahu bakso, dan juaranya : bakso goreng udang. Kalau. Lanjutan",positive
Bakminya enak. ditambah daging rica2nya super mantapp. rasanya sih pedes2 tapi nikmat. makan satu berasa kurang deh. terus nambah sambelnya jangan kebanyakan. pedess soalnya. manteppp,positive
"Bakmi Rica ini terletak di jalan Kejaksaan dan juga di ruko Paskal Hypersquare. Tersedia beberapa pilihan jika tidak suka dengan makanan terlalu pedas, ada asin dan manis. Tersedia juga bakso udang goreng yang menggugah selera. Restoran wajib setiap berkunjung ke Bandung.",positive
"Dari dulu tidak berubah Mie rica nya enak dan pedasnya nendang. Kalo tidak suka pedas, bumbunya minta dipisah. Baso udang nya juga patut dicoba.",positive
"Tempatnya kecil, tetapi makanannya enak. Saya tidak sering menemukan tempat makan bakmi babi di Bandung, tapi yang ini enak dan juga gurih. Saya juga suka pangsitnya.",positive
"Bakmi Rica Kejaksaan menyajikan mie rica yang sangat nikmat dan pedas. Yang menjadi daya tarik utamanya adalah topping daging rica pada mienya yang cukup melimpah dengan aroma dan rasa yang pedas gurih. Bagi yang tidak menyukai makanan pedas, juga tersedia bakmi/yamien asin dan manis juga bakmi kuah dengan pilihan tambahan bakso, pangsit, babat, dan lainnya. Salah satu menu yang juga. Lanjutan",positive
Pedassssss.tpi enakkk. Kerupuk pangsit nya favorit. Klo kesana dan blom pernah coba mending kasih tau dlu jgn terlAlu pedas. Bakpao nya lumayan,negative
Bakmi Rica kejaksaan : enak rasanya dan juga pedas nya. Sejak saya masih bujangan sering-sering ke bakmi rica kejaksaan,positive
"Perjalanan dari bandung ke jakarta langsung mampir ke mie rica ini, dari dulu mie rica ini selalu jadi tujuan utama ke bandung. rasanya yg gurih dan pedas yang menantang bikin restoran rumahan ini selalu dipenuhi pengunjung. Recommended MIE RICA BAKSO, bagi yang ga tahan pedas lebih baik pesan yg yamien asin, & BAKSO UDANG GORENG",positive
"Ini adalah resto yang menyajikan daging babi. Penggemar mie pedas pasti ketagihan mie rica nya yang super aduhai pedas. Yang tidak ingin pedas, bisa pesan mie lain seperti mie samcan. Jangan lupa cicipi baso udang goreng, langsung disajikan panas dan renyah.",positive
"Coba bakmi rica pedasnya, bisa makan hingga berpeluh. Tempat agak kecil, namun selalu penuh. Terletak di pusat kota, jalan kejaksaan, jika kesulitan mencari parkir, bisa parkir di Jl. Braga kemudian berjalan kaki. Jika pergi berdua atau lebih, bisa coba juga pangsit gorengnya. Oh ya, makanan mengandung babi.",positive
"Bakmi ini letaknya di jl.Kejaksaan, udh terkenal deh kalo mau bakmi rica pasti kesini. Mie ricanya bener2 pedesssss.porsinya juga lumayan deh mengenyangkan.",positive
"Saat saya kuliah tahun 2002-2007, saya pernah mencoba sebuah bakmi rica di dekat kampus. Saya pikir itu adalah bakmi rica kejaksaan yang terkenal selama ini. Ternyata bukan. Setelah saya datang langsung ke bakmie rica di jalan kejaksaan ini, saya baru melihat perbedaannya. Mie ricanya memang nendang abis. Pedaaasssss, porsi mengenyangkan. Pelayanannya pun sangat cepat. Tapi warning yah. non halal loh. Lanjutan",positive
"bakmi rica 1 porsi hanya dengan 25k, porisnya banyak dan enak sekali bagi yang suka pedas (mid range) boleh coba di sini.",positive
"Lokasinya di dekat Jalan Braga. Gangnya cukup untuk 2 kendaraan lewat. Disarankan datang selain jam makan siang, karena lunch time penuh dengan pengunjung dan jumlah meja tidak terlalu banyak. Mereka juga punya cabang lain di Pascal Square. Bakmi Rica terkenal karena pedasnya. Ada Yamien manis atau yang asin. Saya lebih suka dengan mie manis dan jika anda tidak terlalu berani. Lanjutan",positive
"Bakmi Rica Kejaksaan terkenal akan rasanya yang pedas. Bagi anda yang tidak bisa makan pedas, saya sarankan untuk mencoba Mie Udang Gorengnya. Udang gorengnya yang lezat dibalut dengan tepung sehingga rasanya sangat gurih. Wajib dicoba!",positive
