content,polarity
"Jika lagi ingin memakan nasi timbel yang murah meriah, saya suka pergi ke sini. Makanan favorit saya adalah nasi putih timbel, ayam goring, ikan asin dan juga tak lupa disertai dengan sambal dan lalapan. Sedap sekali rasanya. Biasanya suka nambah heheheh",positive
"Nasi timbelnya terdiri dari nasi putih dan nasi merah. Menunya variatif. ada ayam goreng, ayam bakar, leunca, macam2 pepes, tempe, tahu dsb. Banyak pilihan. Rasanya enakk, dan yg paling topnya adalah : MURAH MERIAH.!!!!",positive
"Nasi timbelna murah banget. menunya khas sunda. dan macem2 tinggal pilih dan langsung HApp. ada ayam, ati ampela, ikan. uenak pokoknya. sambelnya kurang nendang tapi.",positive
"Tempatnya kecil.pengunjungnya padat kalau pas jam makan siang. Harga murah meriah. Menunya standart banget,sambelnya cair/encer banget. Lumayanlah buat ngisi perut dan sekedar tahu ada warung timbel yang ramai.",positive
"Lapar setelah capek jalan, browsing rest yg menyediakan Nasi. Malas ke Rest berkelas, kepengen makan sunda kaki lima. Pilihan jatih pada Nasi Timbel Bawean yg sdh legendaris. Awalnya khawatir gak kebagian lauk, mengingat sdh jam 3 sore. Alhamdulillah lauk masih lengkap. Ayam goreng dan ikan ams foreng, dipanasin sesaat. Tahu gorengnya.ampun enaknya. Ayam bakar juga enak walau dingin. Sambal bebas. Lanjutan",positive
"buat yang suka nasi timbel tempat ini bisa jadi salah satu pilihan,,tempatnya tidak terlalu besar tapi cukup nyaman bwt makan siang bareng temen2 kantor,,mantap.",positive
"Buat kalian penyuka makanan timbel datang deh kesini, ada ayam goreng, tahu, tempe, pepes usus, dan lain2. Kl saya pilih nasi merah + sambel dan lalabannya",positive
"Nasi timbel bawean adalah salah satu legenda kuliner kota bandung yg masih di lokasi yg sama di jl bawean dekat stadion siliwangi Menunya cukup enak yang penting citra rasa khas sunda masih ada. Nasi timbelnya ada dua macam merah dan putih lauknya tinggal pilih ada ayam,ikan,gepuk,ikan asin,ati ampela,sate usus,aneka pepes.sambelnya satu macam ditamvah slada n leunca ditambah air teh tawar. Lanjutan",positive
"Makanannya rasanya biasa saja, sambalnya juga kurang nendang. Tapi harganya cukup ramah di kantong. tempatnya lumayan simpel.",positive
nasi timbelnya terkenal. tapi rasanya sih layaknya nasi timbel lainnya. pelayanannya oke di sini. boleh dicoba,positive
"Pertama kali datang ke tempat makan ini berasama dengan teman kantor. Letaknya berada di Jalan Bawean Bandung, ada 2 pilihan nasi timbelnya, ada nasi merah atau nasi putih. Lauknya juga bermacam-macam. Yang jelas rasanya enak dan harganya sangat murah.",positive
"Saya suka banget sama nasi timbel di sini. Semacam fast food versi Sunda, soalnya ga perlu nunggu lama buat makan di sini. Ambil piring, pilih nasi putih atau merah, terus pilih lauknya yang dipengenin, lalu langsung bayar sambil pilih mau minum apa. Meskipun tempatnya kecil, tapi buat saya sih nyaman-nyaman aja. Lokasinya berseberangan sama Toko Kue Bawean. Rasa ayamnya enak,. Lanjutan",positive
"Walaupun tempatnya tidak luas dan tidak ada ac, tempat makan ini selalu penuh terutama jam makan siang. Nasinya bisa pilih mau nasi merah atau putih. Lauknya pilih dan ambil sendiri. Kalau mau dihangatkan juga bisa. Timbel nasi merah dengan ayam goreng plus sambalnya, favorit saya. Dan harganya sangat bersahabat dengan dompet",positive
"Semenjak awal trend makan timbel, tempat ini merupakan salah satu pencetusnya, dengan berbagai variasi nasi yang ada menjadi salah satu daya tarik tempat ini. Saya memberi nilai plus untuk timbel nasi merahnya dan ayam gorengnya, buat saya masih juara ditambah sambelnya yang wahhh. Hanya sayang akses parkir yang kurang luas, sehingga kalau waktu makan siang, cukup sulit mendapat parkir",positive
"Di Bandung banyak pilihan untuk kuliner, tetapi sedikit yang buka di pagi hari. Nah suatu saat kami direkomendasi untuk sarapan (sekitar pukul 7 pagi) di Nasi Timbel Bawean, dan ternyata tidak keliru. Pilihan khas kuliner sahabat nasi timbel sangat beragam, terutama ayam goreng tahu tempe dan sayuran yang diiringi sambal . rasanya luar biasa. Untuk minum sudah tersedia jus aneka. Lanjutan",positive
"Ada nasi merah selain nasi putih, semua nasi dibungkus daun pisang. Lauk pauknya bermacam2. Bisa pilih dan ambil sendiri.",positive
"Sejak tahun 1997 sudah menikmati rasa dari Timbel Bawean ini. Walo tempatnya agak sempit khususnya di waktu makan siang tapi kualitas rasa tetap sama sejak 1989 awal berdiri nikmat banget. Bisa ambil menu sendiri atau disebutnya parasmanan, kadang ngantri kayak di undangan nikah. Tapi itulah seni menikmati timbel bawean.jangan lewatkan ayam goreng yg jadi favorit dan pepes ikan, pepes usus. Lanjutan",positive
"Ambil sendiri menu timbelnya, jadi youll get what you pay, bisa tambah ikan asin sendiri, ayam pilih sendiri, self service",positive
