content,polarity
Tempat yg bagus. Makanan sih cenderung biasa aja. Nasi goreng kampung nya enak. Plating nya pertahankan dan jangan coba coba ya.,positive
"Saya sudah lupa kapan Cafe Halaman ini ada karena sudah sangat lama.Lokasinya cukup strategis,di kawasan Dago Bandung. Yang menarik adalah menunya dikontrol oleh ownernya (kalo yang di jalan Siliwangi). Kesannya sederhana, tapi rasanya boleh tanding ! Harga terjangkau, apalagi untuk membernya. Suasana ditata cukup cantik, terang dan redup. Kadang ada live music. Tempat sholat pun ada.",positive
"Kafenya sudah cukup lama ada di sini, tapi tetap bertahan baik . makanan nya cukup enak. western2 gtu. ada steak, ada dimsum2 juga sih. parkirnya yang agak susah di sini.",positive
Nasi rawon n fresh juicenya enak2.tempat makan n toilet bersih.tata letak mejanya lumayan rapet2 jg jd sedikit sesak mungkin klo sedang ramai,positive
"Tempat yang nyaman ditengah2 kota bandung, ga perlu repot cari makan di tengah malam. Pelayanan cepet rasa enak, Good job",positive
"You must try Yamin manis komplit, it's a must ! Di dalamnya terdapat mie pastinya, baso, pangsit dan babat. Tempatnya sangat homie",positive
"Memang saya harus bersyukur pada Allah karena menemukan resto ini. Ceritanya sebenarnya saya sekeluarga akan makan siang di tempat lain. Kami yang orang Jakarta tidak terlalu paham dengan jalan nonprotokol di Bandung jadi kami kesulitan menemukan alamat. Kami bahkan menanyakan alamat pada seorang penjual bakso tapi dia tidak tahu. Setelah mobil berjalan, saya sadar bahwa penjual bakso itu berdiri di. Lanjutan",positive
Cafe halaman adalah cafe yang berada di halaman rumah pemilik nya yang di sulap menjadi tempat makan dan nongkrong yang sangat asik menu makanan di sini pun banyak dan bervariasi. Dan rasanya juga sangat enak selain itu pegawai nya juga sangat ramah sehingga membut kita betah berada di sini.,positive
"Kafe ini cukup strategis kalau dari lokasi nya dan tidak jauh dari kamps ITB bandung, pas saya kesini kebetulan parkiran penuh dan sedih nya yang saya liat waktu itu tidak ada motor yang parkir di kafe halaman itu,saya pun langsung linglung sendiri cari2 parkiran motor ( tapi pas liat ga ada satupun yang parkir motor ,akhirnya memutuskan untuk parkir di. Lanjutan",positive
"Terdengar unik, cafe halaman. Yup Benar, cafe dengan konsep seperti di halaman rumah. Cafe ini memang untuk bersantai santai, baik dengan teman maupun keluarga. Tempatnya cukup nyaman berlama lama, dan termasuk luas untuk ukuran halaman. hehehe. Bandung emang gak ada matinya soal pilihan tempat dan makanan. di cafe halaman ini soal rasa hampir sama di cafe or restoran lain. Sayangnya. Lanjutan",positive
"cafe ini memang bertema berada di halaman, seperti halnya halaman rumah cafe ini memang cocok untuk acara santai dengan teman maupun keluarga hidangan pembuka serta penutup yang lezat membuat anda ingin berkunjung lagi ke tempat ini",positive
"Bandung memang tidak pernah habis dengan kreatifitas dan cita rasa. Salah satunya yang baru kemarin saya kunjungi, yaitu Cafe Halaman. Tempat berkumpul dan bersantap yang nyaman dan serasa dirumah sendiri. Dibangun dihalaman rumah pemiliknya dan menyajikan makanan yang sering kita temui dengan cita rasa yang lezat dan enak. Perpaduan antara cita rasa dan susana sangat pas sehingga menjadi kenyamanan tersendiri. Lanjutan",positive
"Suasananya sangat adem dan nyaman. tapi makanannya sangat biasa saja!! nothing special, apalagi harganya lumayan mahal untuk ukuran Bandung!",positive
"Caffe ini selalu menjadi pilihan untuk kegiatan meeting point jika ada kegiatan, karena lokasinya sangat strategis,tepat berada di jalan-jalan utama Kota Bandung dan rawan macet, yakni taman sari, djuanda dan dipatiukur. Selain itu makanannya pun enak, terutama untuk pilihan mie nya yang bervariasi. Meskipun berada di wilayah macet, tapi suasana caffe itu tidak terasa begitu memasuki caffe, karena desainya membuat. Lanjutan",positive
"Indonesian foodnya enak, sop buntut atau mie tasik sangat saya rekomendasikan. cocok untuk pasangan atau keluarga karena tempatnya menyenangkan. weekend biasanya sangat penuh jd gunakan lah jasa Vallet untuk parkir kendaraan anda",positive
"Dago memang punya banyak pilihan tempat makan. Salah satunya ya cafe halaman ini. Saya datang kesini saat sore menjelang malam. Karena udara dingin, maka makanan berkuah adalah pilihan saya saat itu. Sop buntutnya gurih. Bumbunya klop lah.",positive
"Sesuai nama restorannya, makanan lebih enak dinikmati di halaman. Suasana malam, dengan temaram lampu dan lilin menciptakan atmosfer romantis untuk makan malam. Bersih, pelayanan cepat, makanan enak tapi agak mahal hehe. Cocok untuk datang bersama pasangan, teman atau keluarga. Tapi harus pinter-pinter pilih menunya ya. Saya merasa ada penurunan rasa di cafe ini setelah beberapa kali datang. Semoga jadi bahan. Lanjutan",positive
"Sebenarnya tidak ada menu spesial di tempat ini. Lokasi yang strategis di belokan kanan menuju simpang Dago, membuat lokasi resto ini banyak dikunjungi konsumen. Bagi konsumen yang datang di hari ultah mereka dengan menunjukkan KTP akan mendapatkan kue gratis dari pihak cafe.",positive
"Cafe yg sdh ada cukup lama, tempat nya ok untuk nongkrong.Sayang untuk bbrp menu yg kami pesan dengan keluarga kurang enak , juga menunggu pesanan agak lama ,sangat mengecewakan.Untuk harga standarlah.Msh byk tempat lain yg sejenis yg lbh ok",positive
Sekian kali tiap ke bandung mencari tempat yang bisa ngobrol sepuasnya sambil menikmati makanan dan minuman sampai pagi susah sekali. Tapi kemarin gak sengaja lewat wastu kencana menemukan cafe yang buka 24 jam dan menunya pun masih lengkap.akhirnya saya mencoba bersama keluarga dan beberapa orang teman.semua menu masih lengkap.dan rasanya juga oke tidak terlalu mahal tapi pas dilidah.pelayanannya juga oke. Lanjutan,positive
"Wah ini salah satu restoran favorit saya sejak jaman dulu walaupun agak sedikit mahal tapi suasananya itu yang membuat keinginan kembali kesini lagi. Lebih cocok datang di malam hari karena suasana menjadi lebih romantis. Sangat direkomendasikan untuk berkunjung kesini dan lokasinya pun ada di sekitar dago, sehingga sangat mudah dijangkau. Sayang lahan parkir yang terbatas membuat parkir kendaraan menjadi sulit. Lanjutan",positive
"Cafe halaman memiliki desain area makan yang hijau dan dikelilingi oleh banyak tumbuhan shg memberikan suasana yang fresh, nyaman, dam sejuk. Makanan cukup mahal namun rasanya enak. Saya senang bgt dgn kuah/sup sayur asam. Restoran ini jg selalu ramai dikunjungi orang. Worth it dah!",positive
"terletak tepat di seberang hutan kota babakan siliwangi dan ""persimpangan"" jalan menuju arah simpang dago dan Kampus ITB. Lokasi ini menjadi sangat strategis buat anak muda (mahasiswa menengah ke atas) untuk nongkrong. Cafe yang benar-benar dibuat di halaman rumah tua nan antik ini memiliki menu yang variatif dengan harga relative terjangkau (meskipun tidak murah-murah sekali). Untuk rasa ya jangan membandingkannya. Lanjutan",positive
