content,polarity
"Ketika mereka baru buka, mereka hanya menyewa tempat kecil dimana kita harus mengantri panjang dan biasanya habis dengan cepat. Makanya saya senang dengan adanya tempat permanen seperti ini. Demam brownies kukusnya memang sudah lewat, tapi tempat ini memudahkan kita untuk mendapatkan brownies kukus yang kita inginkan. Apalagi sekarang mereka berinovasi dengan mengeluarkan varian-varian rasa baru",positive
"banyak brownies kukus di jual di bandung, namun menurut saya inilah brownies kukus terenak sebagai pelopor jenis cake ini. saya paling suka rasa original dan rasa pandan. Teksturnya lembut dan manisnya pas. paling enak di makan dengan teh tawar hangat.",positive
"Salah satu brownies favourite, brownies yang empuk dan enak membuat kami selalu ingin membelinya, harga juga tidak terlalu mahal pas dikantong",positive
"Walaupun sekarang banyak merk brownies kukus yang bermunculan di bandung, namun amanda ini lah yang paling enak. Varian rasa nya macam-macam dan oleh-oleh yang wajib dibeli jika ke Bandung",positive
"Seperti yg kita tahu, brownies yg asli (dari Amerika) adalah kue bantat yang memang berwarna cokelat. Toko Amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali tidak bantet. teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies. Oya, walau namanya sama dengan saya tapi saya bukan pemiliknya lho.",negative
"Hampir selalu ke tempat ini untuk membeli oleh-oleh. Istri saya selalu membeli Kue moci jika kesini. Rasanya lezat katanya, padahal menurut saya sama saja dengan kue moci yag lain. Untuk browniesnya cukup lezat, dengan tekstur yang lembut menurut saya. Harga standard. Patut dicoba.",positive
"brouwnies kukus yang lezat dan oleh-oleh khas bandung ini memang wajib anda beli untuk oleh oleh kepada rekan rekan, keluarga di luar jauh sana, karena rasanya yang khas dan lezat inilah yang menjadi daya tarik penikmat brownies. dengan berjalannya waktu varian rasa yang disajikan memanglah sangat banyak saat ini salah satunya yang rekomendasi ialah varian keju yang sangat lezat",positive
rasanya enak tak kecewa dengan makanan brownies cocok untuk oleh-oleh dengan harga yang murah meriah.,positive
"tekstur brownies nya lembut untuk rasa semuanya enak, harga mulai dari original kurang lbih 35rb sampai creamchese di harga 60rban dan semua rasanya juara. tidak ada 1 pun rasa brownies ini yg mengecewakan, pelayanan sangat cepat, tempat tertata dgn baik. pokoknya amanda browniesnya bandung banget.",positive
"Disini menjual berbagai macam makanan, khususnya bolu brownies Amanda yang sangat enak, saya sudah sering sekali kesini apabila saya ingin mudik ke kampong halaman, saya kesini untuk membeli beberapa kotak brownies amanda",positive
"Pelayanannya ramah sekali , banyak varian rasa juga apalagi yang rasa pandan , pokoknya enak banget deh",positive
"Mau cari brownies khas bandung pilih amanda, banyak rasa dan jenis brownies ada yang kukus, ada yang panggang rasa pun banyak variasinya. yang perlu diperhatikan adalah jangan terlalu siang bila ingin memesan brownies karena macet dan kehabisan.",positive
"Sampai saat ini , saya belum menemukan brownies dengan kelembutan yang menandingi ini. Tersedia dalam berbagai pilihan rasa, juga menampilkan prodek selain brownies yang bisa dibawa pulang sebagai oleh-oleh Bandung. Sebagai icon merk Ananda, produk terbaiknya tetaplah ""Brownies"". Dengan tempat yang bersih dan pelayanan yang baik, sangat memberikan kenyamanan dan kepuasan pengunjung.",positive
"Amanda memiliki brownies yang menurutku terbaik di Bandung. Brownies nya sangat wangi, lembut, dan tidak kemanisan. Pas dan enak banget saat lumer di dalam mulut!",positive
