content,polarity
"Lokasinya ga jauh dari alun2 bandung. didekat sana juga banyak cabang2nya yang bertetanggaan. waktu disana pas libur tahun baru, jam 8 malem aja penuhnya ampun2, ngeliat pelayannya aja sampe kaya kewalahan *hihii, waktu makan disini saya pesan nasi 2 + ayam bajar + pepes tahu + perkedel + tahu goreng cuma abis 32ribu ajaa.",positive
"Lokasi tidak dekat dengan ITC Kebon Kelapa. Setiap meja sudah tersedia berbagai lauk, lalapan dan sambel khas sunda. Kita tinggal memilihnya dan minta pegawainya untuk memanaskan. Harga masih terjangkau untuk kantong kita",positive
"Tempat makan yang satu ini oke punya deh. Sambelnya ada 2 type : pedes mampus punya atau yang sambel leunca. Sayur asemnya oke banget, asem dan manisnya pas dilidah. Harganya juga gak mahal. Bagi yang suka dengan pedas boleh mampir kesini.",positive
lokasinya berada di tengah tengah kota Bandung tepatnya di jalan Pasundan. sangat mudah mencari warnas ini cukup berjalan kaki dari terminal kebon kelapa. masakan sangat bervariasi hampir semua masakan khas sunda ada disini. soal harga sangat terjangkau per orang sekitar 50.000an. tempat cukup luas ada beberapa lokasi yaitu warnas bu imas 1 dan 2. hanya saja tempat parkir sangat terbatas. Lanjutan,positive
"Salah satu warung makan terkenal di Bandung adalah warung nasi ibu imas,disini menyediakan menu makanan khas sunda seperti gepuk,ayam goreng dan ayam bakarnya yg khas mmmm jadi laper XD dan jangan lupa sambelnya yg khas dan sangat pedas beuhhhh bisa menambah nafsu makan kita lohhhh Suasanya memang tidak seperti restoran mewah di Bandung lainnya,di warung nasi ibu imas ini suasanya. Lanjutan",positive
"warung makan khas sunda, favorit ayam bakar perkedel jagung dan pepes tahu, sambel leuncanya enaakk, pedesss, bagi yang senang pedes pas banget makan disini.buka 24 jam, biasanya rame banget apalagi jam makan siang, makan pedas minumnya teh tawar hangat, maknyosss",positive
"Tempat makan favorit keluarga untuk menu khas sunda Lokasi strategis, dekat dengan kantor saya :D soal rasa, enak banget, sambelnya luar biasa tapi hati-hati karena rasanya sangat pedas. Menu favorit kami : ayam bakar, babat, usus ayam goreng, perkedel jagung",positive
"Salah satu tempat makan yang buka 24jam dibandung dengan menu masakan sunda dan karedok leunca dan sambal yang boleh makan sepuasnya,",positive
"Dateng kewarung Bu Imas yang keberapa ini bareng ama sodara yang ngajakin,yang pasti buat yang pengen kesini jangan pas jam makan siang banget.rame poooooooooooool,untungnya sih saya nggak. Jadi bebas bisa nyobain beberapa menunya dan kebetupan saya nyobain pepes ikan mas,cumi bakar sama ayam goreng.dan kadang kan buat beberapa orang males makan ikan mas karna banyak duri tulangnya tuh,kalo disini durinya. Lanjutan",positive
Sambalnya mantaap.cocok dinikmati dengan ayam bakar dan lalapan.ditambah minuman teh tawar hangat.wow.enak bangettt,positive
"Pokoknya saya akan datang ke rumah makan ini kalau ingin menyantap ""karedok leunca pedas"" dan goreng babat. Disini semua hidangan khas Sunda, nikmat dan murah.",positive
"Dengan harga relatif terjangkau, makanan pilihan banyak orang yang dilayanan dengan cukup cepat, sambal yang cukup pedas, menambah selera makan untuk datang lagi",positive
"Tidak ada bandingannya makan belut goreng di sini, dihidangkan sesuai selera pemesan. Untuk hidangan standar, belut digoreng setengah matang dan bisa dinikmati dalam keadaan panas, sementara hidangan kering belut dapat dimakan hingga tulang dan kepalanya sampai habis",positive
"Rumah makan sunda dengan pilihan menu yang variatif, ada 2 pilihan sambal yaitu sambal terasi (super pedas) dan sambal leuca (medium pedasnya). Pepes ayamnya adalah favorite setiap berkunjung ke Bu Imas ini.",positive
"Warung ini merupakan warung sederhana. Menu yg ditawarkan Ada ayam, udang, gepuk atau empal, usus, hingga beragam pepes. Kami pun memilih ayam bakar yang merupakan menu spesial di warung ini, udang goreng tepung, pepes jamur, usus, dan paru goreng paling pas dinikmati bersama sambal leunca khas Bandung dan setangkup nasi hangat.",positive
"Kalo anda suka dengan makanan sunda dan sambal yang pedas, ini tempat makan yang wajib dikunjungi. Tempat makannya selalu ngantri bila kita mau makan pas jam makan siang atau malam.",positive
"Warung Makan Khas Sunda favorit saya, tak perlu merogoh kocek yang banyak. Pepes ikan atau ayam, perkedel jagung, dan sambal karedok yang mantap plus sambal terasi yang super pedas, adalah menu andalan saya.",positive
"Warung makannya bersih, pilihan menunya banyak, harganya juga terjangkau, walaupun ada kekurangan karena makanan sudah tersaji jadi saat kita pesan harusnya dihangatin lagi.",positive
Tempat makan yang murah dengan berbagai makanan khas indonesia. Yang paling AJIB itu sambel leunca dan dadakan nya yang bikin lidah bergoyang serta ayam bakarnya yang enak sekali.,positive
Rasa makanan tidak membuat wauw restaurant sudah terlihat dan terasa jenuh suasana kurang terang dan membuat rasa kurang bersih,positive
"buat anda para penyuka makanan tradisional sunda, cobalah mampir ke warung bu Imas ini. ada di dekat terminal kebun kelapa anda dapat menikmati berbagai jenis hidangan tradisional sunda mulai dari lalapan sampai ayam dan ikan bakar yang muantap banget.",positive
"Sunda banget. gak ada makanan yang gak enak, semua menantang selera. Lalapannya kas sunda, sajiannya juga berkarakter. jadi pengin lagi ke sini. pelayanan juga oke, keramahan kas priangan",positive
"Didaerah kebon Kelapa, warung bu Imas nyebar dibeberapa tempat. menu andalan mereka adalah makanan tradisional indonesia dengan pilihan ayam bakar atau ayam goreng ada ikan juga beserta beberapa pilihan sayurannya. yang paling nampol memang sambel terasinya pueeedeeessss bangettttt tapi enak. dilevel 2 ada sambel ijo. juga cukup nampol. dan enaknya kita bisa nambah lalap sepuasnya",positive
