content,polarity
Cobain puyuh rawit ya enak banget. Dessert ya es sarang n pisang molennya jg enak. Recommended buat yg mau cobain makanan yg beda. Servicenya bagus.,positive
"Mengunjungi tempat ini di saat makan siang berharap mengantri untuk pesan makanan, ternyata saya adalah pengunjung di saat waktu makan siang, kemudian ada satu keluarga terdiri empat orang datang setelah satu jam bercengkrama dengan santapan yang dikatakan favorit. Menu favorit yang diandalkan adalah puyuh perancis yang digoreng yang bisa dipilih satu dari sebelas varian yang ada. Selain sambal dan cara. Lanjutan",negative
"Waktu kesini, pesen 2 puyuh prancis. Yg konon hasil persilangan. Sambelnya tomat ijo sama versi bakar. Menu lainnya tahu goreng garem sama tahu telur. Aku nyicip puyuhnya, dagingnya soft banget, kaya ayam, ga amis. Enaklah pokoknya mah. Sambel tomat ijonya yah rasa standar sambel sih, tapi ok kok, secara dia pake bawang merah diiris2, rawit. Yg jelas sambel 1 mah. Lanjutan",positive
"Makanan yang baik, tempat yang bagus, pokonya enak banget, banyak bervariasi, pedas atau manis, anda dapat mencoba di Sangrai. Makanan penutup juga sangat enak.",positive
"tempatnya enak, makanannya enak, servicenya bagus. good value. menu specialnya puyuh, rasanya enak, gurih, apalagi pakai sambelnya mantap.",positive
Sukaaaa bangeett.sambelnya juga mantaapp. Anak2 juga doyaaan. Itu yang penting. Cocok banget jadi favorit keluarga.,positive
Enakk bgt! Favorit kluarga kita puyuh bakar. jd non minyak dan non kolesterol. sambel nya juga pilihan nya macam2. enak2. top bgt deh!! ^_^,positive
"Makanan dan minumannya enak2 terutama makanan pedasnya,,, mantaaapp,, , makan 1 porsi gak akan pernah cukup, hehehe",positive
"Awalnya gak berminat sama sekali utk nyoba makan burung puyuh karena takut ""bau"" dan ""keras"" spt kalo makan bebek hahhahaha, tp liat promo2nya dan review dr org2 yg pernah makan, jd penasaran juga.pas coba, ternyata boleh juga.gak seperti yg dibayangkan. Lokasi deket rumah, pelayanan oke pula. Jadi buat mas2 mba2 yg belom pernah coba makan puyuh, coba deeeeh. Gak nyesel!",positive
"Sambalnya makknyoss.dagingnya empuk.pelayanannya ok.tempat nya asik buat nongkrong.good food, good service and good quality!!",positive
1. pelayanan ok.!!! 2. burung puyuhnya maknyoosss.!!! 3. sambel extra pedas favorite.!!! 4. mau balik lagi.!!! waktu pertama datang saya rada bingung ini ayam atau burung puyuh. tapi setelah coba saya lgs ketagihan hehehehe. and ternyata burung puyuh ini memiliki kolesterol paling rendah.!!!! patut di coba thx sangrai hypersquare,positive
Suka bingung cari makan. Karena bosen dan itu-itu aja. Tapi bln september 2015 kemaren warung sangrai buka di paskal hyper square bandung! Senengggg banget sama Puyuh lombok nya endeuuss dan pastinya low calories. *drooling,positive
"Pelayanannya sangat ramah, hidangan nya juga sangat unik, berbeda dengan resto lainnya, terdiri dari 2 macam puyuh lomal dan perancis, bumbu khas rawit, eundeus, cabe hijau, gocap, original dll, tersedia juga sayuran pendamping dan desert seperti pisang bakar keju dll.very recomended !",positive
