content,polarity
"Self service, jadi memilih lauk sendiri kemudian br bayar di kasir. Pilihan lengkap baik ayam, daging, jeroan. Dan yang terpenting sambal nya mantabh.",positive
"kalo kebandung pasti makan dilaksana, tempatnya strategis.makan nya enak-enak.cuma sayur asemnya kurang panas waktu ituu:D gratis es teh jugaaa, khas bandung. pokonya enak banget dan cocok buat keluarga",positive
"pilihan tempat makan sunda di cimahi, menunya banyak tapi kalo dateng lewat siang menu biasanya tinggal ayam dan goreng2an, menu andalan, ayam, babat, sensasi nasi panas, sambel, lalap, teh panas. langsung josssss keringetan,,",positive
"Makanannya banyak pilihan menu. Makanan sunda banget pokoknya. Sambelnya pedes abis. Lauk lalapannya juga komplet. Minuman dari teh, es duren sampe sop buah ada.",positive
"Lokasi bersebrangan dengan RM ampera.parkiran luas.menyediakan makanan khas sunda seperti ayam goreng,ayqm bakar,ikan gurame goreng,sambal+ lalab,tahu dan karedok(sayur sayuran hijau disiram kuah kacang)",positive
"resto sunda yang menunya lengkap tersedia juga nasi bakar dan nasi merah yang menjadi daya tarik,harga terjangkau",positive
"Mau makan nikmat dan nyaman disini tmpatnya, lokasinya ada dijalan utama by pass, gampang sekali menemukannya, dari perempatan moh,toha, lurus saja ada di sebelah kiri, bisa menggunakan bus juga untuk sampai kesini",positive
Makanan disini disedian secara prasmanan. Ayam gorengnya enak banget dan empuk. Kalau hari sabtu minggu tempat ini ramai banget,positive
Makanan sunda yg selalu rama dikunjungi pd akhir pekan. Yg direkomendasi adalah ayam goreng dan babat gorengnya,positive
"Saya sudah 2 kali kesini,mencoba ayam goreng dan yang terakhir ayam bakar. Keduanya itu bisa dibilang lumayan mantap dan saya cukup suka.",positive
ayam goreng nya enak dan ditambah dengan sayur asem buat makan jadi tambah yahud. pelayanan mungkin jadi pokok utama bagi pemilik untuk lakukan koreksi lagi,positive
"Makanannya enak garing gurih, sambalnya pedas sampai ubun2 . karyawannya ramah dan murah senyum .",positive
"Sambel, lauk jambal asin jeung jengkol. Tong hilap tamusu jeung babat na. Kolestrol kumaha engke lah. hahahha",positive
"Memang rumah makan laksana tidak se'mentering rumah makan ampera, klu ampera memang sudah dimana-mana, rumah makan bercirikan khas sunda kebetulan saya membantu tamu rekanan dari jakarta, saya bawa makan malam di rumah makan aksana, tempat dan suasananya masih sangat sederhana, begitu pula menunya, menurut lidah urang bandung.sambelnya masih kurang menantang (pedesnya), harapan kami sebagai pelanggan kedepannya rumah makan laksana meningkatkan. Lanjutan",positive
"Rumah makan ""Laksana"" cabang di jalan .Sutami bandung . Kami sekeluarga pesan ayam goreng dan bakar. Tahu pepes dan goreng, usus goreng dan sayur asem . Sambal No.1 di bandung .",positive
"kemarin saya bersama keluarga dari dulu emang kalo ke bandung sering makan direstoran sunda ini karena emang rasanya beda dari yang lain dan emang saya sudah lama ga makan disini dan emang sengaja emang mau buka puasa disini, tapi disini saya merasa dikecewakan dengan restoran laksana sekarang. karena: 1. bad service - disini kan sistem si makananya jadi ambil langsung. Lanjutan",negative
"Laksana ada juga di Setiabudi. Makanannya enak. Sambalnya amboiii. Pedesnyaa. Kliatan sih biasa aja. Saya suka karedoknya, beda dengan yang biasa saya makan kala di Bekasi atau Jakarta, yang ini lebih kering. Suasana enak, dengan foto-foto Bandung tempo dulu. Parkir susah.",positive
"Ayam goreng panas panas , lalapan sayur nya dan sambel laksana sungguh membuat kita berkeringatan. pilihan menu lainnya banyak, dan kalo kembali ke bandung pasti mampir ke RM laksana Jl. Soekarno hatta",positive
"Yang bikin ketagihan ke laksana itu sambel dadaknya yang mantap,pedesss banget,tapi enak dan bikin ketagihan walaupun lidah udah ga tahan sama pedesnya. Begitu masuk pilih lauknya dulu,ada banyak pilihannya,standar masakan sunda. Mulai dari ayam goreng dan goreng2 yang lain,pepes,dendeng gepuk,perkedel. Lauk yang dipilih dikasih ke pelayan, bisa minta dipanasin atau digoreng. Bayar dulu,nanti makanan yang dipilih dianter ke meja sekalian. Lanjutan",positive
"jika berkunjung ke bandung, cobalah mampir ke rumah makan sunda yang satu ini, letaknya di jalan soekarno hatta, Disini hidangan disajikan secara prasmanan, beragam aneka makanan tersaji di sini, namun yang menjadi topnya adalahnya sambel terasi merah, pedas, sedikit asin dan enak, jadi kita akan makan dengan cukup lahap. namun apabila kita tidak suka sambal pedas, ada sambal lainnnya yang. Lanjutan",positive
"Menu yang tersedia, aneka pepesan, dari tahu,jamur, ikan, ayam. aneka gorengan, ikan, ayam, lele, belut juga ada, tempe, tahu, perkedel jagung, perkedel kentang, dendeng, dll. Sambelnya nendang.",positive
"untuk pecnta pedas, laksana jawabanya. masuk dalam resto disuguhi meja panjang isi beraneka macam lauk pauk. kita pilih terus diangetin dimakan deh.sambelnya? ampun.pedas sekali. tapi enak",positive
"Hamparan jenis masakan khas sundasiap di pilih di meja, tinggal memilih sesuai selera, sambel terasi merahnya uang mak nyos.di tambah lalab segarnya.Wow nikmat",positive
ngomongin restoran sunda mana yang enak yang sambelnya khas dan mantap rumh makan Khas Sunda Laksana jawabannya yang letaknya ada di Jl. Sukarno - Hatta Bandung cobain gepuknya yang manis gurih itu dan apalagi selain sambelnya yang harus di coba sambelnya nendang mantap.,positive
