content,polarity
"Tapi. Apa?? Tidak dilewati transportasi umum. Hiks. Tapi, jangan sedih. Bagi pecinta art (terutama lukisan), ngga akan nyesel deh datang kesini. Tempat ditata sedemikian rupa sehingga tetap cozy dan ngga kaku. Bahkan ada deck untuk melihat view kota di malam hari. Jika menginap di Villatel Salse, maka dinner disini adalah pilihan yang pas.",positive
"Pertama kali kunjungan ke restaurant ini, aksesnya agak sulit terutama bila melewati dago giri. Buka mulai jam 11pagi, Dan hari senin lawangwangi ini tutup. Walau begitu tetap menyenangkan bisa menikmati makanan dan pemandangan di restaurant ini. Makanan nya enak, pemandangannya luar biasa. Staff nya juga sangat baik.",positive
"unik! Satu kata yang menurut saya bisa menggambarkan tempat ini. Bangunan terdiri dari 2 lantai. Lantai pertama berisi lukisan"" yang bisa dikatakan bagus banget. Kita dapat melihatnya dan sekedar berfoto sebelum ke restonya. Dan di lantai kedua yaitu resto lawangwangi. Menjadi salah satu tempat paling hitz di bandung. Jika berkunjung pada malam hari, anda akan disuguhkan dengan penampilan band sehingga. Lanjutan",positive
"Lawang wangi memiliki konsep yang berbeda dengan cafe2 lain di bandung, menggabungkan seni, cafe, dan pemandangan yang indah. Saya sangat suka dengan galeri seni dan pemandangannya namun tidak terlalu berkesan dengan minuman dan makanan yang ditawarkan.",positive
"Tempatnya di atas bukit, perjalanan menuju ke Lawang wangi kalau dari arah Lembag bisa sambil menikmati pemandangan indah. Tempatnya artikstik banget. Makanannya biasa saja. Tapi demi foto-foto kece kekinian, dibela-belain lah ke sana lagi,",positive
"Sebenarnya harganya well mengikuti style cafe nya ya. Dibangun dengan bagus dan instagrammable. Sayangnya, saking ramainya pelayanannya tidak memuaskan. Tidak cekatan dan makanan yang disajikan juga tidak istimewa bahkan tidak ada rasanya. truly, not recommended, untung pemandangannya bagus.",negative
"Ada museum seni dan juga jual barang-barang yang eksklusif dan ga biasa; seperti baju, sepatu, dompet, dll. Makanannya standar seperti harganya. Tempat makan nyaman tanpa gangguan. Wifi gratis tidak ada. Pastikan berfoto di balkon Lawangwangi.",positive
"Lawangwangi adalah salah satu restoran favorit saya. Lokasinya berada di kawasan Dago Giri. Kurang lebih bisa ditempuh 30 menit dari pusat kota Bandung. Restoran ini cukup ramai pengunjung terutama saat libur akhir pekan. Lawangwangi Creative Space and Art Gallery, sesuai dengan namanya, restoran ini mengusung tema restoran dengan art gallery. Bisa dilihat dari desain interior, dan juga dekorasi lainnya yang. Lanjutan",positive
"Tempatnya keren abis. Cuman jalannya emang agak rusak tapi kalo udah nyampe, usaha yang dikeluarin sebanding dengan service sama produk yang ada di tempat ini. Apalagi ada balkonnya yang asik buat selfie. Love it !",positive
Sedih liat jalan ksana tapi terobati dgn view resto yg lumayan bagus. Makanan pun cukup nikmat. Pelayanan sangat ramah. Banyak ornamen menarik disini termasuk kompor yg bs dipakai ngetik :),positive
"Tahu tentang Lawangwangi dari youtube ""Black News"" Lalu saya cari tempat, dan ternyata memang woooww. Lokasi menuju kesana sudah disuguhi view yg indah. Setelah sampai lokasi, saya excited banget, bangunan nangkring di bukit, memberikan kesan tinggi dan besar. Masuk kedalam, disuguhi karya2 seni yg indah, naik ke lantai 2 berupa Cafe yg cozy bgt, dgn latar belakang pemandangan alam bukit. Lanjutan",positive
"bila anda mengunjungi bandung sempatakan mampir ke cafee Lawangwangi Art Lounge, suasana yang nyaman dingin serta pemandangan yang indah menambah nikmat liburan anda, letakya tidak jauh dari daerah dago bandung sekitar 20 menit kalo tidak macet, menu yang di tawarkan cukup beragam , fasiltas yang di sajiakan juga banyak , ada kerajinan seni , serta lukisan yang berbau art juga,",positive
