content,polarity
"Enaaakkk banget nih mie disini, mau yang mie yamin atau mie biasanya. Pilihannya jg banyak untuk dressing nya mau mie ayam pakai jamur, bakso, tetelan, ceker ayam. Ayamnya pun sudah di cacah2 gitu jadi enak. Very recommend for mie ayam + ceker ayam & bakso. Minumnya ada juice strawberry segar tapi yang ga kuat dengan asamnya better pesan yang lain.",positive
Sam's Strawberry Corner di Lokasi Dago Atas adalah tempat favorit saya dan keluarga untuk makan Siomay dan Batagor serta jus Strawberry yang yummy banget.,positive
"gak lebay, menurut saya disini lah jus stroberi paling enak di bandung. 12tahun lebih dan saya masih setia mampir ksini. klo perut lg gerilya minta diisi jg boleh ditambahin ma mie yamin nya, rekomended jg kok.",positive
pilihan makanannya banyak dan enak enak banget terutama mie yamien asin dengan bakso dan babat dan minuman juice nya fresh banget,positive
"Kesini selalu dengan pesanan yang sama, jus strawberry susu, minuman signature dari sams dan mie yamin manis dengan ayam yang lembut. It never fails.",positive
yang wajib banget dicoba di resto ini ada jus pure strawberry tanpa susu atau gula. asli enak banget.kayaknya 1 gelas aja kurang deh. kalo untuk mie yaminnya sih porsinya banyak banget.kalo gak laper2 banget gak usah pilih menu mie yamin deh kayaknya.,positive
Mie cekernya komplit tapi lumayan pricey Jusnya enak2 blueberry n strwbry leci enak bgt banyak snack2 nya juga Tempat std ga ada playground buat anak2,positive
bener-bener one stop kuliner bandung. Mie Ayam Yamien yang maknyuuuuusssssss plus batagor ditutup minum juice strawberry hhhmmmm.yummy,positive
Klo ke bandung berhub dekat dkt hotel langganan jd brg anak2 jalan kaki ke sams. Anak2ku suka bgt mie yamin bakso dan jus strawberrynya. Coba rawon mnrt saya kurang rasa ya.,positive
"Jus strawberry nya mantap,segerrr. Mienya juga enak, yg paling mantap soto bandungnya. Mapt yang skarang di dago lebih nyaman.tapi agak sepi ya",positive
"Mie di sini cukup enak dengan tipping ayam suir yang sangat halus apalagi ditemeni dgn jus atau yoghurt strawberry nya yg sangat segar. Namun utk rasa mie nya, menurut saya masih ada yg lbh enak dibanding ini walau tempt ini memiliki rating yg sgt tinggi. Harganya juga tergolong lumayan mahal.",positive
"Kedai ini menjual mie, dalam bentukan yamin manis dan yamin asin. Minuman terkenalnya jus strawberry. Rasanya enak dan jusnya segar",positive
Saya tau sam's strawberry dari tahun 2012 ketika kedainya masih di pinggir jalan dago. Dari dulu mie basonya enak. Yaminnya oke. Jus strawberrynya seger. Harga bersahabat.,positive
"Saya sudah mengenal tempat ini sejak tahun 2000-an, namun saya baru datang ke tempat ini lagi setelah mereka pindah lokasi. Lokasi yang baru di Dago Atas lebih nyaman daripada lokasi yang lama di depan sebuah outlet sepatu di Jl. Dago, dengan rasa makanan dan minuman yang masih tetap sama uenaknya seperti dahulu. Jus strawberrynya banyak, pekat, dan segar. Walaupun judulnya. Lanjutan",positive
"Lupakan diet untuk menikmati sepiring yamin manis pangsit - ceker! enak dan enak. Selain itu chinese food juga disediakan, walaupun memakan waktu persiapan lebih lama daripada sepiring yamin manis, jadi tidak terlalu direkomendasikan apabila datang sudah dalam kondisi lapar. Namun makanan nya enak, termasuk kangkung ca hot plate nya.",positive
