content,polarity
tempat ngopi tengah kota bandung di braga menyajikan suasana yg nyaman minuman kopi bervariasi ccocok untuk bersantai,positive
"Kopitiam Oey Braga, kopitiam ini menyediakan berbagai macam makanan, terutama makanan lokal/tradisional, penataan ruangan nya ala nyonya Belanda/Peranakan !",negative
Kopi tiam ini sangat berbeda dengan kopi tiam yang seperti biasanya. Tempat yang nyaman dan aman dengan arsitektur tempo doeloe menjadikan tempat ini patut dikunjungi,positive
"Kopitiam Oey yang dimiliki oleh Pak Bondan ""Maknyus"" ini berlokasi di daerah sangat strategis di Bandung. Suasana restoran didekorasi dengan hiasan bertema tempo dulu, membuat kita nyaman berkumpul dengan keluarga/kawan disini. Harga makanan/minuman disini tidak terlalu mahal, dengan rasa yang lumayan, meskipun tidak istimewa.",positive
"Salah satu tempat di Braga yg asik untuk nongkrong bersama teman, desain interior yg menarik yaitu cina tempo dulu.Makanan yg ditawarkan jg lumayan enak tp tidak terlalu banyak menu yg ditawarkan dengan harga yg cukup terjangkau, pelayan cukup ramah mungkin memang ditujukan untuk makanan atau camilan ringan saja.Pokoknya mak nyuuss.",positive
Cocok buat nongkrong sama keluarga atau temen. Makanannya juga enak. Suasananya kayak kembali ke masa nostalgia jadul. Cocok buat yang demen foto2 sebelum makan.,positive
"Masuk ke kopitiam oey ini terasa seperti berada di era zaman dulu. Nuansanya cocok untuk nongkrong dan foto-foto. Ga cuma makanan saja yang dapat dinikmati, tapi juga suasananya karena desain restoran yang unik.",positive
"ini dia restoran si mak nyuss. lumayan kita bisa ketemu menu menu peranakan di sini, harga juga ga terlalu mahal kok. jadi patut dicoba. rasa juga lumayan kok",positive
"Berlokasi di jalan braga yg sangat terkenal di bandung,mudah diakses dari mana saja,variasi makanannya lumayan banyak,harga berbanding dengan rasa.saya jalan braga lagi ada perbaikan dan nggak selesai selesai,sehingga mengurangi kenyamanan saat makan.",positive
"Tempat nongkrong yg bergaya vintage yg asik bngett kopinya yg khas and asli pisan diolah dengan alat2 jadul ,edan edun pisan Next day or weekend i come again to . #bdgpisan #bdgtea",positive
"Kopitiam Oey berlokasi paling strategis di Mal Braga Citywalk. Terletak di bagian paling depan dari pintu masuk utama langsung dari Jalan Braga, anda dapat menyaksikan videotron raksasa di atas kedai ini berisikan informasi seputar daerah Braga, suasanya klasik dan tenang, makanannya memang standar dan tidak berbeda dengan kedai kopitiam ini yang ada di Jakarta. Namun untuk suasananya? Tidak tergantikan, you. Lanjutan",positive
"Klu ksini saya selalu pesan singkong sambel roa.sigkongnya digoreng dipadankan dengan sambel roa,enaaak.makanan yg lainnya jg enak tp buat saya dan klrg yg paling enak dsini ya makan singkong sambil ngopi"".",positive
"tempatnya pas sekali di braga, sesuai dengan tema yang diusung, pelayanannya ramah, dan cekatan sekali, dan makanan minumannya harganya sangat bersahabat. teh tariknya sangat kental dan enak , dan kopinnya bikin ga bisa tidur, sesuai dengan nasehatnya di menu. tempat ini rekomen untuk tempat santai selagi menikmati sejarah di jalan Braga.",positive
"Restoran yang menyajikan hidangan akulturasi belanda dan cina; dimiliki oleh Bondan Winarno. Cobalah vietnamese drip coffee, sangat enak dan khas. makanannya sederhana tapi citarasanya juara. Soto tangkar adalah favorit saya.",positive
"Saya tidak pernah melewatkan tempat ini jika ke Braga. Meski agak repot untuk mencari parkir, namun sangat layak untuk didatangi. Menu favorit: mi kepiting pontianak dan wedang uwuh. Aslinya menu ini dari Imogiri, Bantul. Wedang berwarna kemerahan dengan campuran jahe, kayu secang, daun salam dan rempah-rempah, sangat hangat.",positive
"Di Kopitiam Oey Braga ini kita dapat secara langsung melihat proses pengilingan biji kopi hingga menjadi bubuk kopi dan kita dapat memilih beberapa jenis kopi dengan aroma dan rasa yang berbeda, sangat cocok untuk oleh-oleh.",positive
"Kopitiam Oey di Braga ini merupakan satu dari sekian tempat favorit saya untuk mencari menu makanan a la Babah Nonya campur lokal. Menu makanan yang paling saya rekomen adalah Mie Kepiting Pontianak, kemudian Sego Ireng dan cemilan jagoannya adalah Singkong Sambal Roa, dengan sambal yang tidak terasa pedas. Minuman yang saya rekomendasikan adalah minuman panasnya : Wedang Oewoeh Imogiri (biosa. Lanjutan",positive
