content,polarity
"Saya pesan beef steak tenderloin, anak saya makan gindara steak, porsinya cukup besar dan mengenyangkan. Rasanya juga enak.",positive
Baru nyobain yg di setiabudi. Lumayan enak tempatnya. Tempat luas Parkir lumayan luas Rasa ttp sama kaya abuba jakarta,positive
"tempat nya mudah di jangkau oleh transportasi umum, teretak di sebelah jalan layang pasupati. tempat nya nyaman untuk keluarga, pasangan atau pun dengan teman di abuba steak porsinya juga banyak, rasanya mantap steaknya juga empuk.",positive
"Ini adalah tempat makan steak favorit saya. dimana rasanya enak, tempatnya nyaman dan juga harga yang tidak terlalu mahal. Jenis dagingnya pun beragam dari lokal sampai yang international karena ada US dan Australian beef juga. Terdapat beberapa jenis sauce untuk steaknya mushroom, bbq dll, favorit saya sih mushroom. side dishnya juga enakn dan bisa memilih tingkat kematangan, favorit saya sirloin. Lanjutan",positive
"Kebetulan sedang liburan tahun baru dengan kawan2 di Bandung. Pengen makan steak, dan kita tetap cari Abuba. Welldone steak plus sayuran yg banyak jadi andalan. Menyesal kalau belum pernah coba.",positive
"Tempatnya unik banget sangat nyaman untuk makan siang bersama keluarga. porsi juga banyak terutama vegetable nya. mantap rasanya,",positive
"Menurut aku sih, Abuba Steak merupakan pelopor steak murah meriah. Ketika adik saya berulang tahun kemarin, kami sekeluarga merayakannya di tempat ini. Saya sendiri lebih senang memesan tenderloinnya dikarenakan tidak ada lemaknya. Sayangnya tempatnya tidak disediakan AC. Cuaca bandung yang sekarang panas, membuat suasanan di dalam caf pun terasa panas",positive
"Kemarin saya lagi punya uang berlebih nih, jadi sekali sekali saya mau makan abuba steak lagi, saya udah sering makan disini, karena steaknya yang enak banget",positive
sejak sekitar 12 tahun lalu Abuba Steak adalah merupakan tempat favorit bagi keluarga kami untuk makan dengan menu steak. Saya dan anak saya sangat menyukai rasa maupun suasana restorannya baik yang berada diJakarta maupun Bandung.,positive
"Tempat steak yang legendaris dan terkenal. No wonder, karna rasa steaknya enak, dengan porsi yang cukup besar. Harganya juga sepadan dengan kualitasnya. Steaknya cukup empuk dan kentangnya saya suka",positive
"Saya suka menu steak salmon disini. Harganya tidak murah, namun rasanya lezat dan tempat nyaman, selain itu pelayanannya juga baik.",positive
"Ini pertama kali saya makan Abuba Steak di luar Jakarta. Rasanya agak berbeda dengan yang saya biasa nikmati di Abuba Steak Jakarta. Kurang enak. Suasana restorannya OK. Toiletnya sudah agak tua, harus sedikit diperbaharui",positive
"Waktu berkunjung ke bandung beberapa waktu lalu, saya menginap di hotel benua di jl. Pelajar pejuang. Kebetulan yang menyenangkan, di depan hotel ada resto steak abuba. Iseng-iseng masuk kesana dan memesan menu, ternyata rasanya enak. Tempatnya juga nyaman. Nggak nyesel pernah kesana.",positive
"Lokasinya dekat sekali dari ""pusat kota"" bandung, disekitaran DAGO, jembatan pasopati. Ada beberapa kampus juga yang sangat dekat dengan lokasi abuba yang ada di jl prabu dimuntur. Untuk rasa sebenarnya biasa saja, tidak terlalu istimewa. Harganya juga terbilang mahal dibandingkan dengan steak ""sekelas"" di kota bandung lainnya. Namun, kalau sedang promo, bisa murah banget. Untuk 200gr New zealand rib eye. Lanjutan",positive
steak dengan rasa yang super lezat harga yang di tawarkan standar namun porsi yang di berikan cukup besar,positive
"Berbekal referensi dari internet, kami penggemar steak ingin mencari alternatif tempat yg belum kami datangi, salah satunya abuba.Kami pesan Tenderlorin dan T bone dengan pembakaran cukup matang.Sesudah menunggu lama, krn resto sdg penuh di akhir pekan.Pesanan kami jauh dari yg kami bayangkan, Steak yg gosong dan keras, dan satu lg steak msh merah cenderung mentah, dengan penyajian asal2 an, steaknya. Lanjutan",negative
steak dengan porsi yang mengenyangkan tidak terlalu besar dan tidak terlalu kecil.harga ok lah sesuai dengan jenis dagingnya. tenderloinnya enak .,positive
"Menu gak banyak pilihan, rasa ok lah sesuai dengan harganya yang murah untuk steak menu ya. Tapi sayang mereka gak menjual bir, jadi untuk turis manca negara yang suka makan steak n minum bir gak bisa menemukannya di sini.",positive
"Saya adalah penggemar steak namun ketika saya makan di abuba, ternyata rasanya jauh dari yg pernah dibayangkan bahkan sauce-nya sangat tidak enak seperti sauce ABC biasa (katanya barbeque) kemudian tidak ada lagi pilihan sauce yg lain.!!! Tak mau lagi kesini",negative
"Letaknya tepat di samping jalan layang pasopati Bandung. Saya biasa pesen Tbone Lokal, tapi tetap enak dengan porsi yang lumayan besar. Dengan harga yang sama saya mendapatkan porsi yang lebih besar di restoran ini. Pembakarannya ternyata masi tradisional memakai kipas dari bambu. Jadi kalo anda di Bandung pingin steak kesini aja, saya biasa bersama keluarga",positive
