content,polarity
Ayam bakar dan penyetnya mantafff ga nyesel makan disini. ditemenin live musik lg. mantafff Malam mingguan lg with my wife,positive
"Makan siang di ayam penyet bu tris enak, suasana bandung tempo dulu terasa hidup dengan ornamen di tempat ini. Kami makan bebek betutu dan ayam sambal korek nya enak. Rekomendasi bagi pecinta makanan pedas.",positive
"senang sekali bisa berkunjung di ayam penyet bu tris,banyak menu yang tersedia,tapi pada saat itu saya hanya mencoba makanan sate,sungguh nikmat dan romantis sekali makan sambil ditemani dengan alunan live musik.",positive
"Restonya bikin kangeeen.suasananya enak trutama live musicnya suka jazzy gitu atau lagu oma oppa tempo dulu,enaukeun pisan,,makanannya juga enak-enak, harga ga mahal,,puas dan udh ketiga kalinya ksini",positive
"Mencari makanan rumahan yg murah meriah di jl braga coba di sini.Menu sederhana dengan rasa lumayan terutama buat mereka penyuka sambal.Tempat tidak terlalu luas , ada live musik, kadang pengunjung boleh bernyanyi, untuk mereka yg suka ketenangan memang tidak cocok makan di sini.",positive
"restoran ini berada di jl braga, dekat sebrangnya braga citiwalk. menyajikan masakan nusantara. ayam penyetnya juara! sambelnya enak dan banyak.",positive
datang pas malem suasana kerenn banget ada ibu2 yg ngegrup pada nyanyi2 di tempat ini. harga juga tidak terlalu mahal untuk menu2 tradisional,positive
Ayam penyet dengan bumbu yang khas dengan sambal yang tidak terlalu pedas dapat dimakan untuk seluruh anggota keluarga baik anak kecil sampai manula,positive
"Restoran ini bisa jadi alternatif pilihan saat perut keroncongan malam-malam karena buka hingga pukul 12 malam. Makanannya enak dengan harga terjangkau untuk sekelas tempat makan dengan lokasi di Jalan Braga. Harga menu nasi goreng rata-rata Rp 20 ribuan. Plusnya lagi, di sini makan ditemani live music. Kalau mau, pengunjung pun bisa loh ikut nyanyi, seperti malam itu saya juga ditawari. Lanjutan",positive
"Resto sederhana ini sangat ramai pengunjungnya, menu makanan yang paling banyak di pesat Ayam Penyet + sambal. Rasanya enak sesuai citarasa Indonesia.",positive
"Ayam penyet nya enak, porsi bisa lebih banyak. Untuk pesen 1 ayam penyet saya masih merasa kurang. Sambal kemanggi nua enak, pedas nya pas. Sambil di temani Live music dengan berbagai genre, dangdut juga ada.",positive
"ayam penyet bu tris, di jalan Braga bandung, wow ayam nya eunakkkk dn sambal nya untuk ukuran saya cukup pedas nya . pelayanan juga okok . saya sering2 ke Bu tris.",positive
"sambalnya bikin ketagihan, rasa ayamnya gak ada duanya, pelayanannya ok, lingkungan unik dan pas untuk bawa keluarga",positive
"Saya suka makan disini karena menu ayamnya enak dan empuk, sambal pas di lidah dan suasana restorannya juga nyaman. selain itu pelayanan juga bagus dengan harga terjangkau.",positive
