content,polarity
"enak buat nongkrong bareng teman, gak ngebosenin pojokannya. yang istimewa dari makanannya itu bumbu herbsnya yang ditaburin di atas daging. memang agak mahal ya",positive
Makan disini tempat nya enak. Terutama bagian yang ada diluar dan lantai atas nya. Saya suka dan waktu datang tidak buru buru krn tidak begitu lapar. Santai menikmati pemandangan dan makanan nya jg lumayan enak.,positive
Enak dan tempatnya juga nyaman. Buat harganya rada mahal. Terus mungkin kekurangannya tempat parkirnya kecil,positive
"Enak dan tempatnya nyaman, tapi tempat parkirnya sempit, dan juga kalo liat ke bawah pasti ramai, karena prima rasa selalu rame pengunjungnya",positive
Paling susah cari tempat parkir disini. Apalagi kalau siang. Makanannya enak dan porsinya cukup banyak. Harga tidak terlalu mahal.,positive
"Di herb n spice ini letaknya di atas prima rasa, dan lokasi nya di pusat kota. Kalau kesini makanan yang enak pizza nya, menurut saya pizza disini rasanya masih western banget, which is i love. Untuk harga standard cafe biasa, dan disini biasanya saya sama temen-temen ngobrol.",positive
"Harga di herb and spice ini cukup terjangkau. Makanannya juga bukan makanan yang asalan, minuman lassi yang nikmat, aneka salad dengan dressing yang bernaeka ragam.",positive
"Ini kesekian kali saya mengunjungi restoran ini dan seperti kunjungan sebelumnya, tempat ini selalu memuaskan. Menu nachos misalnya, adalah salahsatu yang terbaik di kota. Di banyak resto, kadang menu nachos tidak sesuai harapan saya, tapi disini percis seperti apa yang saya cari dan idamkan. Nachos disajikan dengan presentasi menarik dan pilihan 3 saus: guacamole, sour cream dan salsa. Sempurna! Sekali. Lanjutan",positive
Saya suka sekali makan disini. Harganya tidak terlalu mahal dan rasanya enak. Yg paling saya suka baked mushroom-nya. Banyak kejunya dan creamy. Tiap kali kesini pasti order ini.,positive
sebenarnya tempat ini tidak terlalu terlihat karena dibawahnya ada Prima rasa yang lebih ramai. namun tempat ini sngatlah nyaman dan makanan yang disajikan benar-benar enak. apalagi curry noddle -nya ditambah presentasi makanan juga unik-unik. sehingga menambah pengalaman dalam menyantapnya,positive
"Beberapa kali mengunjungi tempat ini, saya selalu puas dengan layanan yang didapat. Tak hanya makanan yg disajikan enak, tapi juga presentasinya menarik dan sempurna. Kualitas seperti makanan di hotel-hotel, tapi dengan harga yang masih masuk akal. Kami menyukai tempat duduk-duduk di dekat balkon tetapi harus dijaga agar jangan ada orang merokok di area tersebut. Sebab bau asap rokok bisa mengganggu. Lanjutan",positive
Tempat: Tipikal cafe di Jakarta dengan dominan kayu. Oke untuk tempat nongkrong. Makanan: Saya memesan pasta Aglio Olio dan rasanya standard.,positive
