content,polarity
"Resto ini mempunyai desain interior yang menarik. Layanannya cukup baik. Tersedia beragam menu seperti Nasi goreng kencur, Nasi hainan ayam rebus, Nasi hainan campur, Nasi hainan chasio ayam dan sebagainya. Nasi goreng kencur terasa sekali kencurnya dilengkapi bumbu rempah dan telur mata sapi membuat rasanya sangat mantap. Bihun asin ayam campur berisi ayam, jamur, pangsit kriuk dan kuah asin sehingga. Lanjutan",positive
"Kios masakan oriental yang sederhana, tidak aneh-aneh, tetapi masakannya sangat lezat dari jaman saya kuliah. Meskipun tempatnya terhitung tidak besar, dekorasinya unik, membuat kesan yang homy dan nostalgic. Terakhir ke sini, saya mencoba lagi nasi Hainan favorit saya. Masih lezat. Selain itu, sesuai namanya, mie ayam di tempat ini juga 'maknyuss.'. Selain itu, tempat ini juga berposisi strategis, dekat dengan. Lanjutan",positive
"Harga terjangkau, masakan enak (ini subjektif) most recommended masakan nasi hainama plus ayam bakar atau yamin manis. Jangan lupa tambahin side dish udang lumpia.hau ce gilaaaa",positive
"Nyobain mie bebek rasanya maknyoss, Banyak pilihan menu dan harga lumayan terjangkau tidak begitu mahal. Setiap belanja di stiabudi pasti beresnya mkn di mangkok ayam :)",positive
"Waktu itu nyobainnya bukan yang di Jalan Setiabudi, tapi yang di Festival Citylink, nasi hainan-nya enak. Murah pula, pas di kantong lah untuk porsi segitu. Tempatnya kecil, yang di Festival Citylink maupun di Setiabudi.",positive
"Sangat cocok untuk breakfast atau lunch & dinner, tersedia menu Dim Sum, makanan ringan dan juga beragam menu lainnya",positive
"tempat makan dg menu komplit, pelayanan cepat. suasana vintage, nyaman, meskipun agak kurang luas. suka menu bebeknya, dari nasi goreng maupun mie. Beberapa kali kesana pas ada promo dari kartu kredit lumayan diskonnya.",positive
"Suka banget sama desain interiornya. Klasik, sedikit vintage, gak berlebihan. Servicenya cepat dan ramah. Makanannya enak, udah nyobain nasi hainan dan berbagai bakmi nya, semuanya enak. Dim sum cekernya juara. Sayang tempatnya kecil. Tapi tetep, sangat-sangat ngenakin, gimana gak ngenakin, ada di belakang Setiabudhi Supermarket, diapit macem-macem toko dan dilengkapin Periplus. Mantap! Makanan enak, suasana enak.",positive
"Kebetulan makan di cabangnya yg di citylink-jln.bkr, pesan menu nasi hainan bebek+teh tarik hangat. Berharap menemukan rasa yg sama dgn yg di malaysia, ternyata tidak. Kurang enak, ngga cocok di lidah saya. Teh tariknya kemanisan&rasanya aneh. Nasi hainan bebeknya juga gitu, kuahnya kurang suka, bebeknya sih oke cuman byk tulangnya, nasi hainannya ngeprul-kurang pulen dan rasanya ngga enak, maaf yah. Lanjutan",positive
"saya dan teman sengaja datang ke setiabudhi market hanya untuk makan di mangkok ayam, ternyata rasanya memang tidak mengecewakan, kami memesan nasi sapi dan nasi bebek, pelayanannya cepat dan tempatnya bersih. harga nya lumayan mahal jika untuk ukuran mahasiswa.hahaha",positive
"Kwetiauw goreng dan teh tarik menjadi pilihan makanan saya disini, meskipun ada beberapa yang besan mie yamin, anda boleh coba juga nasi gorengnya",positive
"Makan disini cukup nikmat karena menunya beragam, dari mulai menu indonesia, asia, hingga tiongkok. Sehingga bisa mencoba rasa yang beragam. Rasanya juga tidak kalah enak. Tempatnya cukup nyaman, pelayanannya pun cepat",positive
"Makanan di sini halal, menyediakan ayam dan bebek saja. Chasiw , daging merah manis disubsitusi dengan ayam merah. Hal ini menyebabkan rasanya kurang sedap. Secara kesulurhan tempat ini sangat pas bagi yang ingin cari praktis, dan siap saji.",positive
