content,polarity
"Restoran ini sudah berdiri sejak lama tetapi kualitasnya tidak pernah menurun. Menu yang kami order tidak jauh dari jap chae, sup tahu, ayam goreng madu, dan ayam ginseng.",positive
"Makanannya enak, suasana restonya nyaman sekali dan pelayanannya baik dan cepat. Hanya saja harganya yang mungkin tidak termasuk termurah, tapi bagaimanapun resto ini sangat layak untuk dikatakan sebagai resto korea, dan dengan menu yang rata-rata yang porsinya banyak membuat resto ini cocok untuk kumpul keluarga atau teman-teman.",positive
kalo mau nyobain makanan korea yang beneran rasa korea dan belom tercampur rasa lokal dateng aja kesini. pas pertama nyobain samgyetang disini gilaa rasanya ga indonesia banget. ga berasa garem gulanya apalagi rempah-rempahnya.tapi asik sih jadi rasanya masih murni masih asli. harganya standar makanan korea. kalo kesini minimal bawa aja dua cepe buat minum sama makan. resto ini ga HALAL. Lanjutan,positive
"waktu itu kesini waktu bulan puasa, dan buat buka bersama. pelayannya sangat ramah dan melayani dengan cepat. waktu pertama dikasih kimchi gratis, dan penutupnya dikasih buah semangka. makanannya enak dan otentik.",positive
"koread food yang decent di bandung. harga biasa saja, standar. menu favorit saya adalah pork kimchi jigae. rasanya pas dan nikmat disantap saat hangat. sayang samgyupsal di sini terasa terlalu kering. side dish banyak dan enak enak. overall good for money spent.",positive
Waktu datang kesini pas ada group jadi pelayanannya sangat lambat. Makanan kecil yang disajikan juga cuma 4 macam. Jap chaenya tetap juara beserta ayam goreng madunya.,positive
"Paling enak disini itu japchae, ayam goreng madu, dan sup tahunya. Tiga menu itu selalu kami pesan setiap kali kesini. Ada menu baru yaitu aneka sate ala korea.",positive
Lorean house di jalan .sulajadi bandung. Restoran penata nya bagus. Makanan nya juga ok . Umumnya kami pesan bimbba. Bulgogi . Korean fright chiken . Dan biasa pertama kimchi .,positive
"tempat makan ini restoran dan bukan cafe, tempatnya enak buat kumpul bareng temen, sendirian atau sama keluarga, tempatnya sepi ga berisik dan ada tempat main buat anak - anaknya. Makanannya enak dan authentic, topokki dan bibimbapnya wajib coba :)",positive
"Kami sering makan di korean house karena makanannya enak dan cocok dengan lidah keluarga kami, Restoran ini memiliki area bermain untuk anak-anak dan batita sehingga sangat menyenangkan untuk keluarga.",positive
"berawal dari niat pengen nyobain soju. gara-gara nonton film korea. wokwokwwokwok. bertepatan lokasi dekat dengan PVJ langsung deh bersama adik, kami langsung ke lokasi. tapi soju nya gk bisa di beli lalu langsung di bawa pulang, harus di buka di tempat terlebih dahulu setelah itu mau di bawa terserah. cocok untuk rombongan di lengkapi dengan ruang bermain anak juga, cocok. Lanjutan",positive
