content,polarity
"Tadi pas makan siang saya mampir kesini,membeli nasi goreng dan baso gorengnya,harganya 12.000 rp.rasa basonya enak,rasa ikan dan udang kerasa bgt(must try kalo ke bdg,dijamin ga rugi)kalo nasi gorengnya,terdiri dari udang kecil,telor,daging,rasanya biasa aja.",positive
"baso goreng nya favorit deh. sambel nya juga macam2. memang tempatnya kecil, tapi rasanya masih asli. daging nya fresh. lokasi nya jg di tengah kota jadi mudah dijangkau dan harganya masih sesuai kantong. tidak seperti mall. hidangan seperti ini cocok untuk orang tua, tapi banyak juga kalangan muda yang makan disini. lezat dah. tiap hari rabu tutup istirahat.",positive
"sesuai namanya, mie 123 menjual aneka yamien+yahun.selain itu ada juga nasi tim, dan masakan. favorit saya adalah bihun kuah dengan pangsit. pangsit gorengnya enak",positive
"Ada salah satu tempat buat penggemar mie di Bandung yang patut di coba.Lokasi di jl. Emong, dari dulu tempatnya sangat kecil, sehingga banyak pelanggannya yg tidak kebagian duduk.untuk parkirpun juga terbatas.Selalu ramai baik siang ataupun mlm. Rasa mie nya lumayan yang enak bakso gorengnya dengan porsi cukup banyak , cukup mengenyangkan. Untuk harga agak sedikit mahal.",positive
"kalo ke sini harus mkan baso gorengnya, enak banget, gede lagi. kalo rasa mienya sih menurut saya biasa aja, tapi entah kenapa laku banget. mungkin itu tergantung selera masing2.",positive
Pertama kali saya datang kesini untuk makan siang dengan teman kantor. Lokasinya ada di jalan emong. Menu favorit saya disini ada mie pangsit baso dan baso goreng. Rasanya enak dan ditambah sambalnya juga yang menambah cita rasa. Sangat direkomendasikan untuk makan siang,positive
"Baso goreng paling enak se bandung raya, saya sudah keliling bandung tidak ada yang seenak disini. Ditambah sambalnya yang pedas sangat mantap. Jangan lupa datang lebih awal karena tempat terbatas",positive
"Teman asli Bandung mengajak kesini, katanya resto ini juga terkenal. Kami langsung pesan mie ayam lengkap karena sudah sangat lapar. Lengkap itu termasuk babat yang untungnya diolah bersih. Mungkin karena ada babat ini teman saya yang cowok itu suka kesini. Menurut saya, rasa mie ayamnya lumayan, standarlah. Yang sangat kurang adalah pangsit rebus yang rasanya asam. Entah memang begitu rasanya. Lanjutan",positive
"Setiap kami ke Bandung, pasti akan selalu menyempatkan diri datang ke Bakmi 123. Kalau masih pagi hari, makanannya masih lengkap dan belum terlalu ramai. Kalau agak siang biasanya sudah ramai dan agak sulit mendapat meja terutama pas weekend. Letaknya di Jalan Emong, masuk dari Jalan Karapitan atau lewat Jalan Burangrang. Menunya ada yamien asin, manis, bakso goreng, siomay, tahu bakso,. Lanjutan",positive
"Salah satu tempat favorit untuk makan Mie di Bandung. Baso goreng nya sangat mantap, ditambah dengan pangsit gorengnya. Restauran keluarga ini memang harus diacungkan jempol untuk kualitas rasanya yang tetap sampai saat ini. Kami sekeluarga hanya suka mie, baso goreng dna pangsit goreng, selain itu ada kuah babat juga (jiga suka dalaman). Selain itu menu yang lain terus terang biasa. Lanjutan",positive
