content,polarity
"Tempatnya enak dan pemandangannya juga oke, paling oke lagi kalo dateng kesini itu pas sore hari sih menurutku. Karena kalau hari sabtu itu kalau malam pasti rame bgt dan view sore hari itu paling oke deh.",positive
"Makanan enak, pelayanan sip, dan harga ya middle range. Tempat nya sepi dan bisa focus untuk bekerja. Pertahankan kekuatan kalian ya.",positive
Kafe ini sepi banget waktu itu cuma ada aku&temen2 doang sama satu org tamu lain. Makanannya lumayan enak tapi minumannya kurang enak. View nya juga kurang bagus buat foto-foto mungkin kalo buat meeting atau ngobrol2 biasa sih cocok-cocok aja. Musolanya besar nyaman mukena bersih tp gaada sendal padahal tmp wudhu harus ke bawah.,positive
Ini tempat nya di atas kota bandung .dago atas. Setelah stone cafe. Agak ngeriiii juga jalanan menuju kafe ini. Gk meyakinkan saat belok ke gang nya. Jalanan sempit. Pas bgt utk 2 mobil. Jika terpaksa bawa mobil gede dan papasan dgn mobil lain so haris saling ngalah. Dibutuhkan konsentrasi tinggi utk kesini yg bawa mobil. Tp semua nya terbayar dgn. Lanjutan,positive
"Suasananya nyaman, sejuk, pokoknya asyik .makanannya pas di lidah lezat.pelayannannya ramah, cepat dan profesional tentunya, pokonya patut di coba.",positive
"Tempatnya yang nyaman untuk bersantai bersama teman, sejuk dan paling enak datang di malam hari. Pizzanya favorit banget",positive
Desain dan tata ruang kafe ini sangat cocok untuk dijadikan tempat kumpul baik bersama teman - teman ataupun keluarga. Pizza tungkunya patut dicoba.,positive
"Tempat ini sangat asik dan sejuk. Layoutnya membuat kita nyaman duduk berlama-lama. Makanannya pun enak dengan harga yang pantas. Datanglah sore hari, kalau malam tempatnya agak gelap.",positive
"kalo uda mumet. pastii carii nii tempat bwt sekedar makann ato pacaran,, hiihihi tempatny enak bwt santey dan yg jelas sejukk mskipun kalo dateng malem kadang suka digigit nyamuk karna tempatnya yg semi outdorr. tp overall, harganya okey. makannya porsiinya wareugg. good lahh",positive
"kafe satu ini, sangat di rekomendasikan buat menjamu tamu, atau keluarga yang berkunjung. karena mempunyai tempat yang asyik. dengan bentuk tenda, gasibu yang mempunyai view kontur pegunungan dan lampu2 kota jika malam tiba. disini kita bisa berbincang akrab dan lama sambil duduk di sofa yang empuk ditemani bantal bantal sambil makan minum. atau duduk didalam ruangan dengan tv sebagai hiburan. Lanjutan",positive
