content,polarity
Salah satu tempat favorite! Makanan dan minumannya enak2. View nya juga bagus. ditambah dengan suasana yg nyaman dan sejuk.,positive
"Rumah makan dengan konsep yang unik. View nya ciamik banget.Kalau datang untuk kongkow tempat ini asyik. Tapi kalau buat makan,apalagi makan berat belum berani recomended. Kalau hari hari biasa tempatnya sepi.",positive
"Saya jauh2 datang ke rumah miring untuk relax tapi pas saya mau sofa yang di atas itu gabisa, katanya belum di buka padahal sudah jam 5 sore Waiternya kasi choice lain tapi setelah itu dia pergi dan gak dateng lagi. Akhirnya sy gajadi untuk makan di rumah miring ini karna pelayanan pertama aja udah jelek. Dan gak akan pernah balik. Lanjutan",negative
"The most amazing of this place is the view that we can enjoy, we could see an open green nature and dazzling by day, and romantic city lights at night.Do not forget to bring a jacket for those of you who are not used to live in an area with cold air. Makanan yang disediakan cukup lumayan bisa dinikmati, tidak. Lanjutan",positive
"restaurant ini sangat unik walaupun saat pertama liat dari luar terlihat tidak bagus, tetapi setelah saya masuk ke dalam (ke bawah), ternyata restaurant ini sangat lah bagus dan indah, ditambah dengan suasana dago yang sejuk menambah syahdu suasana.",positive
"Rumah miring, dago giri - bandung Gw pernah ke sini 2x, tempatnya cozy bangeed, sumpeh!! Bagaimana bisa, tempat ini bisa menyelamatkan kepenatan kita dari sumpek nya kota?? That's amazing place!! makanan nya kalo mau di lurus kan dari rasa, kualitas bahan - bahan, teknik memasak gw nilai Grade A semua, pelayanan sih, menurut gw uda cukup gesit, krn kesini niat. Lanjutan",positive
"Tempat yang cocok buat hangout dengan rekan2 kerja setelah meeting melelahkan di bandung. Suasana dingin dan musik yang hangat, perpaduan nikmat ketika berkumpul dengan teman2. Pizza meatlover nya enak, tahu goreng agak salty. Tapi atmosfer yang nyaman yang jadi nilai plus tempat makan ini.",positive
dr luar ga meyakinkan TAPI setelah masuk tempatnya luas bgt dan soo cozy. makanannya juga enak2 dan ga terlalu mahal juga. saya pesan ayam rempah2 dan agak asin. but overall recommended bgt buat couple soalnya banyak spot foto juga.,positive
"Cakep, tapi malam ini agak berkabut. Rekomended buat acara kumpul sama temen atau pacar. Kalo sama keluarga kurang cocok, kalo malem yak. Hehehe",positive
"""Rumah Miring"" yang terlintas adalah permainan yang Ada di dunia fantasi Jakarta hahaha No, No, No ! ini adalah temapat makan resto atau cafe bahkan mungkin bar ""katanya"" Temp at ini terletak didaerah dago giri setelah Lawang wangi cafe keatas sedikit laaah hehehe Dari luar tidal tampak seperti restore cafe atau temp at nongkrong, hanya Ada parkiran Dan pintu masuk.tapi. Lanjutan",positive
"resto didaerah perbukitan untuk makanan rata2 rasanya, agak kurang terawat menurut saya, saya pesan ikan goreng kurang segar ya kalo untuk minum2 ok lah makan tidak rekomen deh",positive
"Ih aslinya makanan di sini enak enak banget,pizza nya itu loh luar biasa udah tebel,topingnya banyak,rasa nya lezat,buntut kuahnya gurih,dagingnya empuk,yang lainnya ga kalah enak,minumannya ga ada yg gagal,pokoknya ga nyesel,nanti kesini pasti bawa temen temen yang banyak :)",positive
"Saya gak sengaja berkunjung ke rumah miring yang terletak d daerah jl dago giri119, tempat makanan minuman nya suasana nyaman banget. pokonya kalo menurut saya buat keluarga, pacar, atau yang lain nya cocok bgt deh ini tempat.",positive
"tempatnya keren, playlist nya keren keren banyak lagu kenangan hahaha. gw order pizza spicy mexicana pedes bnget bro tapi enaksss, sma beer bintang, dan tmn gw ada yg pesen ice chox juga strawberry mint chocolate uwiwww Terasa d lidah deh perpaduan antara chocolate dan mint nya itu enak deh hehe. see you next time rumah miring bakalan balik deh happy.",positive
"Udah lama banget pengen kesini sama pasangan or temen-temen ramean sebenarnya, belum lagi denger-denger cerita dari temen tempat ini cozy and enak dijadiin tempat buat nongkrong apalagi buat anak muda. Pas dapet off kerja, langsung deh kesini bareng pacar, kita pesen cappucino, lemon tea, sama 1 loyang meat lovers pizza. No one of them is recommended, or even delicious! Baru. Lanjutan",negative
"saya memesan sausage , steak , mushroom soup, iced banana chocolate . Si Sausage ini di kasih 2 sama side dish mashed potato. Gila ASIIIIIN bangeeeet sampe saya gakuat makannya dan gak abis, padahal saya udah elapin tuh asin pake tisu. Si steak ini saya pesan well done dan agak alot gitu dagingnya. Mushroom soup ini biasa banget gak ada. Lanjutan",negative
