content,polarity
"Restoran dengan konsep warung di Paris Van Java. Saya suka konsep dan dekorasinya. Makanannya pun merupakan makanan yang banyak disajikan di ranah Sunda. Sayangnya mejanya diletakkan terlalu berdekatan satu sama lain yang menyebabkan pergerakan agak susah. Dan juga warungnya selalu penuh, sehingga terasa panas",positive
Kami suka ngemil tahu kriuk dan tahu bodo disini. Rasanya enak dan sambalnya cetar. Harga relatif mahal mungkin karena di mal. Tapi tetap jadi favorit kami saat ke mal. Recommended.,positive
"Pengen kuliner tahu yang enak disini tempat nya, kata saudara yang tinggal di bandung. ternyata ya sih enak juga.hanya piring dan sendok nya tidak seperti biasa nya. dan harganya tidak mahal murah banget rasa tahu nya khas sekali enak. sip lah mau pulang bungkus.",positive
"Konsep restoran ini adalah restoran tempo dulu dengan peralatan makannyapun masih serba jadul. Dari piring hingga sendok. Suka dengan menu yang ada di restoran ini, serba olahan tahu dan ada juga bermacam2 menu pilihan lagi, Menu Rekomen dari saya adalah Tahu Bodo, dengan level pedas yang bisa kita pilih sendiri.",positive
"Ini adalah salah satu spot kuliner di PVJ Mall Bandung.DI lantai bawah PVJ disamping eskalator, berseberangan dengan Quali dan berada di samping Kopi Lay. Sebagian besar makanan yang ditawarkan disini adalah bermacam-macam olahan tahu. Tetapi ada juga makanan non tahu lainnya. Variasi makanan yang dapat dipilih cukup banyak, begitu pula minumannya. KOnsepnya berupa warung dengan suana tempo dulu. Piring, cangkir. Lanjutan",positive
"Warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di Bandung. Tahu berkualitas, dipadu keahlian memasak , dipadu kretivitas, jadilah warung yang menyajikan menu utama berbahan tahu , ditambah menu umum lain seperti ayam . semuanya selera indonesia. harga cukup terjangkau. Jangan lewatkan tahu bletoknya, tidak kalah dengan yang asli dari Tegal !",positive
"Tempat makan ini bertema jadul dengan dekorasi dan tatanan perabotan yang jadul juga. Pelayanan cukup menynangkan walopun saya harus meminta garpu sampai 3 kali. Makanan yang saya coba ikan goreng colo2 komplit, dan rasanya enak! Harga juga cukup oke di kantong.",positive
"Makan siang di tepat ini tepatnya di cabang Summarecon, tempatnya unik dengan desain yang cukup menarik, menyajikan aneka makanan yang mayoritas berbahan tahu. Saya memesan nasi kampung Talaga yang berisi nasi bakar (dimasukkan ke dalam bambu) kol goreng, pepes tahu, dan ikan asin jambal. Selain itu saya juga memesan tahu beletok yaitu tahu goreng dicampur aci/tepung dan dicocol kecap pedes,. Lanjutan",positive
"Sejak pertama buka, aku suka banget sama aneka kreasi tahu mereka. Favorit aku itu tahu buntel sama tahu pletok. Selain menu tahu, ada menu-menu makanan Indonesia lainnya koq yang enak-enak. Interiornya juga bagus, bersuasana warung. ig: sharetheyumz",positive
"Memasuki Warung Talaga cukup terkesan dengan tampilan desain interior yg menarik dan unik. Tempatnya selalu ramai apalagi akhir pekan.Untuk penggemar tahu Bandung boleh dicoba.Sebagai penggemar tahu Bandung sayapun mencoba ,aneka macam makanan dari bahan tahu, cukup bervariasi.Rasa nya cukup lumayan tp tidak terlalu istimewa spt tampilan ruangnya.Harga sedikit mahal dengan porsi kecil, tp untuk tempat hangout bersama teman dan pasangan. Lanjutan",positive
"Tertarik masuk restoran ini karena ramai, interiornya yang seperti menonjolkan suasana rumah jaman doeloe, dan buku menu yang menawarkan menu dengan harga pas di kantong. Setelah saya memesan ternyata kesan pas di kantong menjadi berubah. Menu ikan kembung yang lebih murah ternyata tanpa nasi. Untuk menu satu piring ikan kembung ala rumahan (beserta lauk lain pelengkapnya) dan segelas teh tarik,. Lanjutan",negative
"Kunjungan: Sabtu siang 30 Agustus 2014. Suasana resto ini pada awalnya menarik karena dibuat retro dengan pajangan aneka barang tempo doeloe. Menilik daftar makanan yang khas Pasundan, kami pun ( 9 orang ) masuk. Resto sangat ramai di Sabtu siang itu. Pesanan lama, bahkan satu dua menu tercecer sehingga terlambat sampai satu jam sejak pesanan diterima.kami melihat ada pengunjung lain. Lanjutan",negative
"Sengaja ke PVJ untuk melihat lihat resto local yang ada. Warung Talaga ini saya coba karena terlihat ramai dan riuh di dalamnya. Saya memesan berbagai tahu yang ada. Ada tahu gondrong, tahu berontak dan macam macam lainnya. Untuk tahu, suka juga dengan rasanya. Meski bahan dasarnya tahu tetapi ternyata setelah diolah sana sini, hasilnya berbeda juga. Qarung Talaga ini merupakan. Lanjutan",positive
