content,polarity
"Kopi nya enak dan cemilannya enak enak sih , sayang aja porsi nya liliput deh,hhehe tp asik buat kumpul temen",positive
"Lokasi yang cukup teduh, menu yang cukup variatif dan lezat. Harga terjangkau dengan fasilitas wifi, dan colokan untuk yang ingin membawa laptop.",positive
"Tempat nongkrong yang belakangan hype bgt buat anak2 bandung. Tempat yang PeWe, murah, dan enak. Cuma satu aja kekurangnnya, buka cuma sampai jam setengah 11 malem doang.",positive
Tempatnya asik tuk nongkrong. kopi sangernya wajib dicoba. tuk yang ngerjain tugas atau ngobrol2 jangan khawatir colokan liatrik dimana-mana.,positive
Bagi teman-teman yg sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yg tidak terlalu berat.ada cilok rakyat ditemanin dengan teh sereh.lekker,positive
"Kami Coba yang di cabang buah batu, tempatnya enak dan kita pilih di outdoor. Pelayanan cepat, wifi kenceng, favorit saya avocado kerok milo oreo. Mantaapppp",positive
"Hallo kali ini saya mencoba untuk mengunjungi Kopi Anjis, Bandung. Suasananya ramai sekali, dan menurut saya terlalu ramai dan bising karena lokasinya dekat dengan lampu merah, suara klakson kendaraan dan suara mesin kendaraan sangat bising. Untuk makan dan minuman rasanya cukup. Pada saat order pesanan saya kaget sekali karena pelayannya berbicara bahasa Sunda namun bahasanya kasar. Hahahaha. Namun it's OK. Lanjutan",positive
"kopi anjis merupakan tempat gaulnya anak bandung. Sajian bermacam kopi yang menarik. Saya waktu di Anjis menikmatimkopi Nutela khas Anjis, dan rasanya sangat mantap. di Anjis juga tersedia bermacam pilihan minuman dan makanan. yang paling mencolok di Anjis yaitu sangat ramenya anak gaul bandung yang nongkrong disini",positive
"Harus banget nyobain Kopi Sanger nya! Sanger itu kepanjangan dari ""Saling Ngerti"" antara kamu dengan sang barista. Tinggal bilang mau panas atau dingin, pahit atau manis, dan voila! Kopi akan datang tepat dengan rasa yang kamu inginkan! Kopi Sanger juga disajikan dengan berbagai tambahan rasa seperti nutela, milo, ovaltine, dan avocado. Pas banget kalo kamu dateng kesini malam hari bareng. Lanjutan",positive
"Setiap lewat, cafe ini selalu ramai dari mulai buka hingga malam hari. Apalagi di musin hujan.Penasaran jg akhirnya mencoba ketika ada beberapa teman dari Indonesia timur meminta mencari tempat ngopi. Pilihannya jatuh di cafe ini.Aneka minuman kopi tersedia, ada juga teh tarik atau coklat jika kita tidak suka minum kopi.Ada juga roti gempol yg kegendaris. Pelayan yg ramah, harga yg. Lanjutan",positive
"untuk kopi yang ada disini rasanya nikmat, dan sesuai dengan perkiraan saya. yaitu ENAK. dan saat ini kedai kopi ini bergabung dengan Roti gempol",positive
